44,d,stegr,symmetric,tridiagonal,http://www.netlib.org/lapack/double/dstegr.f,6,"symmetric tridiagonal eigensolver, using relatively robust representation",44
45,c,stegr,symmetric,tridiagonal,http://www.netlib.org/lapack/complex/cstegr.f,6,"symmetric tridiagonal eigensolver, using relatively robust representation",45
46,z,stegr,symmetric,tridiagonal,http://www.netlib.org/lapack/complex16/zstegr.f,6,"symmetric tridiagonal eigensolver, using relatively robust representation",46
47,s,stebz,symmetric,tridiagonal,http://www.netlib.org/lapack/single/sstebz.f,6,eigenvalues using bisection,47
48,d,stebz,symmetric,tridiagonal,http://www.netlib.org/lapack/double/dstebz.f,6,eigenvalues using bisection,48
49,s,stein,symmetric,tridiagonal,http://www.netlib.org/lapack/single/sstein.f,6,eigenvectors using inverse iteration,49
50,d,stein,symmetric,tridiagonal,http://www.netlib.org/lapack/double/dstein.f,6,eigenvectors using inverse iteration,50
51,c,stein,symmetric,tridiagonal,http://www.netlib.org/lapack/complex/cstein.f,6,eigenvectors using inverse iteration,51
52,z,stein,symmetric,tridiagonal,http://www.netlib.org/lapack/complex16/zstein.f,6,eigenvectors using inverse iteration,52
53,s,disna,diagonal,full,http://www.netlib.org/lapack/single/sdisna.f,6,computes the reciprocal condition numbers for the eigenvectors,53
54,d,disna,diagonal,full,http://www.netlib.org/lapack/double/ddisna.f,6,computes the reciprocal condition numbers for the eigenvectors,54
55,s,gehrd,general,full,http://www.netlib.org/lapack/single/sgehrd.f,,Hessenberg reduction,55
56,d,gehrd,general,full,http://www.netlib.org/lapack/double/dgehrd.f,,Hessenberg reduction,56
57,c,gehrd,general,full,http://www.netlib.org/lapack/complex/cgehrd.f,,Hessenberg reduction,57
58,z,gehrd,general,full,http://www.netlib.org/lapack/complex16/zgehrd.f,,Hessenberg reduction,58
59,s,gebal,general,full,http://www.netlib.org/lapack/single/sgebal.f,,balance matrix,59
60,d,gebal,general,full,http://www.netlib.org/lapack/double/dgebal.f,,balance matrix,60
61,c,gebal,general,full,http://www.netlib.org/lapack/complex/cgebal.f,,balance matrix,61
62,z,gebal,general,full,http://www.netlib.org/lapack/complex16/zgebal.f,,balance matrix,62
63,s,gebak,general,full,http://www.netlib.org/lapack/single/sgebak.f,6,back transforming,63
64,d,gebak,general,full,http://www.netlib.org/lapack/double/dgebak.f,6,back transforming,64
65,c,gebak,general,full,http://www.netlib.org/lapack/complex/cgebak.f,6,back transforming,65
66,z,gebak,general,full,http://www.netlib.org/lapack/complex16/zgebak.f,6,back transforming,66
67,s,orghr,orthogonal,full,http://www.netlib.org/lapack/single/sorghr.f,,generate matrix after -hrd,67
68,d,orghr,orthogonal,full,http://www.netlib.org/lapack/double/dorghr.f,,generate matrix after -hrd,68
69,c,unghr,unitary,full,http://www.netlib.org/lapack/complex/cunghr.f,,generate matrix after -hrd,69
70,z,unghr,unitary,full,http://www.netlib.org/lapack/complex16/zunghr.f,,generate matrix after -hrd,70
71,s,ormhr,orthogonal,full,http://www.netlib.org/lapack/single/sormhr.f,,multiply by matrix after -hrd,71
72,d,ormhr,orthogonal,full,http://www.netlib.org/lapack/double/dormhr.f,,multiply by matrix after -hrd,72
73,c,unmhr,unitary,full,http://www.netlib.org/lapack/complex/cunmhr.f,,multiply by matrix after -hrd,73
74,z,unmhr,unitary,full,http://www.netlib.org/lapack/complex16/zunmhr.f,,multiply by matrix after -hrd,74
75,s,hseqr,upper Hessenberg,full,http://www.netlib.org/lapack/single/shseqr.f,,Schur factorization,75
76,d,hseqr,upper Hessenberg,full,http://www.netlib.org/lapack/double/dhseqr.f,,Schur factorization,76
