1,1,n,d,n,0,1599.5,0,3.5,2,0,0,9999999999.0,lanczos,4
1,1,n,d,n,0,1599.5,0,3.5,4,0,0,9999999999.0,lanczos,4
2,1,n,d,n,1599.5,25786.0,0,1.5,2,0,0,5.05e-09,NoConvergence,8
2,1,n,d,n,1599.5,25786.0,0,1.5,4,0,0,5.05e-09,NoConvergence,8
3,1,n,d,n,1599.5,3359.5,1.5,3.5,2,0,0,5.05e-09,NoConvergence,8
3,1,n,d,n,1599.5,3359.5,1.5,3.5,4,0,0,5.05e-09,NoConvergence,8
4,1,n,d,n,3359.5,25786.0,1.5,3.5,2,0,0,5.05e-09,NoConvergence,8
4,1,n,d,n,3359.5,25786.0,1.5,3.5,4,0,0,5.05e-09,NoConvergence,8
5,1,n,d,n,3359.5,25786.0,1.5,3.5,2,18.0,0,5.05e-09,lanczos,4
5,1,n,d,n,3359.5,25786.0,1.5,3.5,4,18.0,0,5.05e-09,lanczos,4
6,1,n,d,n,25786.0,93823.0,0,3.5,2,0,0,5.05e-09,jd,7
6,1,n,d,n,25786.0,93823.0,0,3.5,4,0,0,5.05e-09,jd,7
7,1,n,d,n,25786.0,93823.0,0,3.5,2,36.0,0,5.05e-09,gd,6
7,1,n,d,n,25786.0,93823.0,0,3.5,4,36.0,0,5.05e-09,gd,6
8,1,n,d,n,93823.0,9999999999.0,0,3.5,2,0,0,5.05e-09,NoConvergence,8
8,1,n,d,n,93823.0,9999999999.0,0,3.5,4,0,0,5.05e-09,NoConvergence,8
9,1,n,d,n,1599.5,3359.5,0,3.5,2,0,5.05e-09,5.0005e-05,NoConvergence,8
9,1,n,d,n,1599.5,3359.5,0,3.5,4,0,5.05e-09,5.0005e-05,NoConvergence,8
10,1,n,d,n,1599.5,3359.5,0,3.5,2,0,5.0005e-05,9999999999.0,lanczos,4
10,1,n,d,n,1599.5,3359.5,0,3.5,4,0,5.0005e-05,9999999999.0,lanczos,4
11,1,n,d,n,3359.5,25786.0,0,3.5,2,0,5.05e-09,9999999999.0,lanczos,4
11,1,n,d,n,3359.5,25786.0,0,3.5,4,0,5.05e-09,9999999999.0,lanczos,4
12,1,n,d,n,25786.0,93823.0,0,3.5,2,0,5.05e-09,9999999999.0,jd,7
12,1,n,d,n,25786.0,93823.0,0,3.5,4,0,5.05e-09,9999999999.0,jd,7
13,1,n,d,n,25786.0,93823.0,0,3.5,2,1.5,5.05e-09,5.0005e-05,gd,6
13,1,n,d,n,25786.0,93823.0,0,3.5,4,1.5,5.05e-09,5.0005e-05,gd,6
14,1,n,d,n,25786.0,93823.0,0,3.5,2,1.5,5.0005e-05,9999999999.0,jd,7
14,1,n,d,n,25786.0,93823.0,0,3.5,4,1.5,5.0005e-05,9999999999.0,jd,7
15,1,n,d,n,25786.0,93823.0,0,3.5,2,3.0,5.0005e-05,9999999999.0,gd,6
15,1,n,d,n,25786.0,93823.0,0,3.5,4,3.0,5.0005e-05,9999999999.0,gd,6
16,1,n,d,n,25786.0,93823.0,0,3.5,2,10.0,5.05e-09,9999999999.0,gd,6
16,1,n,d,n,25786.0,93823.0,0,3.5,4,10.0,5.05e-09,9999999999.0,gd,6
17,1,n,d,n,25786.0,93823.0,0,3.5,2,18.0,5.05e-09,9999999999.0,gd,6
17,1,n,d,n,25786.0,93823.0,0,3.5,4,18.0,5.05e-09,9999999999.0,gd,6
18,1,n,d,n,93823.0,9999999999.0,0,3.5,2,0,5.05e-09,9999999999.0,lanczos,4
18,1,n,d,n,93823.0,9999999999.0,0,3.5,4,0,5.05e-09,9999999999.0,lanczos,4
19,1,n,d,n,0,696.0,3.5,7.5,2,0,0,5.05e-09,jd,7
19,1,n,d,n,0,696.0,3.5,7.5,4,0,0,5.05e-09,jd,7
20,1,n,d,n,0,696.0,7.5,9999999999.0,2,0,0,5.05e-09,krylovschur,5
20,1,n,d,n,0,696.0,7.5,9999999999.0,4,0,0,5.05e-09,krylovschur,5
21,1,n,d,n,0,696.0,3.5,9999999999.0,2,10.0,0,5.05e-09,jd,7
21,1,n,d,n,0,696.0,3.5,9999999999.0,4,10.0,0,5.05e-09,jd,7
22,1,n,d,n,0,696.0,3.5,9999999999.0,2,0,5.05e-09,5.0005e-05,jd,7
22,1,n,d,n,0,696.0,3.5,9999999999.0,4,0,5.05e-09,5.0005e-05,jd,7
23,1,n,d,n,0,696.0,3.5,7.5,2,72.0,0,5.0005e-05,NoConvergence,8
23,1,n,d,n,0,696.0,3.5,7.5,4,72.0,0,5.0005e-05,NoConvergence,8
24,1,n,d,n,0,696.0,7.5,9999999999.0,2,72.0,0,5.0005e-05,krylovschur,5
24,1,n,d,n,0,696.0,7.5,9999999999.0,4,72.0,0,5.0005e-05,krylovschur,5
25,1,n,d,n,696.0,25786.0,3.5,9999999999.0,2,0,0,5.0005e-05,NoConvergence,8
25,1,n,d,n,696.0,25786.0,3.5,9999999999.0,4,0,0,5.0005e-05,NoConvergence,8
26,1,n,d,n,25786.0,93823.0,3.5,9999999999.0,2,0,0,5.0005e-05,jd,7
26,1,n,d,n,25786.0,93823.0,3.5,9999999999.0,4,0,0,5.0005e-05,jd,7
27,1,n,d,n,25786.0,93823.0,3.5,7.5,2,36.0,0,5.05e-09,jd,7
27,1,n,d,n,25786.0,93823.0,3.5,7.5,4,36.0,0,5.05e-09,jd,7
28,1,n,d,n,25786.0,93823.0,3.5,7.5,2,36.0,5.05e-09,5.0005e-05,gd,6
28,1,n,d,n,25786.0,93823.0,3.5,7.5,4,36.0,5.05e-09,5.0005e-05,gd,6
