 UpperBW, MinNNZperRow, ColLogValSpread, RowDiagDominance, NumRows, LowerBW, DummyRows, DummyRowsKind, NumCols, SymmetricFrobeniusNorm, Trace, AntiSymmetricInfinityNorm, NNZPatternSymmetry1, NumericValueSymmetry2, InfinityNorm, Symmetric, AntiSymmetricFrobeniusNorm, DiagAverage, SymmetricInfinityNorm, FrobeniusNorm, AbsTrace, DiagVariance, ColDiagDominancy, ColVariance, AvgNNZperRow, RowLogValSpread, MaxNNZperRow, RowVariance, NNZPatternSymmetry2, DiagSign, DiagNNZ, Nonzeros, OneNorm, NumericValueSymmetry1, time, solver,matrix_name, class,rank
3,4,5.89777,0,20002,3,0,0,20002,6.65E+09,5.81E+11,19890.4,0,0.999863,1.05E+08,0,869811,2.90E+07,1.05E+08,6.65E+09,5.81E+11,1.36E+15,0,5.17E+11,5,5.8978,6,5.17E+11,0.999725,2,20002,120004,1.05E+08,0,0.00082397,13323659,direct_1_3_1,good,1
3,4,5.89777,0,20002,3,0,0,20002,6.65E+09,5.81E+11,19890.4,0,0.999863,1.05E+08,0,869811,2.90E+07,1.05E+08,6.65E+09,5.81E+11,1.36E+15,0,5.17E+11,5,5.8978,6,5.17E+11,0.999725,2,20002,120004,1.05E+08,0,0.001431,12321508,direct_1_3_1,bad,2
3,4,5.89777,0,20002,3,0,0,20002,6.65E+09,5.81E+11,19890.4,0,0.999863,1.05E+08,0,869811,2.90E+07,1.05E+08,6.65E+09,5.81E+11,1.36E+15,0,5.17E+11,5,5.8978,6,5.17E+11,0.999725,2,20002,120004,1.05E+08,0,0.00045419,30870720,direct_1_4_1,good,1
3,4,5.89777,0,20002,3,0,0,20002,6.65E+09,5.81E+11,19890.4,0,0.999863,1.05E+08,0,869811,2.90E+07,1.05E+08,6.65E+09,5.81E+11,1.36E+15,0,5.17E+11,5,5.8978,6,5.17E+11,0.999725,2,20002,120004,1.05E+08,0,0.00081253,13323659,direct_1_4_1,bad,2
3,4,5.89777,0,20002,3,0,0,20002,6.65E+09,5.81E+11,19890.4,0,0.999863,1.05E+08,0,869811,2.90E+07,1.05E+08,6.65E+09,5.81E+11,1.36E+15,0,5.17E+11,5,5.8978,6,5.17E+11,0.999725,2,20002,120004,1.05E+08,0,0.0014436,12321508,direct_1_4_1,bad,3
3,4,6.64425,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.7,0,0.999862,1.03E+08,0,870755,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.06E+11,5,6.64423,6,5.06E+11,0.999724,2,20002,120004,1.03E+08,0,0.00045729,30870720,direct_10_1_1,good,1
3,4,6.64425,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19894.7,0,0.999862,1.03E+08,0,870755,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.06E+11,5,6.64423,6,5.06E+11,0.999724,2,20002,120004,1.03E+08,0,0.00080395,13323659,direct_10_1_1,bad,2
3,4,8.1156,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870849,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.11558,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00046611,30870720,direct_10_10_1,good,1
3,4,8.1156,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870849,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.11558,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00069451,45869640,direct_10_10_1,bad,2
3,4,8.1156,0,20002,3,0,0,20002,6.64E+09,5.81E+11,19895.2,0,0.999862,1.03E+08,0,870849,2.90E+07,1.03E+08,6.64E+09,5.81E+11,1.36E+15,0,5.05E+11,5,8.11558,6,5.05E+11,0.999724,2,20002,120004,1.03E+08,0,0.00083566,13323659,direct_10_10_1,bad,3
