1	s	gesv	general	full	http://www.netlib.org/lapack/single/sgesv.f	1	linear equation, simple driver,	1
2	d	gesv	general	full	http://www.netlib.org/lapack/double/dgesv.f	1	linear equation, simple driver,	2
3	c	gesv	general	full	http://www.netlib.org/lapack/complex/cgesv.f	1	linear equation, simple driver,	3
4	z	gesv	general	full	http://www.netlib.org/lapack/complex16/zgesv.f	1	linear equation, simple driver,	4
5	s	gbsv	general	banded	http://www.netlib.org/lapack/single/sgbsv.f	1	linear equation, simple driver,	5
6	d	gbsv	general	banded	http://www.netlib.org/lapack/double/dgbsv.f	1	linear equation, simple driver,	6
7	c	gbsv	general	banded	http://www.netlib.org/lapack/complex/cgbsv.f	1	linear equation, simple driver,	7
8	z	gbsv	general	banded	http://www.netlib.org/lapack/complex16/zgbsv.f	1	linear equation, simple driver,	8
9	s	gtsv	general	tridiagonal	http://www.netlib.org/lapack/single/sgtsv.f	1	linear equation, simple driver,	9
10	d	gtsv	general	tridiagonal	http://www.netlib.org/lapack/double/dgtsv.f	1	linear equation, simple driver,	10
11	c	gtsv	general	tridiagonal	http://www.netlib.org/lapack/complex/cgtsv.f	1	linear equation, simple driver,	11
12	z	gtsv	general	tridiagonal	http://www.netlib.org/lapack/complex16/zgtsv.f	1	linear equation, simple driver,	12
13	c	hesv	Hermitian	full	http://www.netlib.org/lapack/complex/chesv.f	1	linear equation, simple driver,	13
14	z	hesv	Hermitian	full	http://www.netlib.org/lapack/complex16/zhesv.f	1	linear equation, simple driver,	14
15	c	hpsv	Hermitian	packed	http://www.netlib.org/lapack/complex/chpsv.f	1	linear equation, simple driver,	15
16	z	hpsv	Hermitian	packed	http://www.netlib.org/lapack/complex16/zhpsv.f	1	linear equation, simple driver,	16
17	s	posv	SPD	full	http://www.netlib.org/lapack/single/sposv.f	1	linear equation, simple driver,	17
18	d	posv	SPD	full	http://www.netlib.org/lapack/double/dposv.f	1	linear equation, simple driver,	18
19	c	posv	HPD	full	http://www.netlib.org/lapack/complex/cposv.f	1	linear equation, simple driver,	19
20	z	posv	HPD	full	http://www.netlib.org/lapack/complex16/zposv.f	1	linear equation, simple driver,	20
21	s	pbsv	SPD	banded	http://www.netlib.org/lapack/single/spbsv.f	1	linear equation, simple driver,	21
22	d	pbsv	SPD	banded	http://www.netlib.org/lapack/double/dpbsv.f	1	linear equation, simple driver,	22
23	c	pbsv	HPD	banded	http://www.netlib.org/lapack/complex/cpbsv.f	1	linear equation, simple driver,	23
24	z	pbsv	HPD	banded	http://www.netlib.org/lapack/complex16/zpbsv.f	1	linear equation, simple driver,	24
25	s	ppsv	SPD	packed	http://www.netlib.org/lapack/single/sppsv.f	1	linear equation, simple driver,	25
26	d	ppsv	SPD	packed	http://www.netlib.org/lapack/double/dppsv.f	1	linear equation, simple driver,	26
27	c	ppsv	HPD	packed	http://www.netlib.org/lapack/complex/cppsv.f	1	linear equation, simple driver,	27
28	z	ppsv	HPD	packed	http://www.netlib.org/lapack/complex16/zppsv.f	1	linear equation, simple driver,	28
29	s	ptsv	SPD	tridiagonal	http://www.netlib.org/lapack/single/sptsv.f	1	linear equation, simple driver,	29
30	d	ptsv	SPD	tridiagonal	http://www.netlib.org/lapack/double/dptsv.f	1	linear equation, simple driver,	30
31	c	ptsv	HPD	tridiagonal	http://www.netlib.org/lapack/complex/cptsv.f	1	linear equation, simple driver,	31
32	z	ptsv	HPD	tridiagonal	http://www.netlib.org/lapack/complex16/zptsv.f	1	linear equation, simple driver,	32
33	s	sysv	symmetric	full	http://www.netlib.org/lapack/single/ssysv.f	1	linear equation, simple driver,	33
34	d	sysv	symmetric	full	http://www.netlib.org/lapack/double/dsysv.f	1	linear equation, simple driver,	34
35	c	sysv	symmetric	full	http://www.netlib.org/lapack/complex/csysv.f	1	linear equation, simple driver,	35
36	z	sysv	symmetric	full	http://www.netlib.org/lapack/complex16/zsysv.f	1	linear equation, simple driver,	36
37	s	spsv	symmetric	packed	http://www.netlib.org/lapack/single/sspsv.f	1	linear equation, simple driver,	37
38	d	spsv	symmetric	packed	http://www.netlib.org/lapack/double/dspsv.f	1	linear equation, simple driver,	38
39	c	spsv	symmetric	packed	http://www.netlib.org/lapack/complex/cspsv.f	1	linear equation, simple driver,	39
40	z	spsv	symmetric	packed	http://www.netlib.org/lapack/complex16/zspsv.f	1	linear equation, simple driver,	40
41	s	gesvx	general	full	http://www.netlib.org/lapack/single/sgesvx.f	1	linear equation, expert driver,	41
