1,s,gelsd,\sgelsd.f
2,d,gelsd,\dgelsd.f
3,s,gelss,\sgelss.f
4,d,gelss,\dgelss.f
5,c,gelsd,\cgelsd.f
6,z,gelsd,\zgelsd.f
7,c,gelss,\cgelss.f
8,z,gelss,\zgelss.f
9,s,gelsx,\sgelsx.f
10,d,gelsx,\dgelsx.f
11,s,gelsy,\sgelsy.f
12,d,gelsy,\dgelsy.f
13,c,gelsx,\cgelsx.f
14,z,gelsx,\zgelsx.f
15,c,gelsy,\cgelsy.f
16,z,gelsy,\zgelsy.f
17,s,ggglm,\sggglm.f
18,d,ggglm,\dggglm.f
19,s,gglm,\sgglm.f
20,d,gglm,\dgglm.f
21,s,gglse,\sgglse.f
22,d,gglse,\dgglse.f
23,c,ggglm,\cggglm.f
24,z,ggglm,\zggglm.f
25,c,ggglm,\cggglm.f
26,z,ggglm,\zggglm.f
27,c,gglse,\cgglse.f
28,z,gglse,\zgglse.f
