avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,time,solver,matrix_name,predicted_class,actual_class,default_time,Time Difference,Comparison,SpeedUp
531.1134,12208740,21.60955,2,18.71334,1.977884,37052868,0.001611,mark3jac100,good,good,8.3513,-99.98,-99.98 % less time of default solver time,5183.923029
3725.25,53483.49,8.295805,3,8.295805,1.312846,37052868,0.000256,cryg10000,good,good,1.3192,-99.98,-99.98 % less time of default solver time,5153.125
192.2968,4605960,22.25839,1,22.25833,1,37052868,0.000824,cz20468,good,good,4.1895,-99.98,-99.98 % less time of default solver time,5084.34466
1381.255,3.67E+12,111.0801,2,113.3405,3.72918,37052868,0.000104,bayer07,good,good,0.52749,-99.98,-99.98 % less time of default solver time,5072.019231
249.1577,18404410,20.45239,1,20.45239,2.389409,37052868,0.001912,cz40948,good,good,8.9254,-99.98,-99.98 % less time of default solver time,4668.096234
2314.406,27158.11,16.354,2,16.80601,5.012472,37052868,0.000205,g7jac020sc,good,good,0.90747,-99.98,-99.98 % less time of default solver time,4426.682927
531.1134,12208740,21.60955,2,18.71334,90.24236,37052868,0.000369,mark3jac020,good,good,1.63,-99.98,-99.98 % less time of default solver time,4417.344173
40.66667,0.017157,15.06754,1,15.06754,165.311,37052868,0.00038,inlet_E,good,good,1.6284,-99.98,-99.98 % less time of default solver time,4285.263158
6827.318,138457900,25.59061,2,19.77358,9874.285,37052868,0.001001,g7jac100,good,good,4.0286,-99.98,-99.98 % less time of default solver time,4024.575425
6827.318,108614.4,17.59421,2,17.9674,88.41066,37052868,0.000936,g7jac060sc,good,good,3.637,-99.97,-99.97 % less time of default solver time,3885.683761
157.7643,62.81284,18.42593,1,18.4186,33.32586,37052868,0.000319,cavity15,good,good,1.0658,-99.97,-99.97 % less time of default solver time,3341.065831
3890.815,100109.9,18.87546,2,18.54204,1.863794,37052868,0.000514,powersim,good,good,1.6127,-99.97,-99.97 % less time of default solver time,3137.548638
148.7198,1138142,22.86051,1,22.86039,803845.5,37052868,0.000469,cz10228,good,good,1.4511,-99.97,-99.97 % less time of default solver time,3094.029851
1381.255,3.67E+12,47.50547,2,49.65997,3.72585,37052868,0.000212,bayer05,good,good,0.5283,-99.96,-99.96 % less time of default solver time,2491.981132
5351.887,54326.47,16.60789,2,17.11999,4.576068,37052868,0.000876,g7jac040sc,good,good,2.0939,-99.96,-99.96 % less time of default solver time,2390.296804
1018.732,93.69727,30.42735,7,30.103,217.6855,32168837,0.000587,ex26,good,good,1.398,-99.96,-99.96 % less time of default solver time,2381.601363
5351.887,42447280,24.64615,2,19.29646,103741.2,37052868,0.000268,g7jac040,good,good,0.6211,-99.96,-99.96 % less time of default solver time,2317.537313
531.1134,2097152,9.976185,2,13.15285,5499.409,37052868,0.000376,mark3jac040sc,good,good,0.79703,-99.95,-99.95 % less time of default solver time,2119.760638
103.1031,85.13935,18.76616,9,18.76616,27.33333,37052868,0.000155,cavity09,good,good,0.3173,-99.95,-99.95 % less time of default solver time,2047.096774
1018.732,93.69727,30.42735,7,30.103,217.6855,36025721,0.000728,ex26,good,good,1.398,-99.95,-99.95 % less time of default solver time,1920.32967
6827.318,108680,17.58501,2,18.1938,18.41862,37052868,0.005685,g7jac140sc,good,good,10.891,-99.95,-99.95 % less time of default solver time,1915.743184
6827.318,108627.7,17.6835,2,17.72205,57.76688,37052868,0.002831,g7jac080sc,good,good,5.3656,-99.95,-99.95 % less time of default solver time,1895.302013
17492.32,4.00089,3.210354,3,3.210354,182.3608,37052868,0.00054,Zhao2,good,good,0.95734,-99.94,-99.94 % less time of default solver time,1772.851852
6827.318,108674,17.41085,2,17.72205,193.9769,37052868,0.004091,g7jac100sc,good,good,7.179,-99.94,-99.94 % less time of default solver time,1754.82767
215.1551,46.79771,18.46866,9,18.46866,62.89811,37052868,0.000773,cavity24,good,good,1.2904,-99.94,-99.94 % less time of default solver time,1669.340233
157.7643,58.65648,18.34624,9,18.33773,39.12101,37052868,0.000338,cavity14,good,good,0.52393,-99.94,-99.94 % less time of default solver time,1550.088757
115.3713,285463.4,24.66798,1,24.66798,805168.4,37052868,0.00021,cz5108,good,good,0.32032,-99.93,-99.93 % less time of default solver time,1525.333333
2344.653,386.2931,8.68914,2,8.089644,8.00128,37052868,0.000553,jan99jac060sc,good,good,0.42448,-99.87,-99.87 % less time of default solver time,767.5949367
5274.753,3392.568,30.71487,1,30.71487,5.987676,37052868,0.001735,circuit_3,good,good,1.2538,-99.86,-99.86 % less time of default solver time,722.6512968
103.1031,56.33406,18.66928,1,18.66928,54653.6,37052868,0.000149,cavity08,good,good,0.10273,-99.85,-99.85 % less time of default solver time,689.4630872
2344.653,533.8,8.38811,2,8.390674,16.00256,37052868,0.000752,jan99jac080sc,good,good,0.47076,-99.84,-99.84 % less time of default solver time,626.0106383
87.65015,72043.86,25.27004,1,25.27004,201492.7,37052868,0.000125,cz2548,good,good,0.064457,-99.81,-99.81 % less time of default solver time,515.656
