avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,time,solver,matrix_name,predicted_class,actual_class,default_time,Time Difference,Comparison,SpeedUp
1068.327,1394711,9.490537,56,7.745396,1335.685,29030070,0.001444,heart3,good,bad,8.4108,-99.98,-99.98 % less time of default solver time,5824.65374
2314.406,26524340,24.13064,2,19.29646,75008.05,37052868,0.000156,g7jac020,good,bad,0.24685,-99.94,-99.94 % less time of default solver time,1582.371795
157.7643,18.9037,18.3318,9,18.3318,20069.32,69654763,0.0051,cavity10,good,bad,0.11613,-95.61,-95.61 % less time of default solver time,22.77058824
8.393939,14331850,27.09879,1,25.93517,8.125526,69654763,0.000078,DK01R,good,bad,0.000455,-82.86,-82.86 % less time of default solver time,5.833333333
793.8216,1.644497,98.94543,2,98.94543,94.88419,32168837,0.000154,adder_dcop_52,good,bad,0.000843,-81.73,-81.73 % less time of default solver time,5.474025974
793.8216,1.664518,98.94544,2,98.94544,84.28226,7285382,0.000154,adder_dcop_23,good,bad,0.000416,-62.98,-62.98 % less time of default solver time,2.701298701
115.0087,272.2243,7.553177,1,7.550828,2.717751,37052868,0.000227,t2dah_a,good,bad,0.000439,-48.29,-48.29 % less time of default solver time,1.933920705
66.22222,4590210,1.554096,4,2.030542,1.506811,45869639,0.006206,t2d_q9_A_38,good,bad,0.011163,-44.41,-44.41 % less time of default solver time,1.798743152
2407.284,2270087,28.94268,2,26.7714,203.6607,69654763,0.000224,hydr1c_A_21,good,bad,0.00035,-36,-36.0 % less time of default solver time,1.5625
2408.001,2270087,28.94268,2,26.49182,173.7511,36025721,0.000202,hydr1c_A_20,good,bad,0.000206,-1.94,-1.94 % less time of default solver time,1.01980198
66.22222,1659740,1.428485,4,1.868414,1.790352,32168839,0.005875,t2d_q4_A_39,good,bad,0.00588,-0.09,-0.09 % less time of default solver time,1.000851064
66.22222,37362.49,1.044205,4,1.258102,321109.2,32168839,0.006191,t2d_q9_A_32,good,bad,0.006191,0,0.0 % less time of default solver time,1
2408.001,2321284,28.90271,2,26.8236,186.7517,32168839,0.000216,hydr1c_A_30,good,bad,0.000216,0,0.0 % less time of default solver time,1
66.22222,13238.71,1.274212,4,1.425323,1.383967,32168839,0.006567,t2d_q9_A_11,good,bad,0.006567,0,0.0 % less time of default solver time,1
3481.943,34.01184,300.0004,1,300.0004,1.311383,32168839,0.000654,lhr14c,good,bad,0.000654,0,0.0 % less time of default solver time,1
66.22222,1860.857,1.04785,4,1.071613,72394.64,32168839,0.006413,t2d_q4_A_28,good,bad,0.006413,0,0.0 % less time of default solver time,1
2408.001,2323054,28.73483,2,26.39456,191.3551,32168839,0.000201,hydr1c_A_58,good,bad,0.000201,0,0.0 % less time of default solver time,1
2407.734,2328216,29.24287,2,26.82188,253.8258,32168839,0.000185,hydr1c_A_17,good,bad,0.000185,0,0.0 % less time of default solver time,1
6125.161,19.2483,19.79436,8,19.79436,1.404683,32168839,0.001481,e40r0100,good,bad,0.001481,0,0.0 % less time of default solver time,1
66.22222,18920.92,1.041696,4,1.258412,166758.7,32168839,0.006307,t2d_q9_A_33,good,bad,0.006307,0,0.0 % less time of default solver time,1
66.22222,89701.22,1.129968,4,1.249586,1.384842,32168839,0.006361,t2d_q9_A_31,good,bad,0.006361,0,0.0 % less time of default solver time,1
66.22222,12143.3,1.041705,4,1.258433,108814.6,32168839,0.00625,t2d_q4_A_35,good,bad,0.00625,0,0.0 % less time of default solver time,1
66.22222,5335.601,1.037953,4,1.133933,164416.8,32168839,0.006445,t2d_q4_A_23,good,bad,0.006445,0,0.0 % less time of default solver time,1
1496.932,0.039939,9.831503,3,9.831503,8.43143,32168839,0.00055,swang2,good,bad,0.00055,0,0.0 % less time of default solver time,1
66.22222,36.56131,0.908476,4,0.919111,7135.22,32168839,0.006577,t2d_q4_A_09,good,bad,0.006577,0,0.0 % less time of default solver time,1
2424.118,2298394,27.23757,2,26.28066,1.255724,32168839,0.000201,hydr1c_A_10,good,bad,0.000201,0,0.0 % less time of default solver time,1
4622.447,116,1.041393,1,1.041393,32.8582,32168839,0.000099,Reuters911_Day_23,good,bad,0.000099,0,0.0 % less time of default solver time,1
2407.43,2269721,29.19731,2,29.98449,194.4439,32168839,0.000186,hydr1c_A_70,good,bad,0.000186,0,0.0 % less time of default solver time,1
2408.001,2316742,31.53712,2,29.00401,183.7622,32168839,0.000186,hydr1c_A_15,good,bad,0.000186,0,0.0 % less time of default solver time,1
66.22222,12100.23,1.041705,4,1.258432,108521.9,32168839,0.006276,t2d_q4_A_36,good,bad,0.006276,0,0.0 % less time of default solver time,1
66.22222,1743.923,0.964094,4,1.071613,55273.51,32168839,0.006326,t2d_q9_A_27,good,bad,0.006326,0,0.0 % less time of default solver time,1
2420.041,2298395,22.54251,2,21.92608,1.365806,32168839,0.000205,hydr1c_A_03,good,bad,0.000205,0,0.0 % less time of default solver time,1
