id,prc,rt,file
1,s,gelsd,\
2,d,gelsd,\
3,s,gelss,\
4,d,gelss,\
5,c,gelsd,\
6,z,gelsd,\
7,c,gelss,\
8,z,gelss,\
9,s,gelsx,\
10,d,gelsx,\
11,s,gelsy,\
12,d,gelsy,\
13,c,gelsx,\
14,z,gelsx,\
15,c,gelsy,\
16,z,gelsy,\
17,s,ggglm,\
18,d,ggglm,\
19,s,gglm,\
20,d,gglm,\
21,s,gglse,\
22,d,gglse,\
23,c,ggglm,\
24,z,ggglm,\
25,c,ggglm,\
26,z,ggglm,\
27,c,gglse,\
28,z,gglse,\
