@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {"11256944","99720138","11256942","11256943","11256941","42851841","81986705","82456576","53362206","45869639","45869638","45869637","12321508","30870723","53302993","44526267","90783920","30870722","30870721","30870720","36564233","36564232","36564235","36564234","13323659","95762355","95762354","95762353","95762352","45869640"}
@ATTRIBUTE class {good,bad}
@DATA

?,203,27,?,2,10,1,7,5.502378,?,1242,1.532411,132.963,2860,0.01232714,?,203,8.459492,1.532653,203,2860,?,0.5420469,-2.078442,?,?,1218,?,5.502378,22.50512,216.8188,?,400,203,1.0,216.8188,2,2,22.50512,400,?,8,0.307282,3.146549,?,22681.91,5.732038,?,43826.48,67,2.751068,0.0009072572,2.75131,15.27381,6.325838,?,5.502378,400,7,"82456576",bad
?,203,27,?,2,10,1,7,5.502378,?,1242,1.532411,132.963,2860,0.01232714,?,203,8.459492,1.532653,203,2860,?,0.5420469,-2.078442,?,?,1218,?,5.502378,22.50512,216.8188,?,400,203,1.0,216.8188,2,2,22.50512,400,?,8,0.307282,3.146549,?,22681.91,5.732038,?,43826.48,67,2.751068,0.0009072572,2.75131,15.27381,6.325838,?,5.502378,400,7,"12321508",bad
?,203,27,?,2,10,1,7,5.502378,?,1242,1.532411,132.963,2860,0.01232714,?,203,8.459492,1.532653,203,2860,?,0.5420469,-2.078442,?,?,1218,?,5.502378,22.50512,216.8188,?,400,203,1.0,216.8188,2,2,22.50512,400,?,8,0.307282,3.146549,?,22681.91,5.732038,?,43826.48,67,2.751068,0.0009072572,2.75131,15.27381,6.325838,?,5.502378,400,7,"95762354",bad
?,?,2973,12366,1,139,?,1,?,?,?,28.28515,4618.246,16900,?,?,12767,148.0,13.17621,?,16900,?,?,-215.0,?,?,3568,?,?,1.079181,?,?,?,12767,0.4958333,?,1,10,1.079181,13332,?,7,?,87.96022,1,33.38892,28.71565,?,95821920.0,240,0.3801134,0.3735723,-0.03565037,89.89994,215.0,?,?,13332,1,"82456576",good
?,6527,2929,?,57,68,?,5,2.0,?,8207,168.3498,1711.529,38692,-0.6577911,?,6528,386.2931,172.3305,6527,38692,?,3.360932,-250.0158,?,?,23711,?,1.0,4.707724,22766.95,?,6774,6528,0.9777778,20470.68,2,?,4.817186,6774,?,10,15.46459,720.3709,?,64.30901,256.1053,?,7278564.0,45,129.9904,2.135964,126.0096,1488.598,336.0388,?,256.0,6774,5,"82456576",good
?,?,91,1,1,9,1,3,5.0,?,?,1.109233,169.5385,1089,3.0,?,282,7.0,1.890898,?,1089,?,4.543253,1.0,?,?,800,?,5.0,0.7781513,1313.0,?,289,282,1.0,1313.0,1,2,0.7781513,289,?,5,0.8639439,22.27106,1,2.937325,6.96857,?,122041.1,84,1.934412,1.043289,3.931404,81.71291,9.0,?,5.0,289,3,"82456576",bad
?,?,91,1,1,9,1,3,5.0,?,?,1.109233,169.5385,1089,3.0,?,282,7.0,1.890898,?,1089,?,4.543253,1.0,?,?,800,?,5.0,0.7781513,1313.0,?,289,282,1.0,1313.0,1,2,0.7781513,289,?,5,0.8639439,22.27106,1,2.937325,6.96857,?,122041.1,84,1.934412,1.043289,3.931404,81.71291,9.0,?,5.0,289,3,"12321508",bad
?,?,91,1,1,9,1,3,5.0,?,?,1.109233,169.5385,1089,3.0,?,282,7.0,1.890898,?,1089,?,4.543253,1.0,?,?,800,?,5.0,0.7781513,1313.0,?,289,282,1.0,1313.0,1,2,0.7781513,289,?,5,0.8639439,22.27106,1,2.937325,6.96857,?,122041.1,84,1.934412,1.043289,3.931404,81.71291,9.0,?,5.0,289,3,"95762354",bad
?,256,459,1,20,82,?,23,-808.1069,?,88303,727.1585,813.4031,98213,1.0,?,3934,2086.87,88.26804,256,98213,?,0.9369409,-4497.982,?,?,5776,?,3.773655,5.173044,3873.314,?,4134,3934,0.09836066,-3835.747,1,?,6.190687,4134,?,22,19.12173,1557.521,?,553.3918,1535.265,?,4126025.0,61,405.9403,1.456997,-402.1666,2060.921,4497.982,?,3.773655,4134,23,"82456576",good
?,242,406,1,15,62,?,18,-712.3087,?,53892,482.8417,541.0123,59920,1.0,?,2986,1645.075,37.27685,242,59920,?,0.6574629,-2673.767,?,?,2830,?,12.28778,6.366517,2102.566,?,3198,2986,0.1320755,-2012.996,1,?,7.588062,3198,?,16,14.86605,1225.948,?,247.0458,1195.15,?,1775019.0,53,362.2983,2.883045,-350.0105,1574.962,2673.767,?,12.28778,3198,18,"82456576",good
?,100,9,?,99,9,1,8,8293.715,?,38612,609.8284,66.22222,87025,4.305043,?,100,13238.71,6857.033,100,87025,?,113.86,-38.3144,?,?,38612,?,8293.715,1.274212,1115942.0,?,9801,100,1.0,1115942.0,4,2,1.425323,9801,?,8,415.1602,1534.61,?,1.327588,8296.49,?,10920.05,31,1023.255,?,7270.46,44983.41,13265.9,?,8293.715,9801,8,"82456576",bad
