@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {"11256944","99720138","11256942","11256943","11256941","42851841","81986705","82456576","53362206","45869639","45869638","45869637","12321508","30870723","53302993","44526267","90783920","30870722","30870721","30870720","36564233","36564232","36564235","36564234","13323659","95762355","95762354","95762353","95762352","45869640"}
@ATTRIBUTE class {good,bad}
@DATA

?,11327,13509,?,84,10,1,6,16.00549,?,33914,33729.43,4709.566,79566,16.00549,?,11327,33948.0,20.82886,11327,79566,?,11.33703,-33911.0,?,?,33914,?,16.00549,4.229349,133074.0,?,11738,11327,0.9166667,133074.0,3,2,4.530379,11738,?,7,2.303529,33256.49,?,232820.3,33914.01,?,55917900.0,12,11.37241,183.8834,11.05533,33941.04,33943.0,?,22.42774,11738,6,"12321508",bad
?,11327,13509,?,84,10,1,6,16.00549,?,33914,33729.43,4709.566,79566,16.00549,?,11327,33948.0,20.82886,11327,79566,?,11.33703,-33911.0,?,?,33914,?,16.00549,4.229349,133074.0,?,11738,11327,0.9166667,133074.0,3,2,4.530379,11738,?,7,2.303529,33256.49,?,232820.3,33914.01,?,55917900.0,12,11.37241,183.8834,11.05533,33941.04,33943.0,?,22.42774,11738,6,"95762354",good
?,?,1,528,1,1,1,1,0.001868155,?,?,0.002652458,?,528,0.0001157056,?,?,0.02802064,0.002652575,?,528,?,0.0005924673,1.167136e-07,?,?,?,?,0.0002679376,6.932878,0.3128227,?,528,?,1.0,0.3128227,1,2,6.932878,528,?,1,0.002173499,?,1,240080.3,0.02802064,?,?,71,0.01401026,?,0.01401038,0.05176545,0.02802064,?,0.02802064,528,1,"82456576",bad
?,?,1,528,1,1,1,1,0.001868155,?,?,0.002652458,?,528,0.0001157056,?,?,0.02802064,0.002652575,?,528,?,0.0005924673,1.167136e-07,?,?,?,?,0.0002679376,6.932878,0.3128227,?,528,?,1.0,0.3128227,1,2,6.932878,528,?,1,0.002173499,?,1,240080.3,0.02802064,?,?,71,0.01401026,?,0.01401038,0.05176545,0.02802064,?,0.02802064,528,1,"12321508",good
?,?,1,528,1,1,1,1,0.001868155,?,?,0.002652458,?,528,0.0001157056,?,?,0.02802064,0.002652575,?,528,?,0.0005924673,1.167136e-07,?,?,?,?,0.0002679376,6.932878,0.3128227,?,528,?,1.0,0.3128227,1,2,6.932878,528,?,1,0.002173499,?,1,240080.3,0.02802064,?,?,71,0.01401026,?,0.01401038,0.05176545,0.02802064,?,0.02802064,528,1,"95762354",bad
?,177,341,?,15,163,?,8,86246.22,?,666,474.2957,86.95308,1512,4.495272,?,177,108204.5,474.296,177,1512,?,821.6808,-959.094,?,?,666,?,86246.22,9.703926,147902.5,?,171,177,0.8901099,147902.5,2,1,8.419348,180,?,7,5336.136,3791.653,?,321531100.0,86250.81,?,18013.21,91,43123.27,0.6349926,43122.96,93053.03,108204.5,?,86246.22,180,8,"82456576",bad
?,177,341,?,15,163,?,8,86246.22,?,666,474.2957,86.95308,1512,4.495272,?,177,108204.5,474.296,177,1512,?,821.6808,-959.094,?,?,666,?,86246.22,9.703926,147902.5,?,171,177,0.8901099,147902.5,2,1,8.419348,180,?,7,5336.136,3791.653,?,321531100.0,86250.81,?,18013.21,91,43123.27,0.6349926,43122.96,93053.03,108204.5,?,86246.22,180,8,"95762354",bad
?,37259,63345,?,4,2787,?,11,326846.6,?,203162,674.1516,16611.6,443585,0.06688095,?,37259,652456.5,676.9602,37259,443585,?,41.91738,-7.0,?,?,203162,?,241044.2,22.1473,1561883.0,?,37257,37259,0.9811321,1561883.0,2,?,22.1473,37261,?,19,2101.806,0.0599671,?,116374.7,326846.6,?,646520700.0,53,163424.7,?,163421.9,406745.6,652456.5,?,326846.6,37261,11,"82456576",good
?,133,111,?,4,44,?,6,15.00053,?,377,0.8405191,54.55856,815,0.133345,?,133,15.00106,0.8405354,133,815,?,0.5294079,-1.000006,?,?,303,?,15.00051,7.176107,71.47007,?,132,133,0.8709677,71.47007,2,1,6.875077,135,?,7,1.928484,0.003019927,?,922908.4,15.00053,?,6815.041,93,7.813206,?,7.187325,23.71073,15.00107,?,15.00053,135,6,"82456576",bad
?,133,111,?,4,44,?,6,15.00053,?,377,0.8405191,54.55856,815,0.133345,?,133,15.00106,0.8405354,133,815,?,0.5294079,-1.000006,?,?,303,?,15.00051,7.176107,71.47007,?,132,133,0.8709677,71.47007,2,1,6.875077,135,?,7,1.928484,0.003019927,?,922908.4,15.00053,?,6815.041,93,7.813206,?,7.187325,23.71073,15.00107,?,15.00053,135,6,"95762354",bad
?,1877,3592,?,10,1195,?,6,1047.298,?,5528,20.89707,944.6253,12935,1.429848,?,1877,1925.895,20.89859,1877,12935,?,2.402349,-2.167181,?,?,5528,?,1047.298,6.89293,4514.014,?,1870,1877,0.9480519,4514.014,2,1,7.738028,1879,?,11,25.22416,4.949556,?,691356.6,1047.299,?,2084557.0,77,524.1357,?,523.1625,1146.79,1925.895,?,1047.298,1879,6,"82456576",bad
?,1877,3592,?,10,1195,?,6,1047.298,?,5528,20.89707,944.6253,12935,1.429848,?,1877,1925.895,20.89859,1877,12935,?,2.402349,-2.167181,?,?,5528,?,1047.298,6.89293,4514.014,?,1870,1877,0.9480519,4514.014,2,1,7.738028,1879,?,11,25.22416,4.949556,?,691356.6,1047.299,?,2084557.0,77,524.1357,?,523.1625,1146.79,1925.895,?,1047.298,1879,6,"95762354",good
?,7594,14948,?,4,5412,?,6,-399999.0,?,20665,21045.6,3768.934,48928,-119999.0,?,7594,407175.6,24373.33,7594,48928,?,1772.897,-399999.0,?,?,20665,?,310273.1,6.956126,13470470.0,?,7592,7594,0.3043478,-12232370.0,2,?,7.153659,7598,?,11,23248.38,245.5362,?,120.2018,399999.0,?,33285470.0,92,355136.0,?,-44862.96,2041123.0,407175.6,?,310273.1,7598,6,"82456576",bad
?,7594,14948,?,4,5412,?,6,-399999.0,?,20665,21045.6,3768.934,48928,-119999.0,?,7594,407175.6,24373.33,7594,48928,?,1772.897,-399999.0,?,?,20665,?,310273.1,6.956126,13470470.0,?,7592,7594,0.3043478,-12232370.0,2,?,7.153659,7598,?,11,23248.38,245.5362,?,120.2018,399999.0,?,33285470.0,92,355136.0,?,-44862.96,2041123.0,407175.6,?,310273.1,7598,6,"95762354",good
?,?,1,528,1,1,1,1,0.001868155,?,?,0.002652458,?,528,0.0001157056,?,?,0.02802064,0.002652575,?,528,?,0.0005924673,1.167136e-07,?,?,?,?,0.0002679376,6.932878,0.3128227,?,528,?,1.0,0.3128227,1,2,6.932878,528,?,1,0.002173499,?,1,240080.3,0.02802064,?,?,71,0.01401026,?,0.01401038,0.05176545,0.02802064,?,0.02802064,528,1,"82456576",bad
?,?,1,528,1,1,1,1,0.001868155,?,?,0.002652458,?,528,0.0001157056,?,?,0.02802064,0.002652575,?,528,?,0.0005924673,1.167136e-07,?,?,?,?,0.0002679376,6.932878,0.3128227,?,528,?,1.0,0.3128227,1,2,6.932878,528,?,1,0.002173499,?,1,240080.3,0.02802064,?,?,71,0.01401026,?,0.01401038,0.05176545,0.02802064,?,0.02802064,528,1,"12321508",good
?,?,1,528,1,1,1,1,0.001868155,?,?,0.002652458,?,528,0.0001157056,?,?,0.02802064,0.002652575,?,528,?,0.0005924673,1.167136e-07,?,?,?,?,0.0002679376,6.932878,0.3128227,?,528,?,1.0,0.3128227,1,2,6.932878,528,?,1,0.002173499,?,1,240080.3,0.02802064,?,?,71,0.01401026,?,0.01401038,0.05176545,0.02802064,?,0.02802064,528,1,"95762354",bad
?,?,8035,153,1,496,1,20,35.7892,?,?,4.08236,4088.432,675528,35.76346,?,10976,64.34781,13.09716,?,675528,?,35.67321,-12.65576,?,?,642127,?,35.76369,12.69067,1191521.0,?,33401,10976,1.0,1191521.0,1,2,12.69067,33401,?,45,0.3923124,2155.186,1,3.379986,59.97482,?,72883990.0,61,20.44351,10.0554,37.62303,6866.975,64.22844,?,35.81763,33401,20,"82456576",bad
?,?,8035,153,1,496,1,20,35.7892,?,?,4.08236,4088.432,675528,35.76346,?,10976,64.34781,13.09716,?,675528,?,35.67321,-12.65576,?,?,642127,?,35.76369,12.69067,1191521.0,?,33401,10976,1.0,1191521.0,1,2,12.69067,33401,?,45,0.3923124,2155.186,1,3.379986,59.97482,?,72883990.0,61,20.44351,10.0554,37.62303,6866.975,64.22844,?,35.81763,33401,20,"12321508",bad
?,?,8035,153,1,496,1,20,35.7892,?,?,4.08236,4088.432,675528,35.76346,?,10976,64.34781,13.09716,?,675528,?,35.67321,-12.65576,?,?,642127,?,35.76369,12.69067,1191521.0,?,33401,10976,1.0,1191521.0,1,2,12.69067,33401,?,45,0.3923124,2155.186,1,3.379986,59.97482,?,72883990.0,61,20.44351,10.0554,37.62303,6866.975,64.22844,?,35.81763,33401,20,"95762354",bad
?,1152,1539,4,240,338,?,4,2.001001,?,2120,2.228511,481.8226,5590,1.0,?,1152,91.72601,4.22785,1152,5590,?,0.0538875,-82.0,?,?,2313,?,1.618034,22.16061,62.34783,?,974,1152,0.7285714,62.34752,1,?,22.16061,1157,?,7,0.3176672,15.33175,1,5.401781,10.91059,?,565402.0,70,9.369152,?,1.430839,39.72322,87.72601,?,10.79999,1157,4,"82456576",good
?,?,507,1,1,52,1,12,21.68404,?,?,3.697586,258.9862,9285,12.47423,?,552,34.80472,6.412192,?,9285,?,17.5109,-1.365429,?,?,8516,?,21.67682,12.79045,13465.88,?,769,552,1.0,13465.88,1,2,12.79262,769,?,15,2.090567,157.4946,1,3.025419,30.57715,?,292302.2,42,8.997886,4.175435,17.87936,513.7754,34.87307,?,21.72971,769,12,"11256944",bad
?,?,507,1,1,52,1,12,21.68404,?,?,3.697586,258.9862,9285,12.47423,?,552,34.80472,6.412192,?,9285,?,17.5109,-1.365429,?,?,8516,?,21.67682,12.79045,13465.88,?,769,552,1.0,13465.88,1,2,12.79262,769,?,15,2.090567,157.4946,1,3.025419,30.57715,?,292302.2,42,8.997886,4.175435,17.87936,513.7754,34.87307,?,21.72971,769,12,"82456576",bad
?,?,507,1,1,52,1,12,21.68404,?,?,3.697586,258.9862,9285,12.47423,?,552,34.80472,6.412192,?,9285,?,17.5109,-1.365429,?,?,8516,?,21.67682,12.79045,13465.88,?,769,552,1.0,13465.88,1,2,12.79262,769,?,15,2.090567,157.4946,1,3.025419,30.57715,?,292302.2,42,8.997886,4.175435,17.87936,513.7754,34.87307,?,21.72971,769,12,"12321508",bad
?,?,507,1,1,52,1,12,21.68404,?,?,3.697586,258.9862,9285,12.47423,?,552,34.80472,6.412192,?,9285,?,17.5109,-1.365429,?,?,8516,?,21.67682,12.79045,13465.88,?,769,552,1.0,13465.88,1,2,12.79262,769,?,15,2.090567,157.4946,1,3.025419,30.57715,?,292302.2,42,8.997886,4.175435,17.87936,513.7754,34.87307,?,21.72971,769,12,"95762354",good
?,?,105,3,1,12,?,6,?,?,?,6.603858,52.2381,728,?,?,108,12.0,5.512785,?,728,?,?,-11.0,?,?,613,?,?,0.30103,?,?,?,108,0.5083333,?,1,10,0.30103,115,?,6,?,24.28992,1,20.27642,7.145821,?,11854.6,240,0.4886991,0.5237368,-0.03709428,24.93993,11.0,?,?,115,6,"82456576",good
?,100,9,?,99,9,1,8,23908.46,?,38612,29.33564,66.22222,87025,29.49389,?,100,37362.49,19434.8,100,87025,?,440.545,-71.99191,?,?,38612,?,23804.35,1.044205,4317782.0,?,9801,100,1.0,4317782.0,4,2,1.258102,9801,?,8,1234.182,4256.155,?,1.305113,23926.11,?,10920.05,27,2794.696,52.38479,21113.76,136866.1,37434.49,?,23908.46,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,23908.46,?,38612,29.33564,66.22222,87025,29.49389,?,100,37362.49,19434.8,100,87025,?,440.545,-71.99191,?,?,38612,?,23804.35,1.044205,4317782.0,?,9801,100,1.0,4317782.0,4,2,1.258102,9801,?,8,1234.182,4256.155,?,1.305113,23926.11,?,10920.05,27,2794.696,52.38479,21113.76,136866.1,37434.49,?,23908.46,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,23908.46,?,38612,29.33564,66.22222,87025,29.49389,?,100,37362.49,19434.8,100,87025,?,440.545,-71.99191,?,?,38612,?,23804.35,1.044205,4317782.0,?,9801,100,1.0,4317782.0,4,2,1.258102,9801,?,8,1234.182,4256.155,?,1.305113,23926.11,?,10920.05,27,2794.696,52.38479,21113.76,136866.1,37434.49,?,23908.46,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,56651.75,?,38612,4298.523,66.22222,87025,23.69245,?,100,89701.22,45206.99,100,87025,?,775.2334,-192.9963,?,?,38612,?,56651.75,1.129968,7598062.0,?,9801,100,1.0,7598062.0,4,2,1.249586,9801,?,8,2737.322,10582.85,?,1.384842,56673.33,?,10920.05,37,7871.642,?,48780.11,296999.8,89894.21,?,56651.75,9801,8,"11256944",bad
?,100,9,?,99,9,1,8,56651.75,?,38612,4298.523,66.22222,87025,23.69245,?,100,89701.22,45206.99,100,87025,?,775.2334,-192.9963,?,?,38612,?,56651.75,1.129968,7598062.0,?,9801,100,1.0,7598062.0,4,2,1.249586,9801,?,8,2737.322,10582.85,?,1.384842,56673.33,?,10920.05,37,7871.642,?,48780.11,296999.8,89894.21,?,56651.75,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,56651.75,?,38612,4298.523,66.22222,87025,23.69245,?,100,89701.22,45206.99,100,87025,?,775.2334,-192.9963,?,?,38612,?,56651.75,1.129968,7598062.0,?,9801,100,1.0,7598062.0,4,2,1.249586,9801,?,8,2737.322,10582.85,?,1.384842,56673.33,?,10920.05,37,7871.642,?,48780.11,296999.8,89894.21,?,56651.75,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,56651.75,?,38612,4298.523,66.22222,87025,23.69245,?,100,89701.22,45206.99,100,87025,?,775.2334,-192.9963,?,?,38612,?,56651.75,1.129968,7598062.0,?,9801,100,1.0,7598062.0,4,2,1.249586,9801,?,8,2737.322,10582.85,?,1.384842,56673.33,?,10920.05,37,7871.642,?,48780.11,296999.8,89894.21,?,56651.75,9801,8,"95762354",bad
?,359,580,?,46,31,?,9,1.084972,?,1737,10.27909,161.2879,3429,-0.1332894,?,307,22.42412,4.480735,359,3429,?,0.005509642,-18.61634,?,?,1329,?,1.0,5.0,2.0,?,261,307,0.25,2.0,2,1,5.431689,363,?,6,0.0740222,29.06745,?,1.34453,12.07668,?,50329.55,20,1.74222,1.730956,-0.05662178,37.2065,18.61634,?,1.685289,363,9,"82456576",good
?,100,9,?,99,9,1,8,167157.1,?,38612,10485.96,66.22222,87025,107.2415,?,100,261583.9,132075.6,100,87025,?,2530.451,-540.2389,?,?,38612,?,165957.0,1.103877,24800950.0,?,9801,100,1.0,24800950.0,4,2,1.406217,9801,?,8,8105.987,30315.3,?,1.374764,167297.2,?,10920.05,37,22783.74,?,144373.4,886489.6,262124.1,?,167157.1,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,167157.1,?,38612,10485.96,66.22222,87025,107.2415,?,100,261583.9,132075.6,100,87025,?,2530.451,-540.2389,?,?,38612,?,165957.0,1.103877,24800950.0,?,9801,100,1.0,24800950.0,4,2,1.406217,9801,?,8,8105.987,30315.3,?,1.374764,167297.2,?,10920.05,37,22783.74,?,144373.4,886489.6,262124.1,?,167157.1,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,167157.1,?,38612,10485.96,66.22222,87025,107.2415,?,100,261583.9,132075.6,100,87025,?,2530.451,-540.2389,?,?,38612,?,165957.0,1.103877,24800950.0,?,9801,100,1.0,24800950.0,4,2,1.406217,9801,?,8,8105.987,30315.3,?,1.374764,167297.2,?,10920.05,37,22783.74,?,144373.4,886489.6,262124.1,?,167157.1,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,395697.2,?,38612,570.4878,66.22222,87025,57.79006,?,100,628785.8,317190.0,100,87025,?,4802.857,-1448.134,?,?,38612,?,395697.2,1.20324,47072800.0,?,9801,100,1.0,47072800.0,4,2,1.560951,9801,?,8,18251.71,74983.69,?,1.249756,395860.9,?,10920.05,24,39538.85,?,356158.3,1969674.0,630234.0,?,395697.2,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,395697.2,?,38612,570.4878,66.22222,87025,57.79006,?,100,628785.8,317190.0,100,87025,?,4802.857,-1448.134,?,?,38612,?,395697.2,1.20324,47072800.0,?,9801,100,1.0,47072800.0,4,2,1.560951,9801,?,8,18251.71,74983.69,?,1.249756,395860.9,?,10920.05,24,39538.85,?,356158.3,1969674.0,630234.0,?,395697.2,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,395697.2,?,38612,570.4878,66.22222,87025,57.79006,?,100,628785.8,317190.0,100,87025,?,4802.857,-1448.134,?,?,38612,?,395697.2,1.20324,47072800.0,?,9801,100,1.0,47072800.0,4,2,1.560951,9801,?,8,18251.71,74983.69,?,1.249756,395860.9,?,10920.05,24,39538.85,?,356158.3,1969674.0,630234.0,?,395697.2,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,60418.4,?,38612,49994.99,66.22222,87025,126.8214,?,100,91833.2,49995.3,100,87025,?,1683.587,-90.24792,?,?,38612,?,60147.19,1.096194,16500840.0,?,9801,100,1.0,16500840.0,4,2,1.393384,9801,?,8,3695.628,9198.523,?,192461.4,60449.83,?,10920.05,26,30209.04,?,30209.36,424689.8,91923.45,?,60418.4,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,60418.4,?,38612,49994.99,66.22222,87025,126.8214,?,100,91833.2,49995.3,100,87025,?,1683.587,-90.24792,?,?,38612,?,60147.19,1.096194,16500840.0,?,9801,100,1.0,16500840.0,4,2,1.393384,9801,?,8,3695.628,9198.523,?,192461.4,60449.83,?,10920.05,26,30209.04,?,30209.36,424689.8,91923.45,?,60418.4,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,60418.4,?,38612,49994.99,66.22222,87025,126.8214,?,100,91833.2,49995.3,100,87025,?,1683.587,-90.24792,?,?,38612,?,60147.19,1.096194,16500840.0,?,9801,100,1.0,16500840.0,4,2,1.393384,9801,?,8,3695.628,9198.523,?,192461.4,60449.83,?,10920.05,26,30209.04,?,30209.36,424689.8,91923.45,?,60418.4,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,86062.62,?,38612,2688.849,66.22222,87025,79.80454,?,100,132173.3,67061.76,100,87025,?,1833.956,-218.6362,?,?,38612,?,84672.36,1.096194,17974600.0,?,9801,100,1.0,17974600.0,4,2,1.393387,9801,?,8,4626.598,14127.22,?,1.233862,86116.34,?,10920.05,24,8156.005,?,77906.61,520020.5,132392.0,?,86062.62,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,86062.62,?,38612,2688.849,66.22222,87025,79.80454,?,100,132173.3,67061.76,100,87025,?,1833.956,-218.6362,?,?,38612,?,84672.36,1.096194,17974600.0,?,9801,100,1.0,17974600.0,4,2,1.393387,9801,?,8,4626.598,14127.22,?,1.233862,86116.34,?,10920.05,24,8156.005,?,77906.61,520020.5,132392.0,?,86062.62,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,86062.62,?,38612,2688.849,66.22222,87025,79.80454,?,100,132173.3,67061.76,100,87025,?,1833.956,-218.6362,?,?,38612,?,84672.36,1.096194,17974600.0,?,9801,100,1.0,17974600.0,4,2,1.393387,9801,?,8,4626.598,14127.22,?,1.233862,86116.34,?,10920.05,24,8156.005,?,77906.61,520020.5,132392.0,?,86062.62,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,56267.25,?,38612,46646.47,66.22222,87025,100.4695,?,100,84152.5,46646.78,100,87025,?,1666.789,-0.07760163,?,?,38612,?,56267.25,1.096194,16336200.0,?,9801,100,1.0,16336200.0,4,2,1.393384,9801,?,8,3565.913,8408.434,?,179235.1,56316.53,?,10920.05,30,28133.47,?,28133.78,411735.3,84152.58,?,56267.25,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,56267.25,?,38612,46646.47,66.22222,87025,100.4695,?,100,84152.5,46646.78,100,87025,?,1666.789,-0.07760163,?,?,38612,?,56267.25,1.096194,16336200.0,?,9801,100,1.0,16336200.0,4,2,1.393384,9801,?,8,3565.913,8408.434,?,179235.1,56316.53,?,10920.05,30,28133.47,?,28133.78,411735.3,84152.58,?,56267.25,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,56267.25,?,38612,46646.47,66.22222,87025,100.4695,?,100,84152.5,46646.78,100,87025,?,1666.789,-0.07760163,?,?,38612,?,56267.25,1.096194,16336200.0,?,9801,100,1.0,16336200.0,4,2,1.393384,9801,?,8,3565.913,8408.434,?,179235.1,56316.53,?,10920.05,30,28133.47,?,28133.78,411735.3,84152.58,?,56267.25,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,56403.24,?,38612,46839.73,66.22222,87025,79.79329,?,100,84463.15,46840.05,100,87025,?,1667.223,-12.88893,?,?,38612,?,56403.24,1.096194,16340450.0,?,9801,100,1.0,16340450.0,4,2,1.393384,9801,?,8,3569.828,8436.874,?,179674.6,56450.71,?,10920.05,30,28201.46,?,28201.78,412120.8,84476.04,?,56403.24,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,56403.24,?,38612,46839.73,66.22222,87025,79.79329,?,100,84463.15,46840.05,100,87025,?,1667.223,-12.88893,?,?,38612,?,56403.24,1.096194,16340450.0,?,9801,100,1.0,16340450.0,4,2,1.393384,9801,?,8,3569.828,8436.874,?,179674.6,56450.71,?,10920.05,30,28201.46,?,28201.78,412120.8,84476.04,?,56403.24,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,56403.24,?,38612,46839.73,66.22222,87025,79.79329,?,100,84463.15,46840.05,100,87025,?,1667.223,-12.88893,?,?,38612,?,56403.24,1.096194,16340450.0,?,9801,100,1.0,16340450.0,4,2,1.393384,9801,?,8,3569.828,8436.874,?,179674.6,56450.71,?,10920.05,30,28201.46,?,28201.78,412120.8,84476.04,?,56403.24,9801,8,"95762354",bad
?,5789,1752,?,4,60,?,7,1.0,?,14185,11223000.0,2314.406,45465,4.072221e-07,?,5837,26524340.0,11223100.0,5789,45465,?,41691.86,-37533560.0,?,?,25430,?,1.0,24.13064,243897400.0,?,5850,5837,0.09090909,-243890600.0,2,?,19.29646,5850,?,13,400518.0,67964580.0,?,75008.05,18445420.0,?,16429140.0,44,3828716.0,100.3602,-3828656.0,74617540.0,37533560.0,?,10.77404,5850,7,"82456576",good
?,13435,20535,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.994,108359,-3.605434e-08,?,11773,10193.72,1002.872,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.425,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.187843,14142.8,?,79678230.0,240,7.974858,15.5576,0.0001274165,51148.52,20000.01,?,7.974986,13436,8,"82456576",good
?,?,1,3562,1,1,1,1,7331.383,?,?,129714.6,?,3562,11.01651,?,?,1015347.0,545335.2,?,3562,?,35294.04,5.616972e-08,?,?,?,?,144.3633,7.250498,125717400.0,?,3562,?,1.0,125717400.0,1,2,7.250498,3562,?,1,98917.49,?,1,2.442966,1015347.0,?,?,32,299863.3,?,715483.9,6268179.0,1015347.0,?,1015347.0,3562,1,"82456576",bad
?,?,1,3562,1,1,1,1,7331.383,?,?,129714.6,?,3562,11.01651,?,?,1015347.0,545335.2,?,3562,?,35294.04,5.616972e-08,?,?,?,?,144.3633,7.250498,125717400.0,?,3562,?,1.0,125717400.0,1,2,7.250498,3562,?,1,98917.49,?,1,2.442966,1015347.0,?,?,32,299863.3,?,715483.9,6268179.0,1015347.0,?,1015347.0,3562,1,"12321508",good
?,?,1,3562,1,1,1,1,7331.383,?,?,129714.6,?,3562,11.01651,?,?,1015347.0,545335.2,?,3562,?,35294.04,5.616972e-08,?,?,?,?,144.3633,7.250498,125717400.0,?,3562,?,1.0,125717400.0,1,2,7.250498,3562,?,1,98917.49,?,1,2.442966,1015347.0,?,?,32,299863.3,?,715483.9,6268179.0,1015347.0,?,1015347.0,3562,1,"95762354",bad
?,?,1303,1462,1,362,?,5,0.02473542,?,?,3017.133,1615.923,12072,-1e-08,?,2316,18505.34,3017.135,?,12072,?,115.4367,-585.0,?,?,9745,?,525.4496,8.0,268621.1,?,2327,2316,0.969697,268621.1,1,?,9.446362,2327,?,2,507.8623,321.7952,1,8058892.0,18435.73,?,10605960.0,66,9217.863,?,9217.861,25125.72,18435.72,?,18435.72,2327,5,"82456576",bad
?,?,1303,1462,1,362,?,5,0.02473542,?,?,3017.133,1615.923,12072,-1e-08,?,2316,18505.34,3017.135,?,12072,?,115.4367,-585.0,?,?,9745,?,525.4496,8.0,268621.1,?,2327,2316,0.969697,268621.1,1,?,9.446362,2327,?,2,507.8623,321.7952,1,8058892.0,18435.73,?,10605960.0,66,9217.863,?,9217.861,25125.72,18435.72,?,18435.72,2327,5,"12321508",bad
?,?,1303,1462,1,362,?,5,0.02473542,?,?,3017.133,1615.923,12072,-1e-08,?,2316,18505.34,3017.135,?,12072,?,115.4367,-585.0,?,?,9745,?,525.4496,8.0,268621.1,?,2327,2316,0.969697,268621.1,1,?,9.446362,2327,?,2,507.8623,321.7952,1,8058892.0,18435.73,?,10605960.0,66,9217.863,?,9217.861,25125.72,18435.72,?,18435.72,2327,5,"95762354",good
?,?,1,1922,1,1,1,1,0.369505,?,?,0.426011,?,1922,0.000369505,?,?,1.512404,1.401301,?,1922,?,0.1359897,5.782098e-06,?,?,?,?,0.1822506,5.237915,261.3722,?,1922,?,1.0,261.3722,1,2,5.237915,1922,?,1,0.2234413,?,1,1.550722,1.512404,?,?,18,0.2685567,?,1.243847,11.46742,1.512404,?,1.512404,1922,1,"82456576",bad
?,?,1,1922,1,1,1,1,0.369505,?,?,0.426011,?,1922,0.000369505,?,?,1.512404,1.401301,?,1922,?,0.1359897,5.782098e-06,?,?,?,?,0.1822506,5.237915,261.3722,?,1922,?,1.0,261.3722,1,2,5.237915,1922,?,1,0.2234413,?,1,1.550722,1.512404,?,?,18,0.2685567,?,1.243847,11.46742,1.512404,?,1.512404,1922,1,"12321508",good
?,?,1,1922,1,1,1,1,0.369505,?,?,0.426011,?,1922,0.000369505,?,?,1.512404,1.401301,?,1922,?,0.1359897,5.782098e-06,?,?,?,?,0.1822506,5.237915,261.3722,?,1922,?,1.0,261.3722,1,2,5.237915,1922,?,1,0.2234413,?,1,1.550722,1.512404,?,?,18,0.2685567,?,1.243847,11.46742,1.512404,?,1.512404,1922,1,"95762354",bad
?,25,33,43,30,11,?,4,1.0,?,173,9771977000.0,12.15152,555,-0.0001229701,?,32,6322411000.0,6475200.0,25,555,?,0.4515031,-18188610000.0,?,?,251,?,0.5,17.85225,59.14691,?,131,32,0.5230126,58.85309,1,?,8.914829,131,?,6,0.4564953,15153350000.0,?,106005.9,9772096000.0,?,426.7346,239,119005.4,2.697475,-0.2509796,15153350000.0,18188610000.0,?,119005.2,131,4,"82456576",good
?,?,2922,12409,1,120,?,1,?,?,?,36.46896,4708.43,16769,?,?,13138,168.0,14.6875,?,16769,?,?,-220.0,?,?,3437,?,?,1.230449,?,?,?,13138,0.5166667,?,1,10,1.230449,13332,?,8,?,104.9714,1,70.82769,36.99793,?,99115860.0,240,0.4800137,0.4824751,0.01064171,107.2753,220.0,?,?,13332,1,"82456576",good
