31	zpocon	"UPLO,N,A,LDA,ANORM"	"RCOND,WORK,RWORK,INFO"		A	RWORK	WORK		UPLO	"N,LDA,INFO"	"ANORM,RCOND"		"A,WORK,RWORK"	"A(LDA,N);WORK(2*N);RWORK(N)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
32	ppsv	"UPLO,N,NRHS,LDB"	INFO	"AP,B"	B		AP		UPLO	"N,NRHS,LDB,INFO"			"B,AP"	"B(LDB, NRHS);AP(N*(N+1)/2)"	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
33	pptrf	"UPLO,N"	INFO	AP			AP		UPLO	"N,INFO"			AP	AP(N*(N+1)/2)	"((AP(I+J*(J-1)/2),J=I,N),I=1,N)"	"((AP(I+(2*N-J)*(J-1)/2),J=1,I),I=1,N)"
34	dppcon	"UPLO,N,AP,ANORM"	"RCOND,WORK,IWORK,INFO"				"AP,WORK"	IWORK	UPLO	"N,INFO"	"ANORM,RCOND"		"AP,WORK,IWORK"	AP(N*(N+1)/2);WORK(3*N);IWORK(N)	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
35	zppcon	"UPLO,N,AP,ANORM"	"RCOND,WORK,RWORK,INFO"			RWORK	"AP,WORK"		UPLO	"N,INFO"	"ANORM,RCOND"		"AP,WORK,RWORK"	AP(N*(N+1)/2);WORK(2*N);RWORK(N)	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
36	spsv	"UPLO,N,NRHS,LDB"	"IPIV,INFO"	"AP,B"	B		AP	IPIV	UPLO	"N,NRHS,LDB,INFO"			"B,AP,IPIV"	"B(LDB, NRHS);AP(N*(N+1)/2);IPIV(N)"	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
37	sptrf	"UPLO,N,"	"IPIV,INFO"	AP			AP	IPIV	UPLO	"N,INFO"			"AP,IPIV"	AP(N*(N+1)/2);IPIV(N)	"((AP(I+J*(J-1)/2),J=I,N),I=1,N)"	"((AP(I+(2*N-J)*(J-1)/2),J=1,I),I=1,N)"
38	dspcon	"UPLO,N,AP,IPIV,ANORM"	"RCOND,WORK,IWORK,INFO"				"AP,WORK"	"IPIV,IWORK"	UPLO	"N,INFO"	"ANORM,RCOND"		"AP,WORK,IWORK,IPIV"	AP(N*(N+1)/2);WORK(2*N);IWORK(N);IPIV(N)	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
39	zspcon	"UPLO,N,AP,IPIV,ANORM"	"RCOND,WORK,INFO"				"AP,WORK"	IPIV	UPLO	"N,INFO"	"ANORM,RCOND"		"AP,WORK,IPIV"	AP(N*(N+1)/2);WORK(2*N);IPIV(N)	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
40	hpsv	"UPLO,N,NRHS,LDB"	"IPIV,INFO"	"AP,B"	B		AP	IPIV	UPLO	"N,NRHS,LDB,INFO"			"B,AP,IPIV"	"B(LDB, NRHS);AP(N*(N+1)/2);IPIV(N)"	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
41	hptrf	"UPLO,N"	"IPIV,INFO"	AP			AP	IPIV	UPLO	"N,INFO"			"AP,IPIV"	AP(N*(N+1)/2);IPIV(N)	"((AP(I+J*(J-1)/2),J=I,N),I=1,N)"	"((AP(I+(2*N-J)*(J-1)/2),J=1,I),I=1,N)"
42	hpcon	"UPLO,N,AP,IPIV,ANORM"	"RCOND,WORK,INFO"				"AP,WORK"	IPIV	UPLO	"N,INFO"	"ANORM,RCOND"		"AP,WORK,IPIV"	AP(N*(N+1)/2);WORK(2*N);IPIV(N)	"((AP(I+(J*(J-1))/2),J=I,N),I=1,N)"	"((AP(I+((2*N-J)*(J-1))/2),J=1,I),I=1,N)"
43	pftrf	"TRANSR,UPLO,N,"	INFO	A			A		"UPLO,TRANSR"	"N,INFO"			A	A(N*(N+1)/2)	"(AP(I), I=1,N*(N+1)/2)"	
44	pstrf	"UPLO,N,LDA,TOL"	"PIV,RANK,WORK,INFO"	A	A		WORK	PIV	UPLO	"N,LDA,RANK,INFO"			"A,WORK,PIV"	"A(LDA, N);WORK(2*N);PIV(N)"	"(A(I,I:N),I=1,N)"	"(A(I,1:I),I=1,N)"
