config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s1000_g1e3,1,53362206,bicg/jacobi,KSPSolve,1,1.8,1.800000e+00,3.14e+10,0.0e+00,0.0e+00,0.0e+00,1720,1.6363636363636362,163.63636363636363
s1000_g1e3,1,19481960,bicg/none,KSPSolve,1,1.1,1.100000e+00,1.92e+11,0.0e+00,0.0e+00,0.0e+00,1720,1.324870222939526,132.4870222939526
s1000_g1e3,1,36564232,bicg/asm/overlap0,KSPSolve,1,6.5,6.500000e+00,9.23e+10,0.0e+00,0.0e+00,0.0e+00,1415,1.1403508771929824,114.03508771929825
s1000_g1e3,1,36564235,bicg/asm/overlap3,KSPSolve,1,6.5,6.500000e+00,9.23e+10,0.0e+00,0.0e+00,0.0e+00,1402,1.120689655172414,112.0689655172414
s1000_g1e3,1,36564234,bicg/asm/overlap2,KSPSolve,1,6.5,6.500000e+00,9.23e+10,0.0e+00,0.0e+00,0.0e+00,1401,1.1403508771929824,114.03508771929825
s1000_g1e3,1,13323659,bicg/bjacobi,KSPSolve,1,5.8,5.800000e+00,9.23e+10,0.0e+00,0.0e+00,0.0e+00,1577,1.1372549019607843,113.72549019607843
s1000_g1e3,1,96689089,cg/none,KSPSolve,1,1.0,1.000000e+00,2.04e+12,0.0e+00,0.0e+00,0.0e+00,1857,1.563574957783476,156.3574957783476
s1000_g1e3,1,44673503,fgmres/none,KSPSolve,1,1.7,1.700000e+00,4.30e+12,0.0e+00,0.0e+00,0.0e+00,2452,1.0,100.0
s1000_g1e3,1,81986705,cg/jacobi,KSPSolve,1,8.2,8.200000e+00,1.53e+11,0.0e+00,0.0e+00,0.0e+00,1858,18.96523810625159,1896.523810625159
s1000_g1e3,1,44526267,fgmres/jacobi,KSPSolve,1,1.7,1.700000e+00,4.34e+12,0.0e+00,0.0e+00,0.0e+00,2445,0.6799999999999999,1632.0
s1000_g1e3,1,36564233,bicg/asm/overlap1,KSPSolve,1,6.6,6.600000e+00,9.23e+10,0.0e+00,0.0e+00,0.0e+00,1391,1.1379310344827587,113.79310344827587
s1000_g1e3,24,11256944,tfqmr/asm/overlap2,KSPSolve,4,4.3,1.075000e+00,2.15e+11,3.0e+06,7.3e+03,2.1e+04,11800,0.1762295081967213,17.62295081967213
s1000_g1e3,24,99720138,cg/bjacobi,KSPSolve,1,2.6,2.600000e+00,1.50e+11,7.6e+05,6.7e+03,3.0e+04,13583,1.0,100.0
s1000_g1e3,24,75830645,ibcgs/asm/overlap3,KSPSolve,4,1.1,2.750000e-01,1.66e+11,2.2e+06,9.8e+03,1.0e+04,35344,0.1527777777777778,15.277777777777779
s1000_g1e3,24,75830644,ibcgs/asm/overlap2,KSPSolve,4,1.1,2.750000e-01,1.65e+11,2.2e+06,7.3e+03,1.0e+04,35352,0.15714285714285717,15.714285714285717
s1000_g1e3,24,11256942,tfqmr/asm/overlap0,KSPSolve,4,4.5,1.125000e+00,2.28e+11,1.2e+06,6.7e+03,2.3e+04,12049,1.3500000540000021,135.00000540000022
s1000_g1e3,24,11256943,tfqmr/asm/overlap3,KSPSolve,3,9.0,3.000000e+00,4.51e+11,6.2e+06,9.7e+03,4.4e+04,11856,0.48387096774193544,48.387096774193544
s1000_g1e3,24,11256941,tfqmr/asm/overlap1,KSPSolve,4,4.5,1.125000e+00,2.22e+11,2.2e+06,6.8e+03,2.2e+04,11543,1.0887100286161382,108.87100286161382
s1000_g1e3,24,42851841,gmres/bjacobi,KSPSolve,2,5.4,2.700000e+00,3.67e+11,1.2e+06,6.7e+03,3.0e+04,16044,1.173913043478261,117.3913043478261
s1000_g1e3,24,81986705,cg/jacobi,KSPSolve,1,1.0,1.000000e+00,6.39e+09,5.6e+04,6.7e+03,2.2e+03,14407,2.3128339153965354,9.636807980818897
s1000_g1e3,24,82456576,tfqmr/jacobi,KSPSolve,1,3.2,3.200000e+00,1.75e+11,1.5e+06,6.7e+03,3.0e+04,12758,1.0,100.0
s1000_g1e3,24,7481378,tfqmr/none,KSPSolve,1,3.2,3.200000e+00,1.72e+11,1.5e+06,6.7e+03,3.0e+04,12479,0.4444444444444445,177.7777777777778
s1000_g1e3,24,53362206,bicg/jacobi,KSPSolve,1,2.3,2.300000e+00,1.31e+09,1.2e+04,6.7e+03,2.6e+02,13102,2.0909090909090904,8.71212121212121
s1000_g1e3,24,45869638,fgmres/asm/overlap3,KSPSolve,2,5.6,2.800000e+00,3.50e+11,3.0e+06,9.7e+03,2.9e+04,14719,1.2000001714285957,120.00001714285958
