nprocs,solverid,solvername,avg time/solve,name,count,maxtime,flops/kspsolve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
768,44526267,fgmres/jacobi,5.40E+00,KSPSolve,1,5.40E+00,5.83E+09,5.83E+09,3.10E+07,1.20E+03,2.00E+04,796382,0.20370370370370372,1.2731481481481484
1536,83929537,cg/asm,4.12E-02,KSPSolve,1,4.12E-02,1.94E+06,1.94E+06,1.10E+05,2.00E+03,3.40E+01,69871,14.24757281553398,22.261832524271842
1536,81997754,tfqmr/asm,2.40E-01,KSPSolve,5,1.20E+00,1.81E+09,9.06E+09,4.20E+08,8.40E+02,5.30E+04,1054445,5.916666666666667,18.489583333333336
1536,36931900,bicg/asm,2.40E-01,KSPSolve,1,2.40E-01,8.57E+07,8.57E+07,4.20E+06,8.60E+02,5.40E+02,529613,40.416666666666664,63.151041666666664
1536,22479830,gmres/asm,2.25E+00,KSPSolve,2,4.50E+00,2.09E+09,4.18E+09,1.30E+08,8.40E+02,2.10E+04,1378676,0.911111111111111,1.423611111111111
1536,90783920,gmres/jacobi,2.70E+00,KSPSolve,1,2.70E+00,2.92E+09,2.92E+09,6.20E+07,8.30E+02,2.00E+04,1586089,0.40740740740740744,10.185185185185187
1536,12321508,fgmres/bjacobi,2.80E+00,KSPSolve,2,5.60E+00,2.88E+09,5.75E+09,9.10E+07,8.30E+02,3.00E+04,1506971,1.0,1.5625
1536,82456576,tfqmr/jacobi,6.90E+00,KSPSolve,1,6.90E+00,2.82E+09,2.82E+09,1.20E+08,8.30E+02,3.00E+04,601418,0.47826086956521735,0.7472826086956521
3072,81986705,cg/jacobi,2.36E-02,KSPSolve,1,2.36E-02,1.41E+05,1.41E+05,2.40E+04,5.80E+02,1.50E+01,17778,0.516949152542373,1.6154661016949154
3072,53362206,bicg/jacobi,7.92E-02,KSPSolve,1,7.92E-02,1.06E+07,1.06E+07,2.00E+06,5.80E+02,2.60E+02,396371,13.88888888888889,21.70138888888889
3072,13323659,bicg/bjacobi,1.87E-01,KSPSolve,1,1.87E-01,5.68E+07,5.68E+07,6.00E+06,5.80E+02,7.60E+02,905752,14.973262032085561,46.79144385026738
3072,42851841,gmres/bjacobi,1.60E+00,KSPSolve,2,3.20E+00,1.01E+09,2.01E+09,1.30E+08,5.80E+02,2.10E+04,1857874,1.1874999999999998,0.9277343749999998
3072,36482981,fgmres/asm,3.55E+00,KSPSolve,2,7.10E+00,1.51E+09,3.02E+09,3.60E+08,5.80E+02,3.00E+04,1256168,0.35211267605633806,0.5501760563380282
3072,99720138,cg/bjacobi,3.70E+00,KSPSolve,1,3.70E+00,1.19E+09,1.19E+09,1.20E+08,5.80E+02,3.00E+04,936636,0.06837837837837837,0.05342060810810811
3072,44526267,fgmres/jacobi,4.30E+00,KSPSolve,1,4.30E+00,1.46E+09,1.46E+09,1.20E+08,5.80E+02,2.00E+04,1001553,0.2558139534883721,0.39970930232558144
3072,53302993,tfqmr/bjacobi,4.60E+00,KSPSolve,1,4.60E+00,2.39E+09,2.39E+09,2.40E+08,5.80E+02,3.00E+04,1537315,0.2608695652173913,0.4076086956521739
6144,83929537,cg/asm,1.07E-01,KSPSolve,1,1.07E-01,4.68E+05,4.68E+05,3.90E+05,1.10E+03,3.10E+01,24943,5.485981308411215,2.1429614485981308
6144,12321508,fgmres/bjacobi,5.00E-01,KSPSolve,2,1.00E+00,7.90E+08,1.58E+09,3.90E+08,4.20E+02,3.20E+04,826955,5.6,2.1875
6144,81997754,tfqmr/asm,5.50E-01,KSPSolve,2,1.10E+00,7.15E+08,1.43E+09,9.90E+08,4.20E+02,3.10E+04,724255,2.5818181818181816,2.017045454545454
6144,82456576,tfqmr/jacobi,1.00E+00,KSPSolve,1,1.00E+00,7.39E+08,7.39E+08,4.90E+08,4.20E+02,3.00E+04,413790,3.3,1.2890625
6144,36931900,bicg/asm,2.60E+00,KSPSolve,2,5.20E+00,1.97E+08,3.94E+08,2.80E+08,4.20E+02,8.80E+03,424954,3.7307692307692304,1.4573317307692306
6144,22479830,gmres/asm,4.60E+00,KSPSolve,2,9.20E+00,5.65E+08,1.13E+09,5.10E+08,4.20E+02,2.10E+04,692236,0.44565217391304346,0.1740828804347826
6144,90783920,gmres/jacobi,5.80E+00,KSPSolve,1,5.80E+00,7.64E+08,7.64E+08,2.50E+08,4.20E+02,2.00E+04,745103,0.18965517241379312,1.185344827586207
12288,99720138,cg/bjacobi,2.02E-01,KSPSolve,1,2.02E-01,1.90E+05,1.90E+05,1.90E+05,2.90E+02,2.00E+01,10698,1.2524752475247525,0.2446240717821782
12288,53362206,bicg/jacobi,3.24E-01,KSPSolve,1,3.24E-01,2.77E+06,2.77E+06,7.90E+06,2.90E+02,2.60E+02,96893,3.3950617283950617,1.326195987654321
12288,13323659,bicg/bjacobi,7.50E-01,KSPSolve,2,1.50E+00,8.50E+07,1.70E+08,2.80E+08,2.90E+02,8.70E+03,1248775,3.733333333333333,2.9166666666666665
12288,42851841,gmres/bjacobi,2.75E+00,KSPSolve,2,5.50E+00,2.60E+08,5.19E+08,5.10E+08,2.90E+02,2.10E+04,1062759,0.6909090909090909,0.13494318181818182
12288,12321508,fgmres/bjacobi,4.25E+00,KSPSolve,2,8.50E+00,3.75E+08,7.49E+08,7.50E+08,2.90E+02,3.00E+04,991341,0.6588235294117647,0.12867647058823528
12288,83929537,cg/asm,7.30E+00,KSPSolve,1,7.30E+00,3.61E+08,3.61E+08,9.70E+08,2.90E+02,3.00E+04,563759,0.08041095890410958,0.015705265410958902
12288,82456576,tfqmr/jacobi,8.10E+00,KSPSolve,1,8.10E+00,3.70E+08,3.70E+08,9.70E+08,2.90E+02,3.00E+04,512071,0.4074074074074074,0.07957175925925926
