config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s20_g1,24,30870720,gmres/asm/overlap2,KSPSolve,2,5.6028e-03,2.801400e-03,1.19e+06,1.7e+04,2.2e+02,2.2e+02,3957,0.0014490002498276293,0.14490002498276291
s20_g1,24,81986705,cg/jacobi,KSPSolve,1,8.3995e-04,8.399500e-04,1.26e+04,2.3e+02,1.3e+02,1.8e+01,290,0.00194266484723732,0.008094436863488834
s20_g1,24,69323954,gmres/none,KSPSolve,2,6.9742e-03,3.487100e-03,3.03e+06,2.8e+04,1.3e+02,8.0e+02,8560,0.00139484,0.139484
s20_g1,24,36564232,bicg/asm/overlap0,KSPSolve,2,5.8522e-03,2.926100e-03,1.40e+06,1.6e+04,1.3e+02,3.5e+02,4638,0.0005133508771929824,0.002138961988304093
s20_g1,24,36564235,bicg/asm/overlap3,KSPSolve,2,8.6048e-03,4.302400e-03,2.54e+06,3.5e+04,2.7e+02,2.6e+02,5301,0.0007417931034482758,0.0030908045977011494
s20_g1,24,36564234,bicg/asm/overlap2,KSPSolve,2,7.6792e-03,3.839600e-03,1.85e+06,3.3e+04,1.9e+02,2.4e+02,4413,0.0006736140350877193,0.0028067251461988303
s20_g1,24,13323659,bicg/bjacobi,KSPSolve,2,5.2140e-03,2.607000e-03,1.40e+06,1.6e+04,1.3e+02,3.4e+02,5206,0.0005111764705882353,0.0021299019607843137
s20_g1,24,95762355,cg/asm/overlap0,KSPSolve,1,2.3528e-01,2.352800e-01,6.62e+07,7.6e+05,1.3e+02,3.0e+04,5467,0.037346031746031745,0.1556084656084656
s20_g1,24,95762354,cg/asm/overlap1,KSPSolve,1,2.0840e-01,2.084000e-01,6.54e+07,1.1e+06,1.3e+02,2.1e+04,5939,0.0325625,0.13567708333333334
s20_g1,24,95762353,cg/asm/overlap2,KSPSolve,1,3.4639e-02,3.463900e-02,1.10e+07,1.9e+05,1.6e+02,2.7e+03,5862,0.005329076923076923,0.02220448717948718
s20_g1,24,95762352,cg/asm/overlap3,KSPSolve,1,2.2028e-01,2.202800e-01,8.63e+07,1.1e+06,2.2e+02,1.6e+04,7081,0.03441875,0.14341145833333332
s20_g1,24,45869640,fgmres/asm/overlap1,KSPSolve,2,5.4140e-03,2.707000e-03,1.11e+06,1.4e+04,1.7e+02,3.1e+02,3912,0.0012120897331477215,0.12120897331477215
s20_g1,96,7481378,tfqmr/none,KSPSolve,1,8.7111e-03,8.711100e-03,4.46e+05,1.2e+05,6.7e+01,5.6e+02,3308,0.0012098749999999998,0.12098749999999998
s20_g1,96,8520536,bcgs/jacobi,KSPSolve,2,8.9960e-03,4.498000e-03,4.06e+05,1.1e+05,6.7e+01,6.8e+02,2915,0.004498,0.11245000000000001
s20_g1,96,11256943,tfqmr/asm/overlap3,KSPSolve,2,1.2257e-02,6.128500e-03,7.88e+05,1.4e+05,1.2e+02,1.8e+02,4328,0.0009884677419354838,0.024711693548387096
s20_g1,96,11256941,tfqmr/asm/overlap1,KSPSolve,2,7.6129e-03,3.806450e-03,3.98e+05,8.7e+04,8.0e+01,2.1e+02,3415,0.003683662478600799,0.09209156196501998
s20_g1,96,11256944,tfqmr/asm/overlap2,KSPSolve,2,9.5539e-03,4.776950e-03,5.60e+05,1.2e+05,9.8e+01,1.9e+02,3930,0.0007831065573770492,0.01957766393442623
s20_g1,96,82456576,tfqmr/jacobi,KSPSolve,1,2.0891e-02,2.089100e-02,1.23e+06,3.4e+05,6.7e+01,1.5e+03,3790,0.0065284374999999995,0.1632109375
s20_g1,96,12321508,fgmres/bjacobi,KSPSolve,2,1.0678e-02,5.339000e-03,6.50e+05,7.4e+04,6.7e+01,5.5e+02,3908,0.002164459166964977,0.05411147917412443
s20_g1,96,53362206,bicg/jacobi,KSPSolve,2,1.2030e-02,6.015000e-03,6.26e+05,1.9e+05,6.7e+01,8.2e+02,3352,0.005468181818181818,0.0056960227272727275
s20_g1,96,45869639,fgmres/asm/overlap0,KSPSolve,2,1.1732e-02,5.866000e-03,6.50e+05,7.4e+04,6.7e+01,5.6e+02,3557,0.002227595218682939,0.05568988046707348
s20_g1,96,45869638,fgmres/asm/overlap3,KSPSolve,2,1.2314e-02,6.157000e-03,6.66e+05,1.1e+05,1.3e+02,2.9e+02,3628,0.002638714662673523,0.06596786656683808
s20_g1,96,45869637,fgmres/asm/overlap2,KSPSolve,2,1.7897e-02,8.948500e-03,5.36e+05,9.5e+04,1.0e+02,3.1e+02,2004,0.004329918656464734,0.10824796641161834
s20_g1,96,49542066,bcgs/none,KSPSolve,2,8.6062e-03,4.303100e-03,4.05e+05,1.2e+05,6.7e+01,6.9e+02,3038,0.005323708075072066,0.005545529244866735
s20_g1,96,44673503,fgmres/none,KSPSolve,2,1.5350e-02,7.675000e-03,9.06e+05,1.3e+05,6.7e+01,8.7e+02,3863,0.0045147058823529415,0.00470281862745098
s20_g1,96,99720138,cg/bjacobi,KSPSolve,1,9.6102e-03,9.610200e-03,4.07e+05,7.6e+04,6.7e+01,6.7e+02,2663,0.003696230769230769,0.09240576923076922
s20_g1,96,80361466,bcgs/asm/overlap0,KSPSolve,2,8.3899e-03,4.194950e-03,3.44e+05,6.4e+04,6.7e+01,4.0e+02,2567,0.009680654590819585,0.0100840151987704
s20_g1,96,80361467,bcgs/asm/overlap1,KSPSolve,2,7.1421e-03,3.571050e-03,3.69e+05,8.2e+04,8.1e+01,2.5e+02,3376,0.007652249453410754,0.007971093180636202
s20_g1,96,80361464,bcgs/asm/overlap2,KSPSolve,2,8.5640e-03,4.282000e-03,5.06e+05,1.1e+05,1.0e+02,2.1e+02,3963,0.00917571363030617,0.009558035031568927
s20_g1,96,80361465,bcgs/asm/overlap3,KSPSolve,2,1.1490e-02,5.745000e-03,7.54e+05,1.4e+05,1.2e+02,2.1e+02,4420,0.013257693327514872,0.013810097216161325
s20_g1,96,19481960,bicg/none,KSPSolve,2,1.2083e-02,6.041500e-03,6.03e+05,1.8e+05,6.7e+01,8.1e+02,3216,0.0072765485926264955,0.007579738117319266
s20_g1,96,96689089,cg/none,KSPSolve,1,9.8205e-04,9.820500e-04,6.06e+03,1.7e+03,6.7e+01,2.1e+01,398,0.0015355087872912627,0.0015994883200950653
s20_g1,96,53302993,tfqmr/bjacobi,KSPSolve,2,7.1023e-03,3.551150e-03,3.61e+05,6.6e+04,6.7e+01,3.1e+02,3189,0.004631934581220235,0.11579836453050588
s20_g1,96,44526267,fgmres/jacobi,KSPSolve,2,1.2841e-02,6.420500e-03,8.93e+05,1.2e+05,6.7e+01,8.5e+02,4552,0.0025682,0.064205
s20_g1,96,91036839,bcgs/bjacobi,KSPSolve,2,8.6379e-03,4.318950e-03,3.44e+05,6.4e+04,6.7e+01,3.9e+02,2493,0.009966808458985267,0.01038209214477632
s20_g1,96,30870723,gmres/asm/overlap1,KSPSolve,2,7.6721e-03,3.836050e-03,4.46e+05,7.3e+04,8.3e+01,2.8e+02,3811,0.0020189736842105266,0.050474342105263165
s20_g1,96,30870720,gmres/asm/overlap2,KSPSolve,2,9.6128e-03,4.806400e-03,5.19e+05,9.2e+04,1.1e+02,2.4e+02,3616,0.0024860693941498955,0.062151734853747385
s20_g1,96,81986705,cg/jacobi,KSPSolve,1,1.1041e-03,1.104100e-03,3.76e+03,1.0e+03,6.7e+01,1.8e+01,220,0.002553599925989315,0.0026599999229055364
s20_g1,96,69323954,gmres/none,KSPSolve,2,1.1611e-02,5.805500e-03,9.06e+05,1.3e+05,6.7e+01,8.0e+02,5108,0.0023222,0.058054999999999995
s20_g1,96,36564233,bicg/asm/overlap1,KSPSolve,2,9.2008e-03,4.600400e-03,6.42e+05,1.4e+05,7.5e+01,3.3e+02,4559,0.0007931724137931035,0.0008262212643678161
s20_g1,96,36564232,bicg/asm/overlap0,KSPSolve,2,1.1787e-02,5.893500e-03,6.18e+05,1.2e+05,6.7e+01,5.5e+02,3283,0.0010339473684210527,0.00107702850877193
s20_g1,96,36564235,bicg/asm/overlap3,KSPSolve,2,1.4079e-02,7.039500e-03,1.23e+06,2.2e+05,1.1e+02,2.6e+02,5890,0.001213706896551724,0.0012642780172413793
s20_g1,96,36564234,bicg/asm/overlap2,KSPSolve,2,1.1415e-02,5.707500e-03,8.77e+05,1.9e+05,9.0e+01,2.8e+02,5165,0.0010013157894736841,0.0010430372807017543
s20_g1,96,13323659,bicg/bjacobi,KSPSolve,2,1.2200e-02,6.100000e-03,6.18e+05,1.2e+05,6.7e+01,5.4e+02,3172,0.0011960784313725492,0.0012459150326797387
s20_g1,96,95762355,cg/asm/overlap0,KSPSolve,1,1.2440e-02,1.244000e-02,4.07e+05,7.6e+04,6.7e+01,6.7e+02,2057,0.0019746031746031745,0.002056878306878307
s20_g1,96,95762354,cg/asm/overlap1,KSPSolve,1,5.3642e-03,5.364200e-03,1.89e+05,4.2e+04,8.0e+01,1.9e+02,2298,0.00083815625,0.0008730794270833333
s20_g1,96,95762353,cg/asm/overlap2,KSPSolve,1,9.7135e-02,9.713500e-02,7.47e+06,1.5e+06,7.6e+01,4.4e+03,5181,0.014943846153846153,0.015566506410256408
s20_g1,96,95762352,cg/asm/overlap3,KSPSolve,1,4.5911e-01,4.591100e-01,4.42e+07,7.8e+06,8.8e+01,1.7e+04,6509,0.0717359375,0.07472493489583333
