config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s1000_g10,24,75830645,ibcgs/asm/overlap3,KSPSolve,2,3.2,1.600000e+00,5.72e+10,7.6e+05,9.8e+03,3.6e+03,41902,0.888888888888889,88.8888888888889
s1000_g10,24,75830644,ibcgs/asm/overlap2,KSPSolve,2,3.4,1.700000e+00,6.07e+10,8.1e+05,7.3e+03,3.8e+03,42154,0.9714285714285714,97.14285714285714
s1000_g10,24,75830647,ibcgs/asm/overlap1,KSPSolve,2,3.4,1.700000e+00,6.07e+10,5.8e+05,6.8e+03,3.9e+03,42330,1.0,100.0
s1000_g10,24,75830646,ibcgs/asm/overlap0,KSPSolve,2,3.8,1.900000e+00,7.02e+10,3.4e+05,6.7e+03,4.5e+03,43607,0.9743589743589743,97.43589743589743
s1000_g10,24,1216556,ibcgs/jacobi,KSPSolve,2,7.1,3.550000e+00,1.51e+11,1.2e+06,6.7e+03,1.6e+04,50990,1.4791666666666667,147.91666666666669
s1000_g10,24,25185158,ibcgs/none,KSPSolve,2,3.8,1.900000e+00,8.18e+10,6.8e+05,6.7e+03,8.9e+03,51183,0.5135135135135135,51.35135135135135
s1000_g10,96,18524981,ibcgs/bjacobi,KSPSolve,2,1.0,5.000000e-01,1.70e+10,1.5e+06,3.3e+03,4.3e+03,155103,1.0,100.0
s1000_g10,96,75830645,ibcgs/asm/overlap3,KSPSolve,2,1.2,6.000000e-01,1.71e+10,4.1e+06,4.7e+03,4.2e+03,133755,0.3333333333333333,8.333333333333332
s1000_g10,96,75830644,ibcgs/asm/overlap2,KSPSolve,2,1.0,5.000000e-01,1.54e+10,3.8e+06,3.5e+03,3.8e+03,134573,0.2857142857142857,7.142857142857142
s1000_g10,96,75830647,ibcgs/asm/overlap1,KSPSolve,2,1.1,5.500000e-01,1.70e+10,2.9e+06,3.4e+03,4.3e+03,138552,0.3235294117647059,8.088235294117647
s1000_g10,96,75830646,ibcgs/asm/overlap0,KSPSolve,2,1.1,5.500000e-01,1.78e+10,1.6e+06,3.3e+03,4.6e+03,144302,0.2820512820512821,7.051282051282053
s1000_g10,96,1216556,ibcgs/jacobi,KSPSolve,2,1.9,9.500000e-01,3.77e+10,5.5e+06,3.3e+03,1.6e+04,188363,0.3958333333333333,9.895833333333332
s1000_g10,96,25185158,ibcgs/none,KSPSolve,2,1.8,9.000000e-01,3.57e+10,5.3e+06,3.3e+03,1.5e+04,188132,0.24324324324324323,6.081081081081081
s1000_g10,192,18524981,ibcgs/bjacobi,KSPSolve,2,8.1,4.050000e+00,9.70e+09,3.5e+06,2.3e+03,4.9e+03,223599,8.1,405.0
s1000_g10,192,75830645,ibcgs/asm/overlap3,KSPSolve,2,7.5,3.750000e+00,7.56e+09,7.5e+06,3.3e+03,3.6e+03,188383,2.0833333333333335,26.041666666666668
s1000_g10,192,75830644,ibcgs/asm/overlap2,KSPSolve,3,1.3,4.333333e-01,1.39e+10,1.4e+07,2.4e+03,6.7e+03,192691,0.24761902857142856,3.095237857142857
s1000_g10,192,75830647,ibcgs/asm/overlap1,KSPSolve,2,7.8,3.900000e+00,8.18e+09,5.8e+06,2.4e+03,4.1e+03,196491,2.2941176470588234,28.676470588235293
s1000_g10,192,75830646,ibcgs/asm/overlap0,KSPSolve,2,9.4,4.700000e+00,1.03e+10,3.7e+06,2.3e+03,5.2e+03,205682,2.4102564102564106,30.12820512820513
s1000_g10,192,1216556,ibcgs/jacobi,KSPSolve,2,1.0,5.000000e-01,1.50e+10,9.0e+06,2.3e+03,1.3e+04,283792,0.20833333333333334,2.604166666666667
s1000_g10,192,25185158,ibcgs/none,KSPSolve,2,1.0,5.000000e-01,1.67e+10,1.0e+07,2.3e+03,1.4e+04,295118,0.13513513513513511,1.689189189189189
s1000_g10,384,18524981,ibcgs/bjacobi,KSPSolve,2,7.6,3.800000e+00,4.82e+09,7.1e+06,1.7e+03,4.9e+03,238525,7.6,190.0
s1000_g10,384,75830645,ibcgs/asm/overlap3,KSPSolve,2,7.0,3.500000e+00,3.93e+09,1.6e+07,2.3e+03,3.6e+03,209423,1.9444444444444444,12.152777777777777
s1000_g10,384,75830644,ibcgs/asm/overlap2,KSPSolve,2,3.3,1.650000e+00,3.90e+09,1.6e+07,1.7e+03,3.7e+03,434378,0.9428571428571428,5.892857142857142
s1000_g10,384,75830647,ibcgs/asm/overlap1,KSPSolve,2,6.6,3.300000e+00,3.87e+09,1.1e+07,1.7e+03,3.8e+03,219478,1.9411764705882353,12.132352941176471
s1000_g10,384,75830646,ibcgs/asm/overlap0,KSPSolve,2,3.7,1.850000e+00,5.54e+09,8.2e+06,1.7e+03,5.6e+03,565824,0.9487179487179488,5.92948717948718
s1000_g10,384,1216556,ibcgs/jacobi,KSPSolve,2,6.8,3.400000e+00,6.21e+09,1.5e+07,1.7e+03,1.0e+04,341445,1.4166666666666667,8.854166666666668
s1000_g10,384,25185158,ibcgs/none,KSPSolve,2,8.0,4.000000e+00,7.61e+09,1.9e+07,1.7e+03,1.3e+04,355825,1.081081081081081,6.756756756756756
s1000_g10,768,18524981,ibcgs/bjacobi,KSPSolve,2,2.5,1.250000e+00,2.90e+09,1.7e+07,1.2e+03,5.8e+03,831480,2.5,31.25
s1000_g10,768,75830645,ibcgs/asm/overlap3,KSPSolve,2,2.4,1.200000e+00,2.08e+09,3.2e+07,1.6e+03,3.7e+03,631237,0.6666666666666666,2.083333333333333
s1000_g10,768,75830644,ibcgs/asm/overlap2,KSPSolve,2,2.3,1.150000e+00,2.17e+09,3.5e+07,1.2e+03,4.0e+03,690261,0.6571428571428571,2.0535714285714284
s1000_g10,768,75830647,ibcgs/asm/overlap1,KSPSolve,2,2.5,1.250000e+00,2.28e+09,2.6e+07,1.2e+03,4.4e+03,672622,0.7352941176470589,2.297794117647059
s1000_g10,768,75830646,ibcgs/asm/overlap0,KSPSolve,2,2.3,1.150000e+00,2.59e+09,1.5e+07,1.2e+03,5.2e+03,817197,0.5897435897435898,1.842948717948718
s1000_g10,768,1216556,ibcgs/jacobi,KSPSolve,1,2.1,2.100000e+00,2.07e+09,2.0e+07,1.2e+03,6.9e+03,706443,0.8750000000000001,2.7343750000000004
s1000_g10,768,25185158,ibcgs/none,KSPSolve,2,2.6,1.300000e+00,2.62e+09,2.6e+07,1.2e+03,8.9e+03,722543,0.35135135135135137,1.097972972972973
s1000_g10,1536,18524981,ibcgs/bjacobi,KSPSolve,2,2.5,1.250000e+00,1.49e+09,3.6e+07,8.3e+02,6.0e+03,871769,2.5,15.625
s1000_g10,1536,75830645,ibcgs/asm/overlap3,KSPSolve,2,1.9,9.500000e-01,1.06e+09,6.3e+07,1.2e+03,3.6e+03,819664,0.5277777777777778,0.8246527777777778
s1000_g10,1536,75830644,ibcgs/asm/overlap2,KSPSolve,2,1.8,9.000000e-01,9.89e+08,6.2e+07,8.6e+02,3.5e+03,813818,0.5142857142857143,0.8035714285714287
s1000_g10,1536,75830647,ibcgs/asm/overlap1,KSPSolve,2,2.0,1.000000e+00,1.15e+09,5.2e+07,8.4e+02,4.4e+03,827034,0.5882352941176471,0.9191176470588236
s1000_g10,1536,75830646,ibcgs/asm/overlap0,KSPSolve,2,1.9,9.500000e-01,1.28e+09,3.1e+07,8.3e+02,5.2e+03,980963,0.48717948717948717,0.7612179487179487
s1000_g10,1536,1216556,ibcgs/jacobi,KSPSolve,2,3.7,1.850000e+00,1.88e+09,7.5e+07,8.3e+02,1.3e+04,739047,0.7708333333333334,1.2044270833333335
s1000_g10,1536,25185158,ibcgs/none,KSPSolve,1,1.2,1.200000e+00,5.94e+08,2.4e+07,8.3e+02,4.0e+03,700393,0.3243243243243243,0.5067567567567567
s1000_g10,3072,18524981,ibcgs/bjacobi,KSPSolve,2,1.8,9.000000e-01,7.77e+08,7.6e+07,5.8e+02,6.3e+03,1222282,1.8,5.625
s1000_g10,3072,75830645,ibcgs/asm/overlap3,KSPSolve,2,1.8,9.000000e-01,6.37e+08,1.4e+08,8.2e+02,4.0e+03,1023499,0.5,0.390625
s1000_g10,3072,75830644,ibcgs/asm/overlap2,KSPSolve,2,1.8,9.000000e-01,6.09e+08,1.5e+08,6.0e+02,4.2e+03,960905,0.5142857142857143,0.40178571428571436
s1000_g10,3072,75830647,ibcgs/asm/overlap1,KSPSolve,2,1.8,9.000000e-01,5.57e+08,9.9e+07,5.9e+02,4.2e+03,896642,0.5294117647058824,0.4136029411764706
