config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s20_g1e2,96,42851841,gmres/bjacobi,KSPSolve,3,2.1540e-02,7.180000e-03,9.83e+05,1.1e+05,6.7e+01,7.0e+02,2930,0.003121739130434783,0.07804347826086958
s20_g1e2,192,90783920,gmres/jacobi,KSPSolve,3,2.7398e-02,9.132667e-03,7.54e+05,3.3e+05,4.7e+01,9.8e+02,2685,0.0036530668000000002,0.045663335
s20_g1e2,192,99720138,cg/bjacobi,KSPSolve,1,4.9902e-02,4.990200e-02,2.30e+05,1.4e+05,4.7e+01,5.9e+02,409,0.019193076923076924,0.23991346153846155
s20_g1e2,192,53362206,bicg/jacobi,KSPSolve,3,3.2246e-02,1.074867e-02,5.64e+05,5.2e+05,4.7e+01,1.1e+03,1690,0.009771518181818182,0.005089332386363637
s20_g1e2,192,69323954,gmres/none,KSPSolve,3,2.6118e-02,8.706000e-03,7.43e+05,3.2e+05,4.7e+01,9.6e+02,2777,0.0034824,0.04353
s20_g1e2,192,19481960,bicg/none,KSPSolve,3,3.4155e-02,1.138500e-02,5.22e+05,4.9e+05,4.7e+01,1.0e+03,1475,0.013712406807424091,0.0071418785455333806
s20_g1e2,192,7481378,tfqmr/none,KSPSolve,3,3.6631e-02,1.221033e-02,3.98e+05,3.4e+05,4.7e+01,7.4e+02,1051,0.0016958791666666665,0.08479395833333332
s20_g1e2,192,13323659,bicg/bjacobi,KSPSolve,3,4.5223e-02,1.507433e-02,8.47e+05,5.3e+05,4.7e+01,1.1e+03,1654,0.0029557509803921573,0.0015394536356209154
s20_g1e2,192,12321508,fgmres/bjacobi,KSPSolve,3,3.1696e-02,1.056533e-02,8.52e+05,3.1e+05,4.7e+01,9.8e+02,2495,0.004283241313075498,0.05354051641344373
s20_g1e2,192,96689089,cg/none,KSPSolve,1,1.4107e-02,1.410700e-02,3.49e+04,3.1e+04,4.7e+01,1.3e+02,239,0.022057351929451498,0.011488204129922654
s20_g1e2,192,53302993,tfqmr/bjacobi,KSPSolve,3,3.7608e-02,1.253600e-02,5.26e+05,3.1e+05,4.7e+01,6.8e+02,1243,0.016351303636899843,0.20439129546124804
s20_g1e2,192,44673503,fgmres/none,KSPSolve,3,3.0759e-02,1.025300e-02,7.45e+05,3.2e+05,4.7e+01,1.0e+03,2365,0.006031176470588235,0.0031412377450980395
s20_g1e2,192,81986705,cg/jacobi,KSPSolve,1,4.1855e-01,4.185500e-01,8.30e+06,7.1e+06,4.7e+01,3.0e+04,1917,0.9680366352892199,0.5041857475464687
s20_g1e2,192,44526267,fgmres/jacobi,KSPSolve,3,3.8329e-02,1.277633e-02,7.49e+05,3.3e+05,4.7e+01,1.0e+03,1909,0.005110532,0.06388165
s20_g1e2,192,82456576,tfqmr/jacobi,KSPSolve,3,3.5412e-02,1.180400e-02,4.29e+05,3.6e+05,4.7e+01,7.9e+02,1174,0.0036887499999999998,0.046109374999999994
s20_g1e2,192,42851841,gmres/bjacobi,KSPSolve,3,4.6771e-02,1.559033e-02,8.28e+05,3.0e+05,4.7e+01,8.9e+02,1640,0.006778404347826087,0.08473005434782609
