63,"c","pbsvx","complex/cpbsvx.f"
64,"z","pbsvx","complex16/zpbsvx.f"
65,"s","ppsvx","single/sppsvx.f"
66,"d","ppsvx","double/dppsvx.f"
67,"c","ppsvx","complex/cppsvx.f"
68,"z","ppsvx","complex16/zppsvx.f"
69,"s","ptsvx","single/sptsvx.f"
70,"d","ptsvx","double/dptsvx.f"
71,"c","ptsvx","complex/cptsvx.f"
72,"z","ptsvx","complex16/zptsvx.f"
73,"s","sysvx","single/ssysvx.f"
74,"d","sysvx","double/dsysvx.f"
75,"c","sysvx","complex/csysvx.f"
76,"z","sysvx","complex16/zsysvx.f"
77,"s","spsvx","single/sspsvx.f"
78,"d","spsvx","double/dspsvx.f"
79,"c","spsvx","complex/cspsvx.f"
80,"z","spsvx","complex16/zspsvx.f"
81,"s","gels","single/sgels.f"
82,"d","gels","double/dgels.f"
83,"c","gels","complex/cgels.f"
84,"z","gels","complex16/zgels.f"
85,"s","gelsy","single/sgelsy.f"
86,"d","gelsy","double/dgelsy.f"
87,"c","gelsy","complex/cgelsy.f"
88,"z","gelsy","complex16/zgelsy.f"
89,"s","gelsd","single/sgelsd.f"
90,"d","gelsd","double/dgelsd.f"
91,"c","gelsd","complex/cgelsd.f"
92,"z","gelsd","complex16/zgelsd.f"
93,"s","gelss","single/sgelss.f"
94,"d","gelss","double/dgelss.f"
95,"c","gelss","complex/cgelss.f"
96,"z","gelss","complex16/zgelss.f"
97,"s","gglse","single/sgglse.f"
98,"d","gglse","double/dgglse.f"
99,"c","gglse","complex/cgglse.f"
100,"z","gglse","complex16/zgglse.f"
101,"s","ggglm","single/sggglm.f"
102,"d","ggglm","double/dggglm.f"
103,"c","ggglm","complex/cggglm.f"
104,"z","ggglm","complex16/zggglm.f"
105,"c","heev","complex/cheev.f"
106,"z","heev","complex16/zheev.f"
107,"c","hbev","complex/chbev.f"
108,"z","hbev","complex16/zhbev.f"
109,"c","hpev","complex/chpev.f"
110,"z","hpev","complex16/zhpev.f"
111,"s","syev","single/ssyev.f"
112,"d","syev","double/dsyev.f"
113,"s","sbev","single/ssbev.f"
114,"d","sbev","double/dsbev.f"
115,"s","spev","single/sspev.f"
116,"d","spev","double/dspev.f"
117,"s","stev","single/sstev.f"
118,"d","stev","double/dstev.f"
119,"c","heevx","complex/cheevx.f"
120,"z","heevx","complex16/zheevx.f"
121,"c","hbevx","complex/chbevx.f"
122,"z","hbevx","complex16/zhbevx.f"
123,"c","hpevx","complex/chpevx.f"
124,"z","hpevx","complex16/zhpevx.f"
125,"s","syevx","single/ssyevx.f"
126,"d","syevx","double/dsyevx.f"
127,"s","sbevx","single/ssbevx.f"
128,"d","sbevx","double/dsbevx.f"
129,"s","spevx","single/sspevx.f"
130,"d","spevx","double/dspevx.f"
131,"s","stevx","single/sstevx.f"
132,"d","stevx","double/dstevx.f"
133,"c","heevd","complex/cheevd.f"
134,"z","heevd","complex16/zheevd.f"
135,"c","hbevd","complex/chbevd.f"
136,"z","hbevd","complex16/zhbevd.f"
137,"c","hpevd","complex/chpevd.f"
138,"z","hpevd","complex16/zhpevd.f"
139,"s","syevd","single/ssyevd.f"
140,"d","syevd","double/dsyevd.f"
141,"s","sbevd","single/ssbevd.f"
142,"d","sbevd","double/dsbevd.f"
143,"s","spevd","single/sspevd.f"
144,"d","spevd","double/dspevd.f"
145,"s","stevd","single/sstevd.f"
146,"d","stevd","double/dstevd.f"
147,"c","heevr","complex/cheevr.f"
148,"z","heevr","complex16/zheevr.f"
149,"s","syevr","single/ssyevr.f"
150,"d","syevr","double/dsyevr.f"
151,"s","stevr","single/sstevr.f"
152,"d","stevr","double/dstevr.f"
153,"c","hegv","complex/chegv.f"
154,"z","hegv","complex16/zhegv.f"
155,"c","hbgv","complex/chbgv.f"
156,"z","hbgv","complex16/zhbgv.f"
157,"c","hpgv","complex/chpgv.f"
158,"z","hpgv","complex16/zhpgv.f"
159,"s","sygv","single/ssygv.f"
160,"d","sygv","double/dsygv.f"
161,"s","sbgv","single/ssbgv.f"
162,"d","sbgv","double/dsbgv.f"
163,"s","spgv","single/sspgv.f"
164,"d","spgv","double/dspgv.f"
165,"c","hegvx","complex/chegvx.f"
166,"z","hegvx","complex16/zhegvx.f"
167,"c","hbgvx","complex/chbgvx.f"
