47	c	gbsvx	general	band	http://www.netlib.org/lapack/complex/cgbsvx.f	driver expert, solve A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	47
48	z	gbsvx	general	band	http://www.netlib.org/lapack/complex16/zgbsvx.f	driver expert, solve A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	48
49	s	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/single/sgtsvx.f	driver expert, solve A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	49
50	d	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/double/dgtsvx.f	driver expert, solve A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	50
51	c	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/complex/cgtsvx.f	driver expert, solve A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	51
52	z	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/complex16/zgtsvx.f	driver expert, solve A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	52
53	s	getrs	general	full	http://www.netlib.org/lapack/single/sgetrs.f	computational, solve A*X = B using LU, TRANS	261
54	d	getrs	general	full	http://www.netlib.org/lapack/double/dgetrs.f	computational, solve A*X = B using LU, TRANS	262
55	c	getrs	general	full	http://www.netlib.org/lapack/complex/cgetrs.f	computational, solve A*X = B using LU, TRANS	263
56	z	getrs	general	full	http://www.netlib.org/lapack/complex16/zgetrs.f	computational, solve A*X = B using LU, TRANS	264
57	s	gbtrs	general	band	http://www.netlib.org/lapack/single/sgbtrs.f	computational, solve A*X = B using LU, TRANS	265
58	d	gbtrs	general	band	http://www.netlib.org/lapack/double/dgbtrs.f	computational, solve A*X = B using LU, TRANS	266
59	c	gbtrs	general	band	http://www.netlib.org/lapack/complex/cgbtrs.f	computational, solve A*X = B using LU, TRANS	267
60	z	gbtrs	general	band	http://www.netlib.org/lapack/complex16/zgbtrs.f	computational, solve A*X = B using LU, TRANS	268
61	s	gttrs	general	tridiagonal	http://www.netlib.org/lapack/single/sgttrs.f	computational, solve A*X = B using LU, TRANS	269
62	d	gttrs	general	tridiagonal	http://www.netlib.org/lapack/double/dgttrs.f	computational, solve A*X = B using LU, TRANS	270
63	c	gttrs	general	tridiagonal	http://www.netlib.org/lapack/complex/cgttrs.f	computational, solve A*X = B using LU, TRANS	271
64	z	gttrs	general	tridiagonal	http://www.netlib.org/lapack/complex16/zgttrs.f	computational, solve A*X = B using LU, TRANS	272
65	s	potrs	SPD	full	http://www.netlib.org/lapack/single/spotrs.f	computational, solve A*X = B using Cholesky	273
66	d	potrs	SPD	full	http://www.netlib.org/lapack/double/dpotrs.f	computational, solve A*X = B using Cholesky	274
67	c	potrs	HPD	full	http://www.netlib.org/lapack/complex/cpotrs.f	computational, solve A*X = B using Cholesky	275
68	z	potrs	HPD	full	http://www.netlib.org/lapack/complex16/zpotrs.f	computational, solve A*X = B using Cholesky	276
69	s	pptrs	SPD	packed	http://www.netlib.org/lapack/single/spptrs.f	computational, solve A*X = B using Cholesky	277
