avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver,matrix_name, actual_class,predicted_class,default_time,Time Difference,Comparison,SpeedUp
531.1134,12208740,21.60955,2,18.71334,1.934897,0.001209,29030070,mark3jac080,fair,fair,6.6135,-99.98,-99.98 % less time of default solver time,5470.223325
8155.592,429329.9,9.381631,2,9.381631,23.349,0.001277,29030070,hvdc1,fair,fair,6.9033,-99.98,-99.98 % less time of default solver time,5405.87314
6827.318,535673000,26.32059,2,19.77358,8018.001,0.002026,29030070,g7jac140,fair,fair,10.915,-99.98,-99.98 % less time of default solver time,5387.462981
6493.718,126001,30.47297,2,30.47297,2.338928,0.000294,29030070,bayer02,fair,fair,1.5747,-99.98,-99.98 % less time of default solver time,5356.122449
5238.26,39168,4.291458,3,4.291458,270803.4,0.000478,29030070,big,fair,fair,2.5555,-99.98,-99.98 % less time of default solver time,5346.23431
531.1134,2097152,9.976185,2,13.15285,6584.382,0.000908,29030070,mark3jac060sc,fair,fair,4.8512,-99.98,-99.98 % less time of default solver time,5342.731278
1381.141,12405480000,127.6996,2,127.6996,3.988377,0.000096,29030070,bayer08,fair,fair,0.50837,-99.98,-99.98 % less time of default solver time,5295.520833
1381.141,1160759000,59.49158,2,59.49158,3.610837,0.000096,29030070,bayer06,fair,fair,0.50804,-99.98,-99.98 % less time of default solver time,5292.083333
1306.423,4849.372,14.34569,2,13.1715,26179.48,0.000073,29030070,extr1b_A_24,fair,fair,0.38177,-99.98,-99.98 % less time of default solver time,5229.726027
1306.463,4841.603,14.42482,2,13.38897,42863.94,0.000072,29030070,extr1b_A_37,fair,fair,0.37439,-99.98,-99.98 % less time of default solver time,5199.861111
2411.993,1.00E+20,20,1,20,35232270,0.000131,37052868,bips98_1450,good,good,0.68082,-99.98,-99.98 % less time of default solver time,5197.099237
531.1134,12208740,21.60955,2,18.71334,1.977884,0.001611,37052868,mark3jac100,good,fair,8.3513,-99.98,-99.98 % less time of default solver time,5183.923029
13330.38,2673,0.60206,1,0.60206,5870774,0.001146,29030070,as-caida_G_115,fair,fair,5.9352,-99.98,-99.98 % less time of default solver time,5179.057592
1306.423,4845.709,14.42637,2,13.24285,41830.12,0.000073,29030070,extr1b_A_40,fair,fair,0.37731,-99.98,-99.98 % less time of default solver time,5168.630137
531.1134,12208740,21.60955,2,18.71334,56.81556,0.000945,69654763,mark3jac060,fair,fair,4.8834,-99.98,-99.98 % less time of default solver time,5167.619048
3725.25,53483.49,8.295805,3,8.295805,1.312846,0.000256,37052868,cryg10000,good,good,1.3192,-99.98,-99.98 % less time of default solver time,5153.125
3150.77,3.04E+12,21.66378,2,30.9457,102.736,0.001199,29030070,ted_A_unscaled,bad,fair,6.1725,-99.98,-99.98 % less time of default solver time,5148.040033
1306.423,4865.899,14.31667,2,12.859,13107.05,0.000074,29030070,extr1b_A_19,fair,fair,0.37743,-99.98,-99.98 % less time of default solver time,5100.405405
13377.03,2669,0.60206,1,0.60206,24533360,0.001145,29030070,as-caida_G_120,fair,fair,5.8268,-99.98,-99.98 % less time of default solver time,5088.908297
192.2968,4605960,22.25839,1,22.25833,1,0.000824,37052868,cz20468,good,fair,4.1895,-99.98,-99.98 % less time of default solver time,5084.34466
1306.123,4843.661,14.34498,2,13.33393,31017.24,0.000073,29030070,extr1b_A_21,bad,bad,0.37072,-99.98,-99.98 % less time of default solver time,5078.356164
13365.85,2673,0.60206,1,0.60206,3160828,0.001145,29030070,as-caida_G_119,fair,fair,5.8098,-99.98,-99.98 % less time of default solver time,5074.061135
1381.255,3.67E+12,111.0801,2,113.3405,3.72918,0.000104,37052868,bayer07,good,good,0.52749,-99.98,-99.98 % less time of default solver time,5072.019231
531.1134,12208740,21.60955,2,18.71334,1.934897,0.001304,69654763,mark3jac080,fair,fair,6.6135,-99.98,-99.98 % less time of default solver time,5071.702454
1306.082,4845.884,13.73004,2,12.43721,26953.28,0.000074,29030070,extr1b_A_17,fair,fair,0.37494,-99.98,-99.98 % less time of default solver time,5066.756757
531.1134,12208740,21.60955,2,18.71334,56.81556,0.000966,29030070,mark3jac060,fair,fair,4.8834,-99.98,-99.98 % less time of default solver time,5055.279503
1778.292,67.79309,6.359022,2,6.359022,44.5599,0.000107,29030070,S80PI_n,fair,fair,0.53728,-99.98,-99.98 % less time of default solver time,5021.308411
1306.123,4840.153,14.43798,2,13.4357,42220.34,0.000073,29030070,extr1b_A_42,bad,bad,0.36607,-99.98,-99.98 % less time of default solver time,5014.657534
531.1134,12208740,21.60955,2,18.71334,35.06149,0.000642,29030070,mark3jac040,fair,fair,3.2123,-99.98,-99.98 % less time of default solver time,5003.582555
4709.566,33948,4.229349,3,4.530379,232820.3,0.000416,29030070,pesa,fair,fair,2.0776,-99.98,-99.98 % less time of default solver time,4994.230769
1306.463,4838.556,14.40508,2,13.557,56734.14,0.00008,29030070,extr1b_A_31,fair,fair,0.38093,-99.98,-99.98 % less time of default solver time,4761.625
249.1577,18404410,20.45239,1,20.45239,2.389409,0.001912,37052868,cz40948,good,fair,8.9254,-99.98,-99.98 % less time of default solver time,4668.096234
6827.318,93360220,25.32251,2,19.77358,34565.42,0.001054,29030070,g7jac080,fair,fair,4.8277,-99.98,-99.98 % less time of default solver time,4580.360531
2314.406,27158.11,16.354,2,16.80601,5.012472,0.000205,37052868,g7jac020sc,good,good,0.90747,-99.98,-99.98 % less time of default solver time,4426.682927
531.1134,12208740,21.60955,2,18.71334,90.24236,0.000369,37052868,mark3jac020,good,good,1.63,-99.98,-99.98 % less time of default solver time,4417.344173
40.66667,0.017157,15.06754,1,15.06754,165.311,0.00038,37052868,inlet_E,good,fair,1.6284,-99.98,-99.98 % less time of default solver time,4285.263158
13330.38,2673,0.60206,1,0.60206,5870774,0.0014,36564232,as-caida_G_115,fair,fair,5.9352,-99.98,-99.98 % less time of default solver time,4239.428571
1306.463,4838.556,14.40508,2,13.557,56734.14,0.000091,69654763,extr1b_A_31,fair,fair,0.38093,-99.98,-99.98 % less time of default solver time,4186.043956
531.1134,12208740,21.60955,2,18.71334,35.06149,0.000777,69654763,mark3jac040,fair,fair,3.2123,-99.98,-99.98 % less time of default solver time,4134.234234
13365.85,2673,0.60206,1,0.60206,3160828,0.001408,36564232,as-caida_G_119,fair,fair,5.8098,-99.98,-99.98 % less time of default solver time,4126.278409
1306.082,4845.884,13.73004,2,12.43721,26953.28,0.000091,69654763,extr1b_A_17,fair,fair,0.37494,-99.98,-99.98 % less time of default solver time,4120.21978
1306.423,4841.575,14.40689,2,13.4073,42993.7,0.000092,69654763,extr1b_A_34,fair,fair,0.37655,-99.98,-99.98 % less time of default solver time,4092.934783
6827.318,138457900,25.59061,2,19.77358,9874.285,0.001001,37052868,g7jac100,good,fair,4.0286,-99.98,-99.98 % less time of default solver time,4024.575425
6827.318,108614.4,17.59421,2,17.9674,88.41066,0.000936,37052868,g7jac060sc,good,fair,3.637,-99.97,-99.97 % less time of default solver time,3885.683761
531.1134,12208740,21.60955,2,18.71334,35.06149,0.000857,19932321,mark3jac040,fair,fair,3.2123,-99.97,-99.97 % less time of default solver time,3748.308051
531.1134,2097152,9.976185,2,13.15285,5918.965,0.001853,19932321,mark3jac080sc,fair,fair,6.7214,-99.97,-99.97 % less time of default solver time,3627.30707
531.1134,2097152,9.976185,2,13.15285,6584.382,0.001346,36025721,mark3jac060sc,fair,fair,4.8512,-99.97,-99.97 % less time of default solver time,3604.160475
531.1134,12208740,21.60955,2,18.71334,56.81556,0.001407,19932321,mark3jac060,fair,fair,4.8834,-99.97,-99.97 % less time of default solver time,3470.788913
