1,s,gelsy,/sgelsy
2,d,gelsy,/dgelsy
3,c,gelsy,/cgelsy
4,z,gelsy,/zgelsy
5,s,gelsd,/sgelsd
6,d,gelsd,/dgelsd
7,c,gelsd,/cgelsd
8,z,gelsd,/zgelsd
9,s,gelsy,/sgelsy
10,d,gelsy,/dgelsy
11,c,gelsy,/cgelsy
12,z,gelsy,/zgelsy
13,s,gelsd,/sgelsd
14,d,gelsd,/dgelsd
15,c,gelsd,/cgelsd
16,z,gelsd,/zgelsd
17,s,gels,/sgels
18,d,gels,/dgels
19,c,gels,/cgels
20,z,gels,/zgels
21,s,ggglm,/sggglm
22,d,ggglm,/dggglm
23,c,ggglm,/cggglm
24,z,ggglm,/zggglm
25,s,gglse,/sgglse
26,d,gglse,/dgglse
27,c,gglse,/cgglse
28,z,gglse,/zgglse
