41,c,stedc,yes,eigenvalues,symmetric,tridiagonal,no,yes,divide and conquer,single,computes all eigenvalues and optionally eigenvectors of a symmetric tridiagonal matrix,729
42,z,stedc,yes,eigenvalues,symmetric,tridiagonal,no,yes,divide and conquer,double,computes all eigenvalues and optionally eigenvectors of a symmetric tridiagonal matrix,730
43,s,stemr,no,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,single,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T,731
44,d,stemr,no,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,double,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T,732
45,c,stemr,yes,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,single,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T,733
46,z,stemr,yes,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,double,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T,734
47,s,stegr,no,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,single,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T;a compatability wrapper around the improved SSTEMR,735
48,d,stegr,no,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,double,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T;a compatability wrapper around the improved DSTEMR,736
49,c,stegr,yes,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,single,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T;a compatability wrapper around the improved CSTEMR,737
50,z,stegr,yes,eigenvalues,symmetric,tridiagonal,yes,yes,relatively robust representations,double,computes selected eigenvalues and optionally eigenvectors of a real symmetric tridiagonal matrix T;a compatability wrapper around the improved ZSTEMR,738
51,s,stebz,no,eigenvalues,symmetric,tridiagonal,yes,no,none,single,computes the eigenvalues of a symmetric tridiagonal matrix T by bisection;ordered eigenvalues,537
52,d,stebz,no,eigenvalues,symmetric,tridiagonal,yes,no,none,double,computes the eigenvalues of a symmetric tridiagonal matrix T by bisection;ordered eigenvalues,538
53,s,stein,no,eigenvectors,symmetric,tridiagonal,none,yes,inverse iteration,single,computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues,739
54,d,stein,no,eigenvectors,symmetric,tridiagonal,none,yes,inverse iteration,double,computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues,740
55,c,stein,yes,eigenvectors,symmetric,tridiagonal,none,yes,inverse iteration,single,computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues,741
56,z,stein,yes,eigenvectors,symmetric,tridiagonal,none,yes,inverse iteration,double,computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues,742
