id	precision	name	function	matrix type	storage	selected eigenvalues	eigenvectors	method	Purpose	note	
47	s	stegr	eigenvalues	symmetric	tridiagonal	yes	yes	relatively robust representations	"computes selected eigenvalues and, optionally, eigenvectors of a real symmetric tridiagonal matrix T"	a compatability wrapper around the improved SSTEMR	735
48	d	stegr	eigenvalues	symmetric	tridiagonal	yes	yes	relatively robust representations	"computes selected eigenvalues and, optionally, eigenvectors of a real symmetric tridiagonal matrix T"	a compatability wrapper around the improved DSTEMR	736
49	c	stegr	eigenvalues	symmetric	tridiagonal	yes	yes	relatively robust representations	"computes selected eigenvalues and, optionally, eigenvectors of a real symmetric tridiagonal matrix T"	a compatability wrapper around the improved CSTEMR	737
50	z	stegr	eigenvalues	symmetric	tridiagonal	yes	yes	relatively robust representations	"computes selected eigenvalues and, optionally, eigenvectors of a real symmetric tridiagonal matrix T"	a compatability wrapper around the improved ZSTEMR	738
51	s	stebz	eigenvalues	symmetric	tridiagonal	yes	no	none	computes the eigenvalues of a symmetric tridiagonal matrix T by bisection	ordered eigenvalues	537
52	d	stebz	eigenvalues	symmetric	tridiagonal	yes	no	none	computes the eigenvalues of a symmetric tridiagonal matrix T by bisection	ordered eigenvalues	538
53	s	stein	eigenvectors	symmetric	tridiagonal	none	yes	inverse iteration	computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues		739
54	d	stein	eigenvectors	symmetric	tridiagonal	none	yes	inverse iteration	computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues		740
55	c	stein	eigenvectors	symmetric	tridiagonal	none	yes	inverse iteration	computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues		741
56	z	stein	eigenvectors	symmetric	tridiagonal	none	yes	inverse iteration	computes the eigenvectors of a real symmetric tridiagonal matrix T corresponding to specified eigenvalues		742
