	z	hpgv	Hermitian	p	complex16/zhpgv.f	6	symmetric generalized all eigenvalues, eigenvectors, simple driver,
	s	sygv	symmetric	f	single/ssygv.f	6	symmetric generalized all eigenvalues, eigenvectors, simple driver,
	d	sygv	symmetric	f	double/dsygv.f	6	symmetric generalized all eigenvalues, eigenvectors, simple driver,
	s	sbgv	symmetric	b	single/ssbgv.f	6	symmetric generalized all eigenvalues, eigenvectors, simple driver,
	d	sbgv	symmetric	b	double/dsbgv.f	6	symmetric generalized all eigenvalues, eigenvectors, simple driver,
	s	spgv	symmetric	p	single/sspgv.f	6	symmetric generalized all eigenvalues, eigenvectors, simple driver,
	d	spgv	symmetric	p	double/dspgv.f	6	symmetric generalized all eigenvalues, eigenvectors, simple driver,
	c	hegvx	Hermitian	f	complex/chegvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	z	hegvx	Hermitian	f	complex16/zhegvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	c	hbgvx	Hermitian	b	complex/chbgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	z	hbgvx	Hermitian	b	complex16/zhbgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	c	hpgvx	Hermitian	p	complex/chpgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	z	hpgvx	Hermitian	p	complex16/zhpgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	s	sygvx	symmetric	f	single/ssygvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	d	sygvx	symmetric	f	double/dsygvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	s	sbgvx	symmetric	b	single/ssbgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	d	sbgvx	symmetric	b	double/dsbgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	s	spgvx	symmetric	p	single/sspgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	d	spgvx	symmetric	p	double/dspgvx.f	6	symmetric generalized all eigenvalues, eigenvectors, expert driver,
	c	hegvd	Hermitian	f	complex/chegvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	z	hegvd	Hermitian	f	complex16/zhegvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	c	hbgvd	Hermitian	b	complex/chbgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	z	hbgvd	Hermitian	b	complex16/zhbgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	c	hpgvd	Hermitian	p	complex/chpgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	z	hpgvd	Hermitian	p	complex16/zhpgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	s	sygvd	symmetric	f	single/ssygvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	d	sygvd	symmetric	f	double/dsygvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	s	sbgvd	symmetric	b	single/ssbgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	d	sbgvd	symmetric	b	double/dsbgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	s	spgvd	symmetric	p	single/sspgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
	d	spgvd	symmetric	p	double/dspgvd.f	6	symmetric generalized eigenvalues, divide and conquer, faster but more memory
