134,"z","hgeqz","complex16/zhgeqz.f"
135,"s","tgevc","single/stgevc.f"
136,"d","tgevc","double/dtgevc.f"
137,"c","tgevc","complex/ctgevc.f"
138,"z","tgevc","complex16/ztgevc.f"
139,"s","tgexc","single/stgexc.f"
140,"d","tgexc","double/dtgexc.f"
141,"c","tgexc","complex/ctgexc.f"
142,"z","tgexc","complex16/ztgexc.f"
143,"s","tgsyl","single/stgsyl.f"
144,"d","tgsyl","double/dtgsyl.f"
145,"c","tgsyl","complex/ctgsyl.f"
146,"z","tgsyl","complex16/ztgsyl.f"
147,"s","tgsna","single/stgsna.f"
148,"d","tgsna","double/dtgsna.f"
149,"c","tgsna","complex/ctgsna.f"
150,"z","tgsna","complex16/ztgsna.f"
151,"s","tgsen","single/stgsen.f"
152,"s","tgsen","double/dtgsen.f"
153,"s","tgsen","complex/ctgsen.f"
154,"s","tgsen","complex16/ztgsen.f"
