1	Solve A * X = B
2	Minimize ||b-Ax||2
3	Minimize ||c-Ax||2 subject to Bx=d
4	Minimize ||y||2 subject to d=Ax+By
5	Solve Ax=(\lambda)x
6	Solve Ax=(\lambda)Mx
7	Schur factorization
8	Generalized Schur factorization
9	Singular Value Decomposition(SVD)
10	Factor
11	Condition number
12	Invert
13	Equilibrate
14	Solve A**T * X = B  (Transpose) or A**H * X = B  (Conjugate transpose)  
