lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
0,9669,1.10188,5.97202,1,5.97202,1,1.18756,69654763,good,flowmeter5_E,0.000114,0.000086,32.56,32.56 % more time of default solver time,0.7543859649122807
0,9669,1.10188,5.97202,1,5.97202,1,1.18756,36025721,good,flowmeter5_E,0.000084,0.000086,-2.33,-2.33 % less time of default solver time,1.023809523809524
66.22222,87025,1895.947,0.964094,4,1.071613,9,59879.56,32168839,good,t2d_q9_A_25,0.00634,0.00634,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,1749.823,0.964094,4,1.071613,9,55436.77,32168839,good,t2d_q9_A_26,0.006361,0.006361,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,1749.823,0.964094,4,1.071613,9,55436.77,36564232,good,t2d_q9_A_26,0.008425,0.006361,32.45,32.45 % more time of default solver time,0.7550148367952523
66.22222,87025,33713.19,1.208104,4,1.349296,9,1.297916,32168839,good,t2d_q4_A_21,0.006594,0.006594,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,33713.19,1.208104,4,1.349296,9,1.297916,36564232,good,t2d_q4_A_21,0.008626,0.006594,30.82,30.82 % more time of default solver time,0.7644331092047298
380.9263,20044,19.01436,20.6992,1,20.6992,1126,1.168659,32168839,good,lhr01,0.000037,0.000037,0.0,0.0 % less time of default solver time,1.0
380.9263,20044,19.01436,20.6992,1,20.6992,1126,1.168659,36564232,good,lhr01,0.000041,0.000037,10.81,10.81 % more time of default solver time,0.9024390243902438
1766.2,163716,34.00327,115.0295,1,115.0295,5456,2.234751,32168839,good,lhr07,0.000225,0.000225,0.0,0.0 % less time of default solver time,1.0
3357.687,17594,2947531,15.80011,1,16.29494,2340,4404925000,32168839,good,c-28,0.000078,0.000078,0.0,0.0 % less time of default solver time,1.0
3357.687,17594,2947531,15.80011,1,16.29494,2340,4404925000,36025721,good,c-28,0.000079,0.000078,1.28,1.28 % more time of default solver time,0.9873417721518988
3695.335,24382,2228051,8,1,9.417835,2468,2.47E+14,32168839,good,c-29,0.000118,0.000118,0.0,0.0 % less time of default solver time,1.0
3695.335,24382,2228051,8,1,9.417835,2468,2.47E+14,36025721,good,c-29,0.000097,0.000118,-17.8,-17.8 % less time of default solver time,1.2164948453608246
3019.319,19422,518813.7,8,1,9.809822,2149,335474900,32168839,good,c-26,0.000078,0.000078,0.0,0.0 % less time of default solver time,1.0
3019.319,19422,518813.7,8,1,9.809822,2149,335474900,36025721,good,c-26,0.000078,0.000078,0.0,0.0 % less time of default solver time,1.0
2614.427,26716,2111.702,8,1,9.262202,2118,3.043978,32168839,good,c-25,0.000121,0.000121,0.0,0.0 % less time of default solver time,1.0
2614.427,26716,2111.702,8,1,9.262202,2118,3.043978,36564232,good,c-25,0.00015,0.000121,23.97,23.97 % more time of default solver time,0.8066666666666668
2614.427,26716,2111.702,8,1,9.262202,2118,3.043978,69654763,good,c-25,0.000145,0.000121,19.83,19.83 % more time of default solver time,0.8344827586206897
2614.427,26716,2111.702,8,1,9.262202,2118,3.043978,36025721,good,c-25,0.000118,0.000121,-2.48,-2.48 % less time of default solver time,1.0254237288135595
2817.264,16332,64187.34,16.75002,1,16.15871,1883,19.09824,32168839,good,c-22,0.00007,0.00007,0.0,0.0 % less time of default solver time,1.0
2817.264,16332,64187.34,16.75002,1,16.15871,1883,19.09824,36025721,good,c-22,0.000069,0.00007,-1.43,-1.43 % less time of default solver time,1.0144927536231885
2875.458,17524,1214.7,8,1,9.727277,1987,2632249,32168839,good,c-23,0.000071,0.000071,0.0,0.0 % less time of default solver time,1.0
2145.974,12803,16396730,8,1,9.195952,1457,3145559000,32168839,good,c-20,0.000055,0.000055,0.0,0.0 % less time of default solver time,1.0
2145.974,12803,16396730,8,1,9.195952,1457,3145559000,36025721,good,c-20,0.000056,0.000055,1.82,1.82 % more time of default solver time,0.9821428571428572
2466.726,17833,5973.283,17.99744,1,16.85768,1607,6.02E+11,32168839,good,c-21,0.00007,0.00007,0.0,0.0 % less time of default solver time,1.0
6310.585,161370,9403,2.872156,1,2.872156,12601,20.96123,32168839,good,Reuters911,0.000354,0.000354,0.0,0.0 % less time of default solver time,1.0
6310.585,161370,9403,2.872156,1,2.872156,12601,20.96123,36564232,good,Reuters911,0.000422,0.000354,19.21,19.21 % more time of default solver time,0.838862559241706
1913.373,519260,6743057000,27.93371,1,27.42213,3730,1174.046,32168839,good,gyro_k,0.001594,0.001594,0.0,0.0 % less time of default solver time,1.0
1913.373,519260,6743057000,27.93371,1,27.42213,3730,1174.046,36564232,good,gyro_k,0.002009,0.001594,26.04,26.04 % more time of default solver time,0.7934295669487307
1913.373,519260,6743057000,27.93371,1,27.42213,3730,1174.046,36025721,good,gyro_k,0.001495,0.001594,-6.21,-6.21 % less time of default solver time,1.0662207357859532
59,47434,5.010152,1.147386,1,1.147386,5,1.912751,32168839,good,fv1,0.000161,0.000161,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,55.45941,0.958951,4,1.019407,9,10475.32,32168839,bad,t2d_q4_A_06,0.006604,0.006604,0.0,0.0 % less time of default solver time,1.0
387.4652,63830,1404.806,7.933329,1,7.615429,316,97.84757,32168839,good,rdist3a,0.000092,0.000092,0.0,0.0 % less time of default solver time,1.0
387.4652,63830,1404.806,7.933329,1,7.615429,316,97.84757,36564232,good,rdist3a,0.000092,0.000092,0.0,0.0 % less time of default solver time,1.0
10596.47,610412,2942.475,13.4054,3,13.4054,8058,3.497701,32168839,good,TSOPF_RS_b162_c3,0.001141,0.001141,0.0,0.0 % less time of default solver time,1.0
10596.47,610412,2942.475,13.4054,3,13.4054,8058,3.497701,36564232,good,TSOPF_RS_b162_c3,0.001123,0.001141,-1.58,-1.58 % less time of default solver time,1.0160284951024043
10596.47,610412,2942.475,13.4054,3,13.4054,8058,3.497701,37052868,good,TSOPF_RS_b162_c3,0.000989,0.001141,-13.32,-13.32 % less time of default solver time,1.153690596562184
52.2381,728,12,0.30103,1,0.30103,105,20.27642,32168839,good,football,0.000006,0.000006,0.0,0.0 % less time of default solver time,1.0
52.2381,728,12,0.30103,1,0.30103,105,20.27642,36564232,good,football,0.000007,0.000006,16.67,16.67 % more time of default solver time,0.8571428571428572
52.2381,728,12,0.30103,1,0.30103,105,20.27642,37052868,good,football,0.000008,0.000006,33.33,33.33 % more time of default solver time,0.75
793.8216,11258,1.916559,99.21325,2,99.21325,3127,81.59196,32168839,good,adder_dcop_18,0.000089,0.000089,0.0,0.0 % less time of default solver time,1.0
793.8216,11258,1.916559,99.21325,2,99.21325,3127,81.59196,36025721,good,adder_dcop_18,0.000119,0.000089,33.71,33.71 % more time of default solver time,0.7478991596638654
793.8216,11257,1.904575,215.6511,2,215.6511,3127,64.03587,32168839,good,adder_dcop_19,0.000174,0.000174,0.0,0.0 % less time of default solver time,1.0
793.8216,11257,1.904575,215.6511,2,215.6511,3127,64.03587,69654763,good,adder_dcop_19,0.000152,0.000174,-12.64,-12.64 % less time of default solver time,1.144736842105263
793.8216,11257,1.904575,215.6511,2,215.6511,3127,64.03587,37052868,good,adder_dcop_19,0.000177,0.000174,1.72,1.72 % more time of default solver time,0.9830508474576272
2426.757,28836,45361.07,27.64377,2,26.92431,8310,1.116794,32168839,good,hydr1c_A_19,0.00025,0.00025,0.0,0.0 % less time of default solver time,1.0
2426.757,28836,45361.07,27.64377,2,26.92431,8310,1.116794,69654763,good,hydr1c_A_19,0.000228,0.00025,-8.8,-8.8 % less time of default solver time,1.0964912280701753
2426.757,28836,45361.07,27.64377,2,26.92431,8310,1.116794,37052868,good,hydr1c_A_19,0.000298,0.00025,19.2,19.2 % more time of default solver time,0.8389261744966444
849.6811,254595,8129.613,59.48493,2,57.87321,1154,4.90858,32168839,good,onetone2,0.000688,0.000688,0.0,0.0 % less time of default solver time,1.0
849.6811,254595,8129.613,59.48493,2,57.87321,1154,4.90858,36564232,good,onetone2,0.000587,0.000688,-14.68,-14.68 % less time of default solver time,1.17206132879046
849.6811,254595,8129.613,59.48493,2,57.87321,1154,4.90858,37052868,good,onetone2,0.000701,0.000688,1.89,1.89 % more time of default solver time,0.9814550641940085
793.8216,11258,1.939259,236.888,2,236.888,3127,57.42411,32168839,good,adder_dcop_17,0.000088,0.000088,0.0,0.0 % less time of default solver time,1.0
793.8216,11258,1.939259,236.888,2,236.888,3127,57.42411,36564232,good,adder_dcop_17,0.000112,0.000088,27.27,27.27 % more time of default solver time,0.7857142857142857
173.6044,2381,382221.5,6.976348,2,7.131486,412,67.0685,32168839,good,west0479,0.000011,0.000011,0.0,0.0 % less time of default solver time,1.0
531.1134,285215,2097152,9.976185,2,13.15285,679,7249.37,32168839,good,mark3jac100sc,0.003188,0.003188,0.0,0.0 % less time of default solver time,1.0
121.0667,19093,4.778741,6.438518,4,6.438518,15,8790.966,32168839,good,wang1,0.001407,0.001407,0.0,0.0 % less time of default solver time,1.0
1903.612,106526,9984.465,54.5609,1,54.55913,2369,2.046673,32168839,good,s3rmt3m3,0.000386,0.000386,0.0,0.0 % less time of default solver time,1.0
1903.612,106526,9984.465,54.5609,1,54.55913,2369,2.046673,11256941,good,s3rmt3m3,0.000473,0.000386,22.54,22.54 % more time of default solver time,0.8160676532769556
1903.612,106526,9984.465,54.5609,1,54.55913,2369,2.046673,36564232,good,s3rmt3m3,0.000449,0.000386,16.32,16.32 % more time of default solver time,0.8596881959910913
1903.612,106526,9984.465,54.5609,1,54.55913,2369,2.046673,36025721,good,s3rmt3m3,0.000435,0.000386,12.69,12.69 % more time of default solver time,0.8873563218390804
2408.001,24797,2258658,28.5598,2,29.56166,7953,177.4435,32168839,good,hydr1c_A_63,0.000187,0.000187,0.0,0.0 % less time of default solver time,1.0
2408.001,24797,2258658,28.5598,2,29.56166,7953,177.4435,69654763,good,hydr1c_A_63,0.00018,0.000187,-3.74,-3.74 % less time of default solver time,1.0388888888888888
2408.001,24797,2258658,28.5598,2,29.56166,7953,177.4435,37052868,good,hydr1c_A_63,0.000184,0.000187,-1.6,-1.6 % less time of default solver time,1.016304347826087
2408.001,24809,2258658,29.13269,2,26.93115,7953,183.8645,32168839,good,hydr1c_A_62,0.000186,0.000186,0.0,0.0 % less time of default solver time,1.0
2408.001,24809,2258658,29.13269,2,26.93115,7953,183.8645,69654763,good,hydr1c_A_62,0.000169,0.000186,-9.14,-9.14 % less time of default solver time,1.1005917159763314
2408.001,24809,2258658,29.13269,2,26.93115,7953,183.8645,37052868,good,hydr1c_A_62,0.000218,0.000186,17.2,17.2 % more time of default solver time,0.8532110091743118
2427.573,28863,52046.66,28.40147,2,26.60359,8311,1.162148,32168839,good,hydr1c_A_61,0.000227,0.000227,0.0,0.0 % less time of default solver time,1.0
2427.573,28863,52046.66,28.40147,2,26.60359,8311,1.162148,29030070,good,hydr1c_A_61,0.000268,0.000227,18.06,18.06 % more time of default solver time,0.8470149253731343
2427.573,28863,52046.66,28.40147,2,26.60359,8311,1.162148,69654763,good,hydr1c_A_61,0.000241,0.000227,6.17,6.17 % more time of default solver time,0.941908713692946
2427.573,28863,52046.66,28.40147,2,26.60359,8311,1.162148,37052868,good,hydr1c_A_61,0.000211,0.000227,-7.05,-7.05 % less time of default solver time,1.0758293838862558
2408.001,24816,2273545,28.62337,2,26.90774,7953,178.5168,32168839,good,hydr1c_A_66,0.000185,0.000185,0.0,0.0 % less time of default solver time,1.0
2408.001,24816,2273545,28.62337,2,26.90774,7953,178.5168,69654763,good,hydr1c_A_66,0.000177,0.000185,-4.32,-4.32 % less time of default solver time,1.0451977401129944
2408.001,24816,2273545,28.62337,2,26.90774,7953,178.5168,37052868,good,hydr1c_A_66,0.000141,0.000185,-23.78,-23.78 % less time of default solver time,1.3120567375886523
2427.857,28848,52685.83,28.91176,2,26.91073,8312,1.174209,32168839,good,hydr1c_A_65,0.000222,0.000222,0.0,0.0 % less time of default solver time,1.0
2427.857,28848,52685.83,28.91176,2,26.91073,8312,1.174209,37052868,good,hydr1c_A_65,0.000177,0.000222,-20.27,-20.27 % less time of default solver time,1.2542372881355932
66.22222,87025,256.8144,1.108804,4,1.260433,9,47453.52,32168839,good,t2d_q9_A_04,0.006501,0.006501,0.0,0.0 % less time of default solver time,1.0
