lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
0,0,3,0,372,1,5,0,3,-0.000023,0,0,0.000033,561.7257,5171,0,1327,0.000074,0.000038,0,3814,0,0.000021,-0.000053,0,0,0.000051,0.000206,0.000806,0,-0.000023,8.240137,0.02804,0,5171,1357,1327,0,-0.02804,1,-2,8.240137,1357,0,0,4,0.262425,0.000005,0.000291,3814,977,0.000039,1,6.349324,30,0,1384263,0.000023,0.000012,0.000001,-0.000016,0.000832,0.000053,0.000291,-0.000004,1357,0.000001,85483012,good,rail_1357,0.008857,0.023687,-62.61,-62.61 % less time of default solver time,2.674381845
0,0,73,0,99,1,228,1,73,55575.54,0,0,2307915,8446.742,1889447,0,19228,7312655,2310064,0,0,0,48372.92,-3595391,0,0,0,0,0,0,12487.25,21.00991,1243668000,0,1889447,25710,19228,1,1243668000,1,2,20.51548,25710,0,0,39,0,84793.95,12768150,1863737,14026,3591141,1,827.7749,38,0,313487400,0,888343.8,197067,890492.8,20200020,7153064,0,1778837,25710,0,59072883,good,smt,0.003223,0.008338,-61.35,-61.35 % less time of default solver time,2.587030717
0,0,3,0,372,1,5,0,3,-0.000023,0,0,0.000033,561.7257,5171,0,1327,0.000074,0.000038,0,3814,0,0.000021,-0.000053,0,0,0.000051,0.000206,0.000806,0,-0.000023,8.240137,0.02804,0,5171,1357,1327,0,-0.02804,1,-2,8.240137,1357,0,0,4,0.262425,0.000005,0.000291,3814,977,0.000039,1,6.349324,30,0,1384263,0.000023,0.000012,0.000001,-0.000016,0.000832,0.000053,0.000291,-0.000004,1357,0.000001,89269804,good,rail_1357,0.009217,0.023687,-61.09,-61.09 % less time of default solver time,2.569925138
0,0,3,0,372,1,5,0,3,-0.000023,0,0,0.000033,561.7257,5171,0,1327,0.000074,0.000038,0,3814,0,0.000021,-0.000053,0,0,0.000051,0.000206,0.000806,0,-0.000023,8.240137,0.02804,0,5171,1357,1327,0,-0.02804,1,-2,8.240137,1357,0,0,4,0.262425,0.000005,0.000291,3814,977,0.000039,1,6.349324,30,0,1384263,0.000023,0.000012,0.000001,-0.000016,0.000832,0.000053,0.000291,-0.000004,1357,0.000001,45869638,good,rail_1357,0.009229,0.023687,-61.04,-61.04 % less time of default solver time,2.566583595
0,1801,6,0,0,76,1310,0,6,1.179791,0,5681,0.007171,793.8216,11258,0,1763,1.663283,0.018691,1801,0,0,0.002535,-1.000642,0,0,0,0,0,0,1.179791,98.94544,4.59563,0,11258,1813,1763,0.623529,4.59563,2,1,98.94544,1813,0,0,7,0,0.0081,0.003208,3764,3127,1.179791,0,102.4127,85,0,1328154,0,1.089895,0,0.089895,4.258738,1.663926,0,1.179791,1813,0,29030070,good,adder_dcop_50,0.000333,0.000847,-60.68,-60.68 % less time of default solver time,2.543543544
0,0,3,0,372,1,5,0,3,-0.000023,0,0,0.000033,561.7257,5171,0,1327,0.000074,0.000038,0,3814,0,0.000021,-0.000053,0,0,0.000051,0.000206,0.000806,0,-0.000023,8.240137,0.02804,0,5171,1357,1327,0,-0.02804,1,-2,8.240137,1357,0,0,4,0.262425,0.000005,0.000291,3814,977,0.000039,1,6.349324,30,0,1384263,0.000023,0.000012,0.000001,-0.000016,0.000832,0.000053,0.000291,-0.000004,1357,0.000001,32168837,good,rail_1357,0.009447,0.023687,-60.12,-60.12 % less time of default solver time,2.507356833
0,0,3,0,372,1,5,0,3,-0.000023,0,0,0.000033,561.7257,5171,0,1327,0.000074,0.000038,0,3814,0,0.000021,-0.000053,0,0,0.000051,0.000206,0.000806,0,-0.000023,8.240137,0.02804,0,5171,1357,1327,0,-0.02804,1,-2,8.240137,1357,0,0,4,0.262425,0.000005,0.000291,3814,977,0.000039,1,6.349324,30,0,1384263,0.000023,0.000012,0.000001,-0.000016,0.000832,0.000053,0.000291,-0.000004,1357,0.000001,29553943,good,rail_1357,0.010005,0.023687,-57.76,-57.76 % less time of default solver time,2.367516242
0,0,3,0,372,1,5,0,3,-0.000023,0,0,0.000033,561.7257,5171,0,1327,0.000074,0.000038,0,3814,0,0.000021,-0.000053,0,0,0.000051,0.000206,0.000806,0,-0.000023,8.240137,0.02804,0,5171,1357,1327,0,-0.02804,1,-2,8.240137,1357,0,0,4,0.262425,0.000005,0.000291,3814,977,0.000039,1,6.349324,30,0,1384263,0.000023,0.000012,0.000001,-0.000016,0.000832,0.000053,0.000291,-0.000004,1357,0.000001,95762354,good,rail_1357,0.010045,0.023687,-57.59,-57.59 % less time of default solver time,2.358088601
0,100,8,0,0,99,9,1,8,167.7161,0,38612,148.8563,66.22222,87025,0,100,252.0465,148.8638,100,0,0,16.40549,-0.000155,0,0,252.0465,15.81969,2505.744,0,167.7161,0.922781,160790.2,0,87025,9801,100,1,160790.2,4,2,0.960462,9801,0,0,8,1,17.38965,22.37242,38612,9,167.7356,0,22407.62,18,0,10920.05,2.685537,83.8543,0,83.86179,2505.794,252.0466,22.37242,167.7161,9801,6278503,88865077,good,t2d_q4_A_18,0.144018,0.3368,-57.24,-57.24 % less time of default solver time,2.338596564
0,0,3,0,371,1,5,1,3,0.000274,0,0,0.000568,561.7257,5177,0,1327,0.001127,0.000571,0,3820,0,0.000129,0,0,0,0.000895,0.001252,0.006364,0,0.000227,6.058414,0.175147,0,5177,1357,1327,1,0.175147,1,2,6.058414,1357,0,0,4,0.262121,0.00011,0.00177,3820,977,0.00072,1,165.0752,45,0,1384263,0.000298,0.000296,0.000003,0.0003,0.006486,0.000895,0.00177,0.000597,1357,0.000039,88865076,good,rail_1357_E,0.00762,0.01738,-56.16,-56.16 % less time of default solver time,2.280839895
