lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
66.22222,37362.49,1.044205,4,1.258102,1.305113,0.006192,32168839,good,t2d_q4_A_32,0.006192,0.006192,0,0.0 % less time of default solver time,1
22.18571,6.143375,1.928747,2,1.928747,1.287178,0.000007,32168839,good,west0067,0.000007,0.000007,0,0.0 % less time of default solver time,1
795.7945,3.445624,6.787812,1,6.787812,5.390654,0.00004,32168839,good,zenios,0.00004,0.00004,0,0.0 % less time of default solver time,1
66.22222,1860.857,1.04785,4,1.071613,72394.64,0.006413,32168839,good,t2d_q4_A_28,0.006413,0.006413,0,0.0 % less time of default solver time,1
0,1.10188,5.97202,1,5.97202,1.18756,0.000086,32168839,good,flowmeter5_E,0.000086,0.000086,0,0.0 % less time of default solver time,1
66.22222,1895.947,0.964094,4,1.071613,59879.56,0.006342,32168839,good,t2d_q4_A_25,0.006342,0.006342,0,0.0 % less time of default solver time,1
66.22222,1749.823,0.964094,4,1.071613,55436.77,0.00643,32168839,good,t2d_q4_A_26,0.00643,0.00643,0,0.0 % less time of default solver time,1
66.22222,33713.19,1.208104,4,1.349296,1.297916,0.006594,32168839,good,t2d_q4_A_21,0.006594,0.006594,0,0.0 % less time of default solver time,1
380.9263,19.01436,20.6992,1,20.6992,1.168659,0.000037,32168839,good,lhr01,0.000037,0.000037,0,0.0 % less time of default solver time,1
1766.2,34.00327,115.0295,1,115.0295,2.234751,0.000225,32168839,good,lhr07,0.000225,0.000225,0,0.0 % less time of default solver time,1
3357.687,2947531,15.80011,1,16.29494,4404925000,0.000078,32168839,good,c-28,0.000078,0.000078,0,0.0 % less time of default solver time,1
3019.319,518813.7,8,1,9.809822,335474900,0.000078,32168839,good,c-26,0.000078,0.000078,0,0.0 % less time of default solver time,1
3019.319,518813.7,8,1,9.809822,335474900,0.000078,36025721,good,c-26,0.000078,0.000078,0,0.0 % less time of default solver time,1
2614.427,2111.702,8,1,9.262202,3.043978,0.000121,32168839,good,c-25,0.000121,0.000121,0,0.0 % less time of default solver time,1
2817.264,64187.34,16.75002,1,16.15871,19.09824,0.00007,32168839,good,c-22,0.00007,0.00007,0,0.0 % less time of default solver time,1
2875.458,1214.7,8,1,9.727277,2632249,0.000071,32168839,good,c-23,0.000071,0.000071,0,0.0 % less time of default solver time,1
2145.974,16396730,8,1,9.195952,3145559000,0.000055,32168839,good,c-20,0.000055,0.000055,0,0.0 % less time of default solver time,1
6310.585,9403,2.872156,1,2.872156,20.96123,0.000354,32168839,good,Reuters911,0.000354,0.000354,0,0.0 % less time of default solver time,1
1913.373,6743057000,27.93371,1,27.42213,1174.046,0.001594,32168839,good,gyro_k,0.001594,0.001594,0,0.0 % less time of default solver time,1
59,5.010152,1.147386,1,1.147386,1.912751,0.000161,32168839,good,fv1,0.000161,0.000161,0,0.0 % less time of default solver time,1
66.22222,55.45941,0.958951,4,1.019407,10475.32,0.006491,32168839,good,t2d_q9_A_06,0.006491,0.006491,0,0.0 % less time of default solver time,1
387.4652,1404.806,7.933329,1,7.615429,97.84757,0.000092,32168839,good,rdist3a,0.000092,0.000092,0,0.0 % less time of default solver time,1
387.4652,1404.806,7.933329,1,7.615429,97.84757,0.000092,36564232,good,rdist3a,0.000092,0.000092,0,0.0 % less time of default solver time,1
10596.47,2942.475,13.4054,3,13.4054,3.497701,0.001141,32168839,good,TSOPF_RS_b162_c3,0.001141,0.001141,0,0.0 % less time of default solver time,1
52.2381,12,0.30103,1,0.30103,20.27642,0.000006,32168839,good,football,0.000006,0.000006,0,0.0 % less time of default solver time,1
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000089,32168839,good,adder_dcop_18,0.000089,0.000089,0,0.0 % less time of default solver time,1
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000174,32168839,good,adder_dcop_19,0.000174,0.000174,0,0.0 % less time of default solver time,1
2426.757,45361.07,27.64377,2,26.92431,1.116794,0.00025,32168839,good,hydr1c_A_19,0.00025,0.00025,0,0.0 % less time of default solver time,1
849.6811,8129.613,59.48493,2,57.87321,4.90858,0.000688,32168839,good,onetone2,0.000688,0.000688,0,0.0 % less time of default solver time,1
793.8216,1.939259,236.888,2,236.888,57.42411,0.000088,32168839,good,adder_dcop_17,0.000088,0.000088,0,0.0 % less time of default solver time,1
173.6044,382221.5,6.976348,2,7.131486,67.0685,0.000011,32168839,good,west0479,0.000011,0.000011,0,0.0 % less time of default solver time,1
531.1134,2097152,9.976185,2,13.15285,7249.37,0.003188,32168839,good,mark3jac100sc,0.003188,0.003188,0,0.0 % less time of default solver time,1
121.0667,4.778741,6.438518,4,6.438518,8790.966,0.001407,32168839,good,wang1,0.001407,0.001407,0,0.0 % less time of default solver time,1
1903.612,9984.465,54.5609,1,54.55913,2.046673,0.000386,32168839,good,s3rmt3m3,0.000386,0.000386,0,0.0 % less time of default solver time,1
2408.001,2258658,28.5598,2,29.56166,177.4435,0.000187,32168839,good,hydr1c_A_63,0.000187,0.000187,0,0.0 % less time of default solver time,1
2408.001,2258658,29.13269,2,26.93115,183.8645,0.000186,32168839,good,hydr1c_A_62,0.000186,0.000186,0,0.0 % less time of default solver time,1
2427.573,52046.66,28.40147,2,26.60359,1.162148,0.000227,32168839,good,hydr1c_A_61,0.000227,0.000227,0,0.0 % less time of default solver time,1
2408.001,2273545,28.62337,2,26.90774,178.5168,0.000185,32168839,good,hydr1c_A_66,0.000185,0.000185,0,0.0 % less time of default solver time,1
2427.857,52685.83,28.91176,2,26.91073,1.174209,0.000222,32168839,good,hydr1c_A_65,0.000222,0.000222,0,0.0 % less time of default solver time,1
66.22222,256.8144,1.108804,4,1.260433,47453.52,0.006501,32168839,good,t2d_q9_A_04,0.006501,0.006501,0,0.0 % less time of default solver time,1
2955.838,13,0,1,0,9.773147,0.000094,32168839,good,G61,0.000094,0.000094,0,0.0 % less time of default solver time,1
2955.838,13,0,1,0,9.773147,0.000094,37052868,good,G61,0.000094,0.000094,0,0.0 % less time of default solver time,1
66.22222,5.333333,1.034632,4,1.034632,2145.693,0.006481,32168839,good,t2d_q9_A_01,0.006481,0.006481,0,0.0 % less time of default solver time,1
66.22222,1864.36,1.267202,4,1.427216,284102.1,0.006581,32168839,good,t2d_q9_A_02,0.006581,0.006581,0,0.0 % less time of default solver time,1
1089.52,32.81764,300.1218,1,300.1485,1.603216,0.000125,32168839,good,lhr04c,0.000125,0.000125,0,0.0 % less time of default solver time,1
1089.52,32.81764,300.1218,1,300.1485,1.603216,0.000125,36564232,good,lhr04c,0.000125,0.000125,0,0.0 % less time of default solver time,1
3298.002,19187.95,8,1,9.098086,489.0298,0.000096,36025721,good,c-27,0.000096,0.000095,1.05,1.05 % more time of default solver time,0.989583333
3357.687,2947531,15.80011,1,16.29494,4404925000,0.000079,36025721,good,c-28,0.000079,0.000078,1.28,1.28 % more time of default solver time,0.987341772
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000177,37052868,good,adder_dcop_19,0.000177,0.000174,1.72,1.72 % more time of default solver time,0.983050847
2145.974,16396730,8,1,9.195952,3145559000,0.000056,36025721,good,c-20,0.000056,0.000055,1.82,1.82 % more time of default solver time,0.982142857
849.6811,8129.613,59.48493,2,57.87321,4.90858,0.000701,37052868,good,onetone2,0.000701,0.000688,1.89,1.89 % more time of default solver time,0.981455064
2427.573,52046.66,28.40147,2,26.60359,1.162148,0.000241,69654763,good,hydr1c_A_61,0.000241,0.000227,6.17,6.17 % more time of default solver time,0.941908714
66.22222,1860.857,1.04785,4,1.071613,72394.64,0.006931,69654763,good,t2d_q4_A_28,0.006931,0.006413,8.08,8.08 % more time of default solver time,0.92526331
380.9263,19.01436,20.6992,1,20.6992,1.168659,0.000041,36564232,good,lhr01,0.000041,0.000037,10.81,10.81 % more time of default solver time,0.902439024
1903.612,9984.465,54.5609,1,54.55913,2.046673,0.000435,36025721,good,s3rmt3m3,0.000435,0.000386,12.69,12.69 % more time of default solver time,0.887356322
2408.201,2316819,30.66471,2,28.1316,183.76,0.000217,37052868,good,hydr1c_A_56,0.000217,0.000191,13.61,13.61 % more time of default solver time,0.880184332
1903.612,9984.465,54.5609,1,54.55913,2.046673,0.000449,36564232,good,s3rmt3m3,0.000449,0.000386,16.32,16.32 % more time of default solver time,0.859688196
52.2381,12,0.30103,1,0.30103,20.27642,0.000007,36564232,good,football,0.000007,0.000006,16.67,16.67 % more time of default solver time,0.857142857
2408.001,2258658,29.13269,2,26.93115,183.8645,0.000218,37052868,good,hydr1c_A_62,0.000218,0.000186,17.2,17.2 % more time of default solver time,0.853211009
2427.573,52046.66,28.40147,2,26.60359,1.162148,0.000268,29030070,good,hydr1c_A_61,0.000268,0.000227,18.06,18.06 % more time of default solver time,0.847014925
2426.757,45361.07,27.64377,2,26.92431,1.116794,0.000298,37052868,good,hydr1c_A_19,0.000298,0.00025,19.2,19.2 % more time of default solver time,0.838926174
6310.585,9403,2.872156,1,2.872156,20.96123,0.000422,36564232,good,Reuters911,0.000422,0.000354,19.21,19.21 % more time of default solver time,0.838862559
2614.427,2111.702,8,1,9.262202,3.043978,0.000145,69654763,good,c-25,0.000145,0.000121,19.83,19.83 % more time of default solver time,0.834482759
1145.818,22.89451,16.67064,1,16.66817,2.87792,0.000535,36025721,good,Na5,0.000535,0.000438,22.15,22.15 % more time of default solver time,0.818691589
1903.612,9984.465,54.5609,1,54.55913,2.046673,0.000473,11256941,good,s3rmt3m3,0.000473,0.000386,22.54,22.54 % more time of default solver time,0.816067653
2614.427,2111.702,8,1,9.262202,3.043978,0.00015,36564232,good,c-25,0.00015,0.000121,23.97,23.97 % more time of default solver time,0.806666667
66.22222,5.333333,1.034632,4,1.034632,2145.693,0.008057,36564232,good,t2d_q9_A_01,0.008057,0.006481,24.32,24.32 % more time of default solver time,0.804393695
1913.373,6743057000,27.93371,1,27.42213,1174.046,0.002009,36564232,good,gyro_k,0.002009,0.001594,26.04,26.04 % more time of default solver time,0.793429567
66.22222,5.333333,1.034632,4,1.034632,2145.693,0.008282,36564232,good,t2d_q9,0.008282,0.00655,26.44,26.44 % more time of default solver time,0.79087177
793.8216,1.939259,236.888,2,236.888,57.42411,0.000112,36564232,good,adder_dcop_17,0.000112,0.000088,27.27,27.27 % more time of default solver time,0.785714286
795.7945,3.445624,6.787812,1,6.787812,5.390654,0.000051,37052868,good,zenios,0.000051,0.00004,27.5,27.5 % more time of default solver time,0.784313725
66.22222,33713.19,1.208104,4,1.349296,1.297916,0.008626,36564232,good,t2d_q4_A_21,0.008626,0.006594,30.82,30.82 % more time of default solver time,0.764433109
66.22222,1749.823,0.964094,4,1.071613,55436.77,0.008431,36564232,good,t2d_q4_A_26,0.008431,0.00643,31.12,31.12 % more time of default solver time,0.762661606
66.22222,1860.857,1.04785,4,1.071613,72394.64,0.008436,36564232,good,t2d_q4_A_28,0.008436,0.006413,31.55,31.55 % more time of default solver time,0.760194405
0,1.10188,5.97202,1,5.97202,1.18756,0.000114,69654763,good,flowmeter5_E,0.000114,0.000086,32.56,32.56 % more time of default solver time,0.754385965
52.2381,12,0.30103,1,0.30103,20.27642,0.000008,37052868,good,football,0.000008,0.000006,33.33,33.33 % more time of default solver time,0.75
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000119,36025721,good,adder_dcop_18,0.000119,0.000089,33.71,33.71 % more time of default solver time,0.74789916
795.7945,3.445624,6.787812,1,6.787812,5.390654,0.000054,36564232,good,zenios,0.000054,0.00004,35,35.0 % more time of default solver time,0.740740741
