@relation petsc_anamod_aciss_40_60NoNoise

@attribute avg-diag-dist numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,fair,bad}

@data
793.8216,1.663552,98.94544,2,98.94544,102.4188,0.000336,29030070,fair
793.8216,1.663552,98.94544,2,98.94544,102.4188,0.000202,7285382,fair
793.8216,1.663552,98.94544,2,98.94544,102.4188,0.000536,36564232,fair
793.8216,1.663552,98.94544,2,98.94544,102.4188,1.79769313486E308,81986705,fair
793.8216,1.663552,98.94544,2,98.94544,102.4188,0.000256,69654763,fair
793.8216,1.663552,98.94544,2,98.94544,102.4188,0.000212,19932321,fair
793.8216,1.663552,98.94544,2,98.94544,102.4188,0.00012,36025721,good
793.8216,1.663552,98.94544,2,98.94544,102.4188,0.00018,37052868,bad
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.054622,45869639,fair
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000174,32168839,fair
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000104,32168837,good
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000338,29030070,fair
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000105,7285382,good
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.00022,36564232,fair
793.8216,1.904575,215.6511,2,215.6511,64.03587,1.79769313486E308,81986705,fair
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000152,69654763,bad
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000212,19932321,fair
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000108,36025721,good
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000177,37052868,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.019306,45869639,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.000504,32168839,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,1.79769313486E308,90783920,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.000333,29030070,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.000212,7285382,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.000487,36564232,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,1.79769313486E308,81986705,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.000253,69654763,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.00021,19932321,fair
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.000107,36025721,good
793.8216,1.663771,98.94544,2,98.94544,95.33964,0.000185,37052868,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.019308,45869639,fair
793.8216,1.663817,98.94544,2,98.94544,95.3427,0.000304,32168839,fair
