NumRows, NumCols, MinNNZperRow, RowVariance, ColVariance, DiagVariance, Nonzeros, FrobeniusNorm, SymmetricFrobeniusNorm, AntiSymmetricFrobeniusNorm, OneNorm, InfinityNorm, SymmetricInfinityNorm, AntiSymmetricInfinityNorm, MaxNNZperRow, Trace, AbsTrace, MinNNZperRow, AvgNNZperRow, DummyRows, DummyRowsKind, NumericValueSymmetry1, NNZPatternSymmetry1, NumericValueSymmetry2, NNZPatternSymmetry2, RowDiagDominance, ColDiagDominancy, DiagAverage, DiagSign, DiagNNZ, LowerBW, UpperBW, RowLogValSpread, ColLogValSpread, Symmetric, Name
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.58011E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_12_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.57995E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_13_1.mat
20002, 20002, 4, 0.283605, 0.283605, 884.195, 120004, 6489.26, 6489.26, 1.58104E-14, 89.0408, 89.0408, 89.0408, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_1_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.58011E-14, 89.0421, 89.0421, 89.0421, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_2_1.mat
20002, 20002, 4, 0.28362, 0.28362, 884.195, 120004, 6489.26, 6489.26, 1.5787E-14, 89.0423, 89.0423, 89.0423, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_3_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.58019E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_4_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.58128E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_5_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.58268E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_6_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.57988E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_7_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.58136E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_8_1.mat
20002, 20002, 4, 0.283619, 0.283619, 884.195, 120004, 6489.26, 6489.26, 1.58104E-14, 89.0422, 89.0422, 89.0422, 1.44329E-15, 6, 684249, 684249, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.209, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_15_9_1.mat
20002, 20002, 4, 0.282997, 0.282997, 884.196, 120004, 6489.26, 6489.26, 1.57995E-14, 88.9719, 88.9719, 88.9719, 1.44329E-15, 6, 684250, 684250, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2091, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_16_10_1.mat
20002, 20002, 4, 0.282997, 0.282997, 884.196, 120004, 6489.26, 6489.26, 1.58229E-14, 88.9719, 88.9719, 88.9719, 1.44329E-15, 6, 684250, 684250, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2091, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_16_11_1.mat
20002, 20002, 4, 0.282997, 0.282997, 884.196, 120004, 6489.26, 6489.26, 1.58128E-14, 88.9719, 88.9719, 88.9719, 1.44329E-15, 6, 684250, 684250, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2091, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_16_12_1.mat
20002, 20002, 4, 0.282997, 0.282997, 884.196, 120004, 6489.26, 6489.26, 1.58385E-14, 88.9719, 88.9719, 88.9719, 1.44329E-15, 6, 684250, 684250, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2091, 2, 20002, 3, 3, 16.8573, 16.8573, 1, direct_order6_test_16_13_1.mat
