lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,matrix_name,solver_time,default_time,Time Difference
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,45869637,hydr1c_A_22,52.15672,0.000432,12073214.81 % more time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,30870721,hydr1c_A_22,0.021561,0.000432,4890.97 % more time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,32168839,hydr1c_A_22,0.000432,0.000432,0.0 % less time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,42851841,hydr1c_A_22,0.035947,0.000432,8221.06 % more time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,29030070,hydr1c_A_22,0.000411,0.000432,-4.86 % less time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,30870722,hydr1c_A_22,0.032397,0.000432,7399.31 % more time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,36564232,hydr1c_A_22,0.000424,0.000432,-1.85 % less time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,81986705,hydr1c_A_22,1.79769313486E308,0.000432,inf % more time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,37052870,hydr1c_A_22,0.035965,0.000432,8225.23 % more time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,37052869,hydr1c_A_22,0.039957,0.000432,9149.31 % more time of default solver time
