1,s,trsyl,no,standard,upper quasi-triangular,full,single,692
2,d,trsyl,no,standard,upper quasi-triangular,full,double,693
3,c,trsyl,yes,standard,upper triangular,full,single,694
4,z,trsyl,yes,standard,upper triangular,full,double,695
5,s,tgsyl,no,generalized,upper quasi-triangular,full,single,696
6,d,tgsyl,no,generalized,upper quasi-triangular,full,double,697
7,c,tgsyl,yes,generalized,upper triangular,full,single,698
8,z,tgsyl,yes,generalized,upper triangular,full,double,699
