1,s,gesv,/sgesv.f
2,d,gesv,/dgesv.f
3,c,gesv,/cgesv.f
4,z,gesv,/zgesv.f
5,s,gbsv,/sgbsv.f
6,d,gbsv,/dgbsv.f
7,c,gbsv,/cgbsv.f
8,z,gbsv,/zgbsv.f
9,s,gtsv,/sgtsv.f
10,d,gtsv,/dgtsv.f
11,c,gtsv,/cgtsv.f
12,z,gtsv,/zgtsv.f
13,c,hesv,/chesv.f
14,z,hesv,/zhesv.f
15,c,hpsv,/chpsv.f
16,z,hpsv,/zhpsv.f
17,s,posv,/sposv.f
18,d,posv,/dposv.f
19,c,posv,/cposv.f
20,z,posv,/zposv.f
21,s,pbsv,/spbsv.f
22,d,pbsv,/dpbsv.f
23,c,pbsv,/cpbsv.f
24,z,pbsv,/zpbsv.f
25,s,ppsv,/sppsv.f
26,d,ppsv,/dppsv.f
27,c,ppsv,/cppsv.f
28,z,ppsv,/zppsv.f
29,s,ptsv,/sptsv.f
30,d,ptsv,/dptsv.f
31,c,ptsv,/cptsv.f
32,z,ptsv,/zptsv.f
33,s,sysv,/ssysv.f
34,d,sysv,/dsysv.f
35,c,sysv,/csysv.f
36,z,sysv,/zsysv.f
37,s,spsv,/sspsv.f
38,d,spsv,/dspsv.f
39,c,spsv,/cspsv.f
40,z,spsv,/zspsv.f
41,s,gesvx,/sgesvx.f
42,d,gesvx,/dgesvx.f
43,c,gesvx,/cgesvx.f
44,z,gesvx,/zgesvx.f
45,s,gbsvx,/sgbsvx.f
46,d,gbsvx,/dgbsvx.f
47,c,gbsvx,/cgbsvx.f
48,z,gbsvx,/zgbsvx.f
49,s,gtsvx,/sgtsvx.f
50,d,gtsvx,/dgtsvx.f
51,c,gtsvx,/cgtsvx.f
52,z,gtsvx,/zgtsvx.f
53,c,hesvx,/chesvx.f
54,z,hesvx,/zhesvx.f
55,c,hpsvx,/chpsvx.f
56,z,hpsvx,/zhpsvx.f
57,s,posvx,/sposvx.f
58,d,posvx,/dposvx.f
59,c,posvx,/cposvx.f
60,z,posvx,/zposvx.f
61,s,pbsvx,/spbsvx.f
62,d,pbsvx,/dpbsvx.f
63,c,pbsvx,/cpbsvx.f
64,z,pbsvx,/zpbsvx.f
65,s,ppsvx,/sppsvx.f
66,d,ppsvx,/dppsvx.f
67,c,ppsvx,/cppsvx.f
68,z,ppsvx,/zppsvx.f
69,s,ptsvx,/sptsvx.f
70,d,ptsvx,/dptsvx.f
71,c,ptsvx,/cptsvx.f
72,z,ptsvx,/zptsvx.f
73,s,sysvx,/ssysvx.f
74,d,sysvx,/dsysvx.f
75,c,sysvx,/csysvx.f
76,z,sysvx,/zsysvx.f
77,s,spsvx,/sspsvx.f
78,d,spsvx,/dspsvx.f
79,c,spsvx,/cspsvx.f
80,z,spsvx,/zspsvx.f
81,s,getrf,/sgetrf.f
82,d,getrf,/dgetrf.f
83,c,getrf,/cgetrf.f
84,z,getrf,/zgetrf.f
85,s,gbtrf,/sgbtrf.f
86,d,gbtrf,/dgbtrf.f
87,c,gbtrf,/cgbtrf.f
88,z,gbtrf,/zgbtrf.f
89,s,gttrf,/sgttrf.f
90,d,gttrf,/dgttrf.f
91,c,gttrf,/cgttrf.f
92,z,gttrf,/zgttrf.f
93,s,potrf,/spotrf.f
94,d,potrf,/dpotrf.f
95,c,potrf,/cpotrf.f
96,z,potrf,/zpotrf.f
97,s,pptrf,/spptrf.f
98,d,pptrf,/dpptrf.f
99,c,pptrf,/cpptrf.f
100,z,pptrf,/zpptrf.f
101,s,pbtrf,/spbtrf.f
102,d,pbtrf,/dpbtrf.f
103,c,pbtrf,/cpbtrf.f
104,z,pbtrf,/zpbtrf.f
105,s,pttrf,/spttrf.f
106,d,pttrf,/dpttrf.f
107,c,pttrf,/cpttrf.f
108,z,pttrf,/zpttrf.f
109,s,sytrf,/ssytrf.f
110,d,sytrf,/dsytrf.f
111,c,hetrf,/chetrf.f
112,z,hetrf,/zhetrf.f
113,c,sytrf,/csytrf.f
114,z,sytrf,/zsytrf.f
115,s,sptrf,/ssptrf.f
116,d,sptrf,/dsptrf.f
117,c,hptrf,/chptrf.f
118,z,hptrf,/zhptrf.f
119,c,sptrf,/csptrf.f
120,z,sptrf,/zsptrf.f
121,s,getrs,/sgetrs.f
122,d,getrs,/dgetrs.f
123,c,getrs,/cgetrs.f
124,z,getrs,/zgetrs.f
125,s,gbtrs,/sgbtrs.f
126,d,gbtrs,/dgbtrs.f
127,c,gbtrs,/cgbtrs.f
128,z,gbtrs,/zgbtrs.f
129,s,gttrs,/sgttrs.f
130,d,gttrs,/dgttrs.f
131,c,gttrs,/cgttrs.f
132,z,gttrs,/zgttrs.f
133,s,potrs,/spotrs.f
134,d,potrs,/dpotrs.f
135,c,potrs,/cpotrs.f
136,z,potrs,/zpotrs.f
137,s,pptrs,/spptrs.f
138,d,pptrs,/dpptrs.f
139,c,pptrs,/cpptrs.f
140,z,pptrs,/zpptrs.f
141,s,pbtrs,/spbtrs.f
142,d,pbtrs,/dpbtrs.f
143,c,pbtrs,/cpbtrs.f
144,z,pbtrs,/zpbtrs.f
145,s,pttrs,/spttrs.f
146,d,pttrs,/dpttrs.f
147,c,pttrs,/cpttrs.f
148,z,pttrs,/zpttrs.f
149,s,sytrs,/ssytrs.f
150,d,sytrs,/dsytrs.f
151,c,sytrs,/csytrs.f
152,z,sytrs,/zsytrs.f
153,s,sptrs,/ssptrs.f
154,d,sptrs,/dsptrs.f
155,c,sptrs,/csptrs.f
156,z,sptrs,/zsptrs.f
157,c,hetrs,/chetrs.f
158,z,hetrs,/zhetrs.f
159,c,hptrs,/chptrs.f
160,z,hptrs,/zhptrs.f
161,s,trtrs,/strtrs.f
162,d,trtrs,/dtrtrs.f
163,c,trtrs,/ctrtrs.f
164,z,trtrs,/ztrtrs.f
165,s,tptrs,/stptrs.f
166,d,tptrs,/dtptrs.f
167,c,tptrs,/ctptrs.f
168,z,tptrs,/ztptrs.f
169,s,tbtrs,/stbtrs.f
170,d,tbtrs,/dtbtrs.f
171,c,tbtrs,/ctbtrs.f
172,z,tbtrs,/ztbtrs.f
173,s,gecon,/sgecon.f
174,d,gecon,/dgecon.f
175,c,gecon,/cgecon.f
176,z,gecon,/zgecon.f
177,s,gbcon,/sgbcon.f
178,d,gbcon,/dgbcon.f
179,c,gbcon,/cgbcon.f
180,z,gbcon,/zgbcon.f
181,s,gtcon,/sgtcon.f
182,d,gtcon,/dgtcon.f
183,c,gtcon,/cgtcon.f
184,z,gtcon,/zgtcon.f
185,s,pocon,/spocon.f
186,d,pocon,/dpocon.f
187,c,pocon,/cpocon.f
188,z,pocon,/zpocon.f
189,s,ppcon,/sppcon.f
190,d,ppcon,/dppcon.f
191,c,ppcon,/cppcon.f
192,z,ppcon,/zppcon.f
193,s,pbcon,/spbcon.f
194,d,pbcon,/dpbcon.f
195,c,pbcon,/cpbcon.f
196,z,pbcon,/zpbcon.f
197,s,ptcon,/sptcon.f
198,d,ptcon,/dptcon.f
199,c,ptcon,/cptcon.f
200,z,ptcon,/zptcon.f
201,c,hecon,/checon.f
202,z,hecon,/zhecon.f
203,s,sycon,/ssycon.f
204,d,sycon,/dsycon.f
205,c,sycon,/csycon.f
206,z,sycon,/zsycon.f
207,s,spcon,/sspcon.f
208,d,spcon,/dspcon.f
209,c,spcon,/cspcon.f
210,z,spcon,/zspcon.f
211,c,hpcon,/chpcon.f
212,z,hpcon,/zhpcon.f
213,s,trcon,/strcon.f
214,d,trcon,/dtrcon.f
215,c,trcon,/ctrcon.f
216,z,trcon,/ztrcon.f
217,s,tbcon,/stbcon.f
218,d,tbcon,/dtbcon.f
219,c,tbcon,/ctbcon.f
220,z,tbcon,/ztbcon.f
221,s,tpcon,/stpcon.f
222,d,tpcon,/dtpcon.f
223,c,tpcon,/ctpcon.f
224,z,tpcon,/ztpcon.f
225,s,gerfs,/sgerfs.f
226,d,gerfs,/dgerfs.f
227,c,gerfs,/cgerfs.f
228,z,gerfs,/zgerfs.f
229,s,gbrfs,/sgbrfs.f
230,d,gbrfs,/dgbrfs.f
231,c,gbrfs,/cgbrfs.f
232,z,gbrfs,/zgbrfs.f
233,s,gtrfs,/sgtrfs.f
234,d,gtrfs,/dgtrfs.f
235,c,gtrfs,/cgtrfs.f
236,z,gtrfs,/zgtrfs.f
237,c,herfs,/cherfs.f
238,z,herfs,/zherfs.f
239,c,hprfs,/chprfs.f
240,z,hprfs,/zhprfs.f
241,s,porfs,/sporfs.f
242,d,porfs,/dporfs.f
243,c,porfs,/cporfs.f
244,z,porfs,/zporfs.f
245,s,pbrfs,/spbrfs.f
