n-nonzero-diags,avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0014312,43373442,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0039191,91068410,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0001452,18868441,1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0038991,91068408,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,1.79769313486e+308,90783920,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00027084,99720138,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00033593,26415433,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,1.79769313486e+308,68908713,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00017905,75830645,1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00036502,69654762,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00047803,19932323,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0003171,38678401,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00028896,38678402,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00028992,38678403,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00023794,36025721,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0036862,85490472,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.24548,90197667,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00072908,89269803,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00071883,89269801,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00071788,7285384,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.031414,59072884,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.032471,49598910,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.03255,49598912,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00071788,30870721,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00073099,30870720,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00071311,32168838,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.0014462,49834418,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.11692,43373442,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00046182,18868441,1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,1.79769313486e+308,90783920,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.0007112,99720138,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.03292,26415433,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.000458,75830645,1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.0010779,69654762,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.0014307,19932323,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.0010781,80361467,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00091195,38678401,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00092506,38678402,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00092506,38678403,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.00072026,36025721,-1
7,1.714286,120004,245.9162,3.15724,4,2.15724,8280.612,0.011138,85490472,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0045433,90197667,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00071812,89269803,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00071764,89269801,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00071526,7285384,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00072694,59072884,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00047898,49598910,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00048304,49598912,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00072718,30870721,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.0007112,30870720,-1
7,1.714286,120004,88.3012,16.85731,4,16.85731,80.48381,0.00071907,32168838,-1
