94,z,heevr,Hermitian,full,yes,yes,none,none,,519
95,c,hpev,Hermitian,packed,no,no,none,none,,520
96,z,hpev,Hermitian,packed,no,no,none,none,,521
97,c,hpevd,Hermitian,packed,no,yes,none,none,,522
98,z,hpevd,Hermitian,packed,no,yes,none,none,,523
99,c,hpevx,Hermitian,packed,yes,no,none,none,,524
100,z,hpevx,Hermitian,packed,yes,no,none,none,,525
101,c,hpevx,Hermitian,packed,yes,yes,none,none,,524
102,z,hpevx,Hermitian,packed,yes,yes,none,none,,525
103,c,hbev,Hermitian,band,no,no,none,none,,526
104,z,hbev,Hermitian,band,no,no,none,none,,527
105,c,hbevd,Hermitian,band,no,yes,none,none,,528
106,z,hbevd,Hermitian,band,no,yes,none,none,,529
107,c,hbevx,Hermitian,band,yes,no,none,none,,530
108,z,hbevx,Hermitian,band,yes,no,none,none,,531
109,c,hbevx,Hermitian,band,yes,yes,none,none,,530
110,z,hbevx,Hermitian,band,yes,yes,none,none,,531
111,c,geev,general,full,none,yes,no,no,,532
112,z,geev,general,full,none,yes,no,no,,533
113,c,geevx,general,full,none,yes,no,yes,,534
114,z,geevx,general,full,none,yes,no,yes,,535
115,c,geev,general,full,none,no,no,no,,532
116,z,geev,general,full,none,no,no,no,,533
117,c,geevx,general,full,none,no,no,yes,,534
118,z,geevx,general,full,none,no,no,yes,,535
119,c,gees,general,full,none,no,yes,no,,536
120,z,gees,general,full,none,no,yes,no,,537
121,c,geesx,general,full,none,no,yes,yes,,538
122,z,geesx,general,full,none,no,yes,yes,,539
123,c,pteqr,HPD,full,none,no,none,none,to be usedd with CHETRD,540
124,c,hetrd,HPD,full,none,no,none,none,,541
125,z,pteqr,HPD,full,none,no,none,none,to be usedd with ZHETRD,542
126,z,hetrd,HPD,full,none,no,none,none,,543
127,c,pteqr,HPD,full,none,yes,none,none,to be usedd with CHETRD and CUNGTR,540
128,c,hetrd,HPD,full,none,yes,none,none,,541
129,c,ungtr,HPD,full,none,yes,none,none,,544
130,z,pteqr,HPD,full,none,yes,none,none,to be usedd with ZHETRD and ZUNGTR,542
131,z,hetrd,HPD,full,none,yes,none,none,,543
132,z,ungtr,HPD,full,none,yes,none,none,,545
133,c,pteqr,HPD,packed,none,no,none,none,to be usedd with CHPTRD,540
134,c,hptrd,HPD,packed,none,no,none,none,,546
135,z,pteqr,HPD,packed,none,no,none,none,to be usedd with ZHPTRD,542
136,z,hptrd,HPD,packed,none,no,none,none,,547
137,c,pteqr,HPD,packed,none,yes,none,none,to be usedd with CHPTRD and ZUPGTR,540
138,c,hptrd,HPD,packed,none,yes,none,none,,546
139,c,upgtr,HPD,packed,none,yes,none,none,,548
140,z,pteqr,HPD,packed,none,yes,none,none,to be usedd with ZHPTRD and ZUPGTR,542
141,z,hptrd,HPD,packed,none,yes,none,none,,547
142,z,upgtr,HPD,packed,none,yes,none,none,,549
143,c,pteqr,HPD,band,none,no,none,none,to be usedd with CHBTRD,540
144,c,hbtrd,HPD,band,none,no,none,none,,550
