65,c,hpev,yes,eigen,standard,Hermitian,packed,no,no/yes,none,none,,520
66,z,hpev,yes,eigen,standard,Hermitian,packed,no,no/yes,none,none,,521
67,c,hpevd,yes,eigen,standard,Hermitian,packed,no,yes,none,none,faster while more memory is required,522
68,z,hpevd,yes,eigen,standard,Hermitian,packed,no,yes,none,none,faster while more memory is required,523
69,c,hpevx,yes,eigen,standard,Hermitian,packed,yes,no/yes,none,none,,524
70,z,hpevx,yes,eigen,standard,Hermitian,packed,yes,no/yes,none,none,,525
71,c,hbev,yes,eigen,standard,Hermitian,band,no,no/yes,none,none,,526
72,z,hbev,yes,eigen,standard,Hermitian,band,no,no/yes,none,none,,527
73,c,hbevd,yes,eigen,standard,Hermitian,band,no,yes,none,none,faster while more memory is required,528
74,z,hbevd,yes,eigen,standard,Hermitian,band,no,yes,none,none,faster while more memory is required,529
75,c,hbevx,yes,eigen,standard,Hermitian,band,yes,no/yes,none,none,,530
76,z,hbevx,yes,eigen,standard,Hermitian,band,yes,no/yes,none,none,,531
77,c,geev,yes,eigen,standard,general,full,none,no/yes,no,no,,532
78,z,geev,yes,eigen,standard,general,full,none,no/yes,no,no,,533
79,c,geevx,yes,eigen,standard,general,full,none,no/yes,no,yes,,534
80,z,geevx,yes,eigen,standard,general,full,none,no/yes,no,yes,,535
81,c,gees,yes,eigen,standard,general,full,none,no,yes,no,,536
82,z,gees,yes,eigen,standard,general,full,none,no,yes,no,,537
83,c,geesx,yes,eigen,standard,general,full,none,no,yes,yes,,538
84,z,geesx,yes,eigen,standard,general,full,none,no,yes,yes,,539
85,c,hetrd,yes,eigen,standard,HPD,full,none,no/yes,none,none,use before CPTEQR,541
86,c,ungtr,yes,eigen,standard,HPD,full,none,yes,none,none,use after CHETRD and before CPTEQR,544
87,z,hetrd,yes,eigen,standard,HPD,full,none,no/yes,none,none,use before ZPTEQR,543
88,z,ungtr,yes,eigen,standard,HPD,full,none,yes,none,none,use after ZHETRD and before ZPTEQR,545
89,c,hptrd,yes,eigen,standard,HPD,packed,none,no/yes,none,none,use before CPTEQR,546
90,c,upgtr,yes,eigen,standard,HPD,packed,none,yes,none,none,use after CHPTRD and before CPTEQR,548
91,z,hptrd,yes,eigen,standard,HPD,packed,none,no/yes,none,none,use before ZPTEQR,547
92,z,upgtr,yes,eigen,standard,HPD,packed,none,yes,none,none,use after ZHPTRD and before ZPTEQR,549
93,c,hbtrd,yes,eigen,standard,HPD,band,none,no/yes,none,none,use before CPTEQR,550
94,z,hbtrd,yes,eigen,standard,HPD,band,none,no/yes,none,none,use before ZPTEQR,551
95,c,pteqr,yes,eigen,standard,HPD,full/packed/band/tridiagonal,none,no/yes,none,none,,540
96,z,pteqr,yes,eigen,standard,HPD,full/packed/band/tridiagonal,none,no/yes,none,none,,542
97,c,hseqr,yes,eigen,standard,upper Hessenberg,full,none,no/yes,none,none,,552
98,c,hsein,yes,eigen,standard,upper Hessenberg,full,none,yes,none,none,use after CHSEQR,554
99,z,hseqr,yes,eigen,standard,upper Hessenberg,full,none,no/yes,none,none,,553
100,z,hsein,yes,eigen,standard,upper Hessenberg,full,none,yes,none,none,use after ZHSEQR,555
101,s,sygv,no,eigen,generalized,symmetric,full,No,no/yes,none,none,,556
102,d,sygv,no,eigen,generalized,symmetric,full,No,no/yes,none,none,,557
103,s,sygvd,no,eigen,generalized,symmetric,full,No,yes,none,none,faster while more memory is required,558
104,d,sygvd,no,eigen,generalized,symmetric,full,No,yes,none,none,faster while more memory is required,559
105,s,sygvx,no,eigen,generalized,symmetric,full,Yes,no/yes,none,none,,560
106,d,sygvx,no,eigen,generalized,symmetric,full,Yes,no/yes,none,none,,561
107,s,spgv,no,eigen,generalized,symmetric,packed,No,no/yes,none,none,,562
108,d,spgv,no,eigen,generalized,symmetric,packed,No,no/yes,none,none,,563
109,s,spgvd,no,eigen,generalized,symmetric,packed,No,yes,none,none,faster while more memory is required,564
110,d,spgvd,no,eigen,generalized,symmetric,packed,No,yes,none,none,faster while more memory is required,565
111,s,spgvx,no,eigen,generalized,symmetric,packed,Yes,no/yes,none,none,,566
112,d,spgvx,no,eigen,generalized,symmetric,packed,Yes,no/yes,none,none,,567
113,s,sbgv,no,eigen,generalized,symmetric,band,No,no/yes,none,none,,568
114,d,sbgv,no,eigen,generalized,symmetric,band,No,no/yes,none,none,,569
115,s,sbgvd,no,eigen,generalized,symmetric,band,No,yes,none,none,faster while more memory is required,570
116,d,sbgvd,no,eigen,generalized,symmetric,band,No,yes,none,none,faster while more memory is required,571
117,s,sbgvx,no,eigen,generalized,symmetric,band,Yes,no/yes,none,none,,572
118,d,sbgvx,no,eigen,generalized,symmetric,band,Yes,no/yes,none,none,,573
119,s,ggev,no,eigen,generalized,general,full,none,no/yes,no,no,,574
120,d,ggev,no,eigen,generalized,general,full,none,no/yes,no,no,,575
121,s,ggevx,no,eigen,generalized,general,full,none,no/yes,no,yes,,576
122,d,ggevx,no,eigen,generalized,general,full,none,no/yes,no,yes,,577
123,s,gges,no,eigen,generalized,general,full,none,no,yes,no,,578
