MinNonzerosPerRow,RowVariance,ColumnVariance,DiagonalVariance,Nonzeros ,Dimension,FrobeniusNorm ,SymmetricFrobeniusNorm ,AntiSymmetricFrobeniusNorm,OneNorm,InfinityNorm, SymmetricInfinityNorm,AntiSymmetricInfinityNorm,MaxNonzerosPerRow ,Trace , AbsoluteTrace,MinNonzerosPerRow,AvgNonzerosPerRow,DummyRows,DummyRowsKind,NumericValueSymmetryV1,NonZeroPatternSymmetryV1,NumericValueSymmetryV2,NonZeroPatternSymmetryV2,RowDiagonalDominance ,ColumnDiagonalDominance ,DiagonalAverage,DiagonalSign ,DiagonalNonZeros ,lowerBandwidth ,upperBandwidth ,MatrixSymmetric ,matrix
  4,  9.15563E+10,   9.15547E+10,  1.60018e+14,  120004,  20002,  2.71638E+09, 2.71635E+09,  1.18218E+07,  6.98814E+07,  7.01411E+07,  7.00112E+07, 146776, 6, 1.85383E+11, 1.85383E+11, 4, 5, 0, 0, 0, 0, 0.996949, 0.996949, 0, 0, 9.26824e+06, 2,  20002, 3,Q 3, 0, split_17_5_1.mat
  4,  2.29596,   2.29423,  2732.28,  120004,  20002,  12368.1, 12359.6,  458.323,  252.467,  259.967,  255.384, 4.58333, 6, 1.04601E+06, 1.04601E+06, 4, 5, 0, 0, 0, 0, 0.97784, 0.97784, 0, 0, 52.2954, 2,  20002, 3,Q 3, 0, split_order6_test_4_2_1.mat
  4,  2.28057,   2.28249,  6245.85,  268392,  20164,  21684, 21684,  12.4059,  414.853,  403.794,  409.323, 9.23631, 18, 2.3751E+06, 2.3751E+06, 4, 13, 0, 0, 0, 0, 0.999804, 0.999804, 0, 0, 117.789, 2,  20164, 568,Q 569, 0, AC_mobility_derivative_coupled_test_3_1_1.mat
  4,  4.79669E+11,   4.79669E+11,  1.34017e+15,  120004,  20002,  6.60536E+09, 6.60536E+09,  873676,  1.00872E+08,  1.00872E+08,  1.00871E+08, 19926.4, 6, 5.78092E+11, 5.78092E+11, 4, 5, 0, 0, 0, 0, 0.999861, 0.999861, 0, 0, 2.89017e+07, 2,  20002, 3,Q 3, 0, direct_60_6_1.mat
  4,  0.00836772,   0.00844349,  18.0841,  1500405,  51005,  1630.96, 1630.89,  14.772,  32.8978,  33.1589,  28.2387, 7.62486, 45, 259397, 259397, 4, 29, 0, 0, 0, 0, 0.999476, 0.999476, 0, 0, 5.08572, 2,  51005, 811,Q 41000, 0, mobility_derivative_direct_coupled_test_1_4_1.mat
  4,  1.60996,   1.60996,  6473.44,  109615,  20002,  17390.3, 17390.3,  2.08327E-13,  248.921,  248.921,  248.921, 4.44089E-15, 6, 1.74269E+06, 1.74269E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.126, 2,  20002, 3,Q 3, 0, direct_order4_test_87_3_1.mat
  4,  1.60341,   1.60341,  6473.34,  109609,  20002,  17390.2, 17390.2,  2.08322E-13,  248.598,  248.598,  248.598, 3.9968E-15, 6, 1.74268E+06, 1.74268E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.1253, 2,  20002, 3,Q 3, 0, direct_order4_test_40_8_1.mat
  3,  0.509057,   0.509077,  291.739,  80001,  20001,  12327.6, 12327.6,  38.3391,  101.818,  101.051,  101.435, 0.383391, 5, 1.67671E+06, 1.67671E+06, 3, 3, 0, 0, 0, 0, 0.998103, 0.998103, 2, 2, 83.8311, 2,  20001, 10001,Q 10001, 0, mollified_langmuir_desorption_143_1_1.mat
  4,  0.250628,   0.248908,  779.465,  120004,  20002,  6400.81, 6384.38,  458.323,  104.21,  111.71,  107.126, 4.58333, 6, 564013, 564013, 4, 5, 0, 0, 0, 0, 0.957784, 0.957784, 0, 0, 28.1978, 2,  20002, 3,Q 3, 0, split_order4_test_24_1_1.mat
  4,  0.121594,   0.121594,  275.448,  16,  0.0439236,   0.0438431,  127.867,  1413608,  40804,  5423.65, 5423.2,  70.3631,  106.761,  77.7997,  86.5271, 30.5995, 36, 947074, 947074, 16, 34, 0, 0, 0, 0, 0.99909, 0.99909, 0, 0, 23.2103, 2,  40804, 811,Q 811, 0, CHParsed_test_2_3_1.mat
