avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,solver,class,matrix_name,solver_time,predicted-class,default_time,Time Difference,SpeedUp
2344.653,1900653,18.02107,2,18.02107,6.50187,89565283,bad,jan99jac120,0.041396,good,1.603934,-97.42,38.74611074
2344.653,1900653,18.02107,2,18.02107,6.50187,36025723,good,jan99jac120,0.037275,fair,1.603934,-97.68,43.02975184
2344.653,1900653,18.02107,2,18.02107,6.50187,85483012,bad,jan99jac120,0.043469,fair,1.603934,-97.29,36.89834135
2344.653,1900653,18.02107,2,18.02107,6.50187,18868444,bad,jan99jac120,0.042556,fair,1.603934,-97.35,37.68996146
2344.653,1900653,18.02107,2,18.02107,6.50187,29030069,bad,jan99jac120,0.04316,fair,1.603934,-97.31,37.16251158
2344.653,1900653,18.02107,2,18.02107,6.50187,29030070,good,jan99jac120,0.03783,fair,1.603934,-97.64,42.39846683
2344.653,1900653,18.02107,2,18.02107,6.50187,7285383,good,jan99jac120,0.033857,fair,1.603934,-97.89,47.37377795
2344.653,1900653,18.02107,2,18.02107,6.50187,81986705,fair,jan99jac120,0.05965,bad,1.603934,-96.28,26.88908634
2344.653,1900653,18.02107,2,18.02107,6.50187,29553944,good,jan99jac120,0.038373,fair,1.603934,-97.61,41.79850416
2344.653,1900653,18.02107,2,18.02107,6.50187,32168840,good,jan99jac120,0.03298,fair,1.603934,-97.94,48.63353548
2344.653,1900653,18.02107,2,18.02107,6.50187,69654760,good,jan99jac120,0.037958,fair,1.603934,-97.63,42.25549291
2344.653,1900653,18.02107,2,18.02107,6.50187,37052871,bad,jan99jac120,0.045461,fair,1.603934,-97.17,35.28153802
2344.653,1900653,18.02107,2,18.02107,6.50187,19932323,bad,jan99jac120,0.042113,fair,1.603934,-97.37,38.08643412
6827.318,108674,17.41085,2,17.72205,193.9769,81986705,fair,g7jac100sc,0.050642,bad,314.4667,-99.98,6209.602701
6827.318,108674,17.41085,2,17.72205,193.9769,69654763,good,g7jac100sc,0.016661,fair,314.4667,-99.99,18874.4193
157.7643,23.0264,18.33547,1,18.33547,1.467786,69654763,good,cavity11,0.007211,fair,0.20657,-96.51,28.64651227
157.7643,18.9037,18.3318,9,18.3318,20069.32,69654763,good,cavity10,0.0051,fair,3.574854,-99.86,700.9517647
157.7643,39.69679,18.33813,1,18.33813,37638.68,69654763,good,cavity13,0.009132,fair,0.333,-97.26,36.4651774
157.7643,37.07384,18.33821,9,18.33821,127.0413,69654763,good,cavity12,0.008653,fair,0.25624,-96.62,29.61285103
215.1551,19.59017,18.47189,1,18.47189,1.639124,36025721,good,cavity17,0.0095,fair,0.79361,-98.8,83.53789474
215.1551,18.88889,29.22794,9,29.22794,34065.1,69654763,good,cavity16,0.012793,fair,0.63559,-97.99,49.68263894
2344.653,1319897,18.02107,2,18.02107,148937.5,36564232,bad,jan99jac080,0.03701,fair,0.421288,-91.22,11.38308565
2344.653,1319897,18.02107,2,18.02107,148937.5,81986705,fair,jan99jac080,0.043115,bad,0.421288,-89.77,9.771262902
2344.653,1319897,18.02107,2,18.02107,148937.5,29553944,bad,jan99jac080,0.036756,fair,0.421288,-91.28,11.46174774
2344.653,1319897,18.02107,2,18.02107,148937.5,37052868,good,jan99jac080,0.032517,fair,0.421288,-92.28,12.95593074
6737.537,1,1.865141,3,1.865141,10.06588,36564232,good,cage11,0.006622,fair,0.005368,23.36,0.810631229
296.5,1.26E+12,15.91356,1,15.9278,305.7557,32168839,bad,olafu,0.001916,fair,0.001916,0,1
296.5,1.26E+12,15.91356,1,15.9278,305.7557,36564232,bad,olafu,0.001986,fair,0.001916,3.65,0.964753273
296.5,1.26E+12,15.91356,1,15.9278,305.7557,36025721,good,olafu,0.001529,fair,0.001916,-20.2,1.253106606
66.22222,1819.361,1.115002,4,1.257349,155824.7,88865077,fair,t2d_q9_A_13,0.131947,good,0.00639,1964.9,0.048428536
66.22222,36.94624,1.039372,4,1.047308,8671.071,32168839,fair,t2d_q4_A_10,0.006607,fair,0.006607,0,1
66.22222,36.94624,1.039372,4,1.047308,8671.071,36564232,fair,t2d_q4_A_10,0.008988,fair,0.006607,36.04,0.735091233
66.22222,36.94624,1.039372,4,1.047308,8671.071,69654763,fair,t2d_q4_A_10,0.006817,fair,0.006607,3.18,0.96919466
66.22222,13238.71,1.274212,4,1.425323,1.383967,36564232,good,t2d_q9_A_11,0.008631,bad,0.333715,-97.41,38.66469702
66.22222,13238.71,1.274212,4,1.425323,1.383967,69654763,good,t2d_q9_A_11,0.006955,fair,0.333715,-97.92,47.98202732
531.1134,2097152,9.976185,2,13.15285,6584.382,7285384,good,mark3jac060sc,0.035277,fair,212.0599,-99.98,6011.279304
531.1134,2097152,9.976185,2,13.15285,6584.382,57331597,bad,mark3jac060sc,0.039866,fair,212.0599,-99.98,5319.317213
531.1134,2097152,9.976185,2,13.15285,6584.382,95762355,bad,mark3jac060sc,0.04418,fair,212.0599,-99.98,4799.907198
531.1134,2097152,9.976185,2,13.15285,6584.382,95762353,bad,mark3jac060sc,0.041722,fair,212.0599,-99.98,5082.687791
531.1134,2097152,9.976185,2,13.15285,6584.382,85483012,good,mark3jac060sc,0.037637,fair,212.0599,-99.98,5634.346521
531.1134,2097152,9.976185,2,13.15285,6584.382,29030070,good,mark3jac060sc,0.037843,fair,212.0599,-99.98,5603.675713
531.1134,2097152,9.976185,2,13.15285,6584.382,37052870,good,mark3jac060sc,0.0354,fair,212.0599,-99.98,5990.392655
531.1134,2097152,9.976185,2,13.15285,6584.382,37052871,good,mark3jac060sc,0.032528,fair,212.0599,-99.98,6519.303369
531.1134,2097152,9.976185,2,13.15285,6584.382,37052869,good,mark3jac060sc,0.03854,fair,212.0599,-99.98,5502.332641
531.1134,2097152,9.976185,2,13.15285,6584.382,37052868,good,mark3jac060sc,0.03165,fair,212.0599,-99.99,6700.154818
66.22222,256.8144,1.108804,4,1.260433,47165.34,32168839,bad,t2d_q4_A_04,0.006479,good,0.006479,0,1
66.22222,256.8144,1.108804,4,1.260433,47165.34,36564232,fair,t2d_q4_A_04,0.009004,bad,0.006479,38.97,0.71956908
66.22222,256.8144,1.108804,4,1.260433,47165.34,69654763,fair,t2d_q4_A_04,0.006956,good,0.006479,7.36,0.931426107
1306.423,4845.709,14.42637,2,13.24285,41830.12,37052870,fair,extr1b_A_40,0.011277,good,28.57054,-99.96,2533.5231
1306.423,4845.709,14.42637,2,13.24285,41830.12,37052871,fair,extr1b_A_40,0.011076,good,28.57054,-99.96,2579.499819
1306.123,4840.153,14.43798,2,13.4357,42220.34,69654763,bad,extr1b_A_42,0.000142,fair,0.36607,-99.96,2577.957746
1306.123,4840.153,14.43798,2,13.4357,42220.34,36025721,good,extr1b_A_42,0.000111,fair,0.36607,-99.97,3297.927928
66.22222,252.8372,0.922781,4,0.960462,22404.92,32168839,bad,t2d_q9_A_17,0.006322,good,0.006322,0,1
66.22222,252.8372,0.922781,4,0.960462,22404.92,69654763,fair,t2d_q9_A_17,0.006944,good,0.006322,9.84,0.910426267
